,PERIOD,PCTIMESTRING,SCOREMARGIN
0,1,12:00,
1,1,12:00,
2,1,11:41,
3,1,11:41,1
4,1,11:41,2
5,1,11:24,
6,1,11:22,
7,1,11:14,5
8,1,10:57,
9,1,10:55,
10,1,10:50,
11,1,10:48,
12,1,10:41,3
13,1,10:23,
14,1,10:21,
15,1,10:06,
16,1,10:04,
17,1,9:52,
18,1,9:38,1
19,1,9:22,3
20,1,9:01,
21,1,8:59,
22,1,8:59,
23,1,8:43,1
24,1,8:23,
25,1,8:22,
26,1,8:07,
27,1,8:04,
28,1,7:49,
29,1,7:47,
30,1,7:39,
31,1,7:36,
32,1,7:36,2
33,1,7:36,3
34,1,7:24,
35,1,7:12,
36,1,7:12,4
37,1,7:12,
38,1,7:12,5
39,1,6:57,
40,1,6:55,
41,1,6:47,8
42,1,6:33,
43,1,6:31,
44,1,6:20,11
45,1,6:20,
46,1,6:03,
47,1,5:56,
48,1,5:54,
49,1,5:45,8
50,1,5:19,
51,1,5:19,9
52,1,5:19,
53,1,5:19,
54,1,5:19,
55,1,5:17,
56,1,5:08,
57,1,5:06,
58,1,4:45,12
59,1,4:34,
60,1,4:28,
61,1,4:27,
62,1,4:27,
63,1,4:12,
64,1,4:11,
65,1,4:11,
66,1,4:11,
67,1,4:11,
68,1,4:07,10
69,1,3:53,12
70,1,3:34,10
71,1,3:19,13
72,1,3:09,
73,1,3:00,16
74,1,2:42,
75,1,2:41,
76,1,2:22,
77,1,2:20,
78,1,2:04,
79,1,1:52,
80,1,1:50,
81,1,1:41,
82,1,1:39,
83,1,1:35,
84,1,1:33,
85,1,1:28,
86,1,1:26,
87,1,1:12,
88,1,1:10,
89,1,1:00,
90,1,1:00,
91,1,1:00,
92,1,1:00,
93,1,1:00,
94,1,1:00,
95,1,0:46,
96,1,0:45,
97,1,0:36,
98,1,0:34,
99,1,0:22,13
100,1,0:01,
101,1,0:01,
102,1,0:00,13
103,2,12:00,13
104,2,11:44,
105,2,11:42,
106,2,11:40,11
107,2,11:19,13
108,2,11:19,
109,2,11:19,14
110,2,11:00,12
111,2,10:35,
112,2,10:33,
113,2,10:27,
114,2,10:07,
115,2,9:47,10
116,2,9:27,
117,2,9:25,
118,2,9:22,
119,2,9:21,
120,2,9:11,8
121,2,9:04,
122,2,8:54,10
123,2,8:36,7
124,2,8:26,
125,2,8:24,
126,2,8:24,9
127,2,8:07,
128,2,8:05,
129,2,7:55,11
130,2,7:43,
131,2,7:41,
132,2,7:30,
133,2,7:28,
134,2,7:14,
135,2,7:11,13
136,2,7:11,
137,2,7:11,
138,2,7:11,
139,2,7:11,
140,2,6:58,
141,2,6:56,
142,2,6:47,
143,2,6:45,
144,2,6:31,
145,2,6:31,12
146,2,6:31,
147,2,6:31,
148,2,6:31,
149,2,6:31,
150,2,6:29,
151,2,6:16,
152,2,6:12,
153,2,6:10,
154,2,5:54,
155,2,5:53,
156,2,5:52,
157,2,5:41,14
158,2,5:22,
159,2,5:20,
160,2,5:13,
161,2,5:11,
162,2,5:06,
163,2,5:04,
164,2,5:02,
165,2,5:00,
166,2,4:46,
167,2,4:43,
168,2,4:37,
169,2,4:34,
170,2,4:27,
171,2,4:25,
172,2,4:20,
173,2,4:18,
174,2,4:16,
175,2,4:16,
176,2,4:16,
177,2,4:16,
178,2,4:08,
179,2,3:52,
180,2,3:52,15
181,2,3:52,16
182,2,3:41,13
183,2,3:24,
184,2,3:20,15
