,PERIOD,PCTIMESTRING,SCOREMARGIN
0,1,12:00,
1,1,12:00,
2,1,11:46,
3,1,11:44,
4,1,11:28,2
5,1,11:18,TIE
6,1,11:06,2
7,1,10:46,-1
8,1,10:27,
9,1,10:25,
10,1,10:20,
11,1,10:17,
12,1,10:09,1
13,1,9:52,
14,1,9:48,3
15,1,9:39,
16,1,9:36,
17,1,9:34,
18,1,9:29,6
19,1,9:17,
20,1,9:14,
21,1,9:01,8
22,1,9:01,
23,1,8:48,
24,1,8:48,
25,1,8:33,
26,1,8:29,
27,1,8:27,11
28,1,8:19,
29,1,8:19,10
30,1,8:19,9
31,1,8:03,
32,1,8:03,10
33,1,8:03,11
34,1,7:49,9
35,1,7:34,
36,1,7:34,
37,1,7:24,
38,1,7:19,
39,1,7:19,8
40,1,7:19,7
41,1,6:59,
42,1,6:57,
43,1,6:57,
44,1,6:53,
45,1,6:52,
46,1,6:52,
47,1,6:50,
48,1,6:50,8
49,1,6:50,
50,1,6:50,9
51,1,6:40,
52,1,6:40,
53,1,6:40,
54,1,6:40,8
55,1,6:26,
56,1,6:24,
57,1,6:24,
58,1,6:24,
59,1,6:24,
60,1,6:11,5
61,1,5:59,
62,1,5:57,
63,1,5:50,3
64,1,5:50,
65,1,5:50,
66,1,5:27,
67,1,5:27,
68,1,5:26,
69,1,5:21,
70,1,5:18,
71,1,5:16,
72,1,5:13,
73,1,5:13,5
74,1,4:54,3
75,1,4:36,
76,1,4:36,4
77,1,4:36,5
78,1,4:24,2
79,1,3:59,5
80,1,3:43,
81,1,3:43,
82,1,3:43,
83,1,3:43,
84,1,3:43,
85,1,3:43,
86,1,3:43,4
87,1,3:22,6
88,1,3:22,
89,1,3:22,
90,1,3:22,7
91,1,3:10,
92,1,2:46,9
93,1,2:32,7
94,1,2:22,9
95,1,2:06,
96,1,2:03,
97,1,1:54,
98,1,1:48,
99,1,1:38,
100,1,1:36,
101,1,1:20,
102,1,1:16,
103,1,1:14,6
104,1,1:05,
105,1,1:05,7
106,1,1:05,
107,1,1:05,
108,1,1:05,8
109,1,0:46,5
110,1,0:34,
111,1,0:32,
112,1,0:32,
113,1,0:31,
114,1,0:21,
115,1,0:21,
116,1,0:21,
117,1,0:21,
118,1,0:21,
119,1,0:19,
120,1,0:00,
121,1,0:00,
122,1,0:00,5
123,2,12:00,5
124,2,11:42,
125,2,11:42,
126,2,11:35,7
127,2,11:24,5
128,2,11:24,
129,2,11:24,
130,2,11:22,
131,2,11:02,
132,2,11:02,6
133,2,11:02,
134,2,11:00,
135,2,10:52,4
136,2,10:52,
137,2,10:34,7
138,2,10:27,4
139,2,10:12,6
140,2,9:52,
141,2,9:50,
142,2,9:37,
143,2,9:37,
144,2,9:35,
145,2,9:35,7
146,2,9:35,
147,2,9:32,
148,2,9:11,
149,2,9:09,
150,2,9:06,
151,2,9:02,
152,2,9:02,9
153,2,8:50,7
154,2,8:40,
155,2,8:37,
156,2,8:26,5
157,2,8:08,8
158,2,7:51,
159,2,7:51,
160,2,7:51,
161,2,7:51,
162,2,7:51,
163,2,7:51,
164,2,7:51,
165,2,7:51,7
166,2,7:39,9
167,2,7:20,7
168,2,7:04,9
169,2,7:04,
170,2,7:04,
171,2,7:04,
172,2,6:52,7
173,2,6:32,
174,2,6:32,8
175,2,6:32,
176,2,6:29,
177,2,6:21,
178,2,6:21,
179,2,6:21,
180,2,6:08,
181,2,5:55,
182,2,5:54,
