Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0022201218,"APR 09, 2023",CHA @ CLE,W,27,55,0.329,37,81,0.457,6,32,0.188,26,30,0.867,10,39,49,23,8,5,18,14,106
0022201202,"APR 07, 2023",CHA vs. HOU,L,26,55,0.321,38,88,0.432,13,41,0.317,20,27,0.741,7,34,41,22,10,9,17,21,109
0022201176,"APR 04, 2023",CHA vs. TOR,L,26,54,0.325,36,77,0.468,12,31,0.387,16,19,0.842,6,36,42,27,3,4,17,22,100
0022201163,"APR 02, 2023",CHA vs. TOR,L,26,53,0.329,42,85,0.494,15,31,0.484,9,13,0.692,10,27,37,26,3,4,17,11,108
0022201148,"MAR 31, 2023",CHA vs. CHI,L,26,52,0.333,35,77,0.455,14,37,0.378,7,10,0.7,4,32,36,27,3,5,21,21,91
0022201134,"MAR 28, 2023",CHA @ OKC,W,26,51,0.338,52,94,0.553,14,35,0.4,19,30,0.633,15,37,52,34,6,7,18,24,137
0022201113,"MAR 26, 2023",CHA vs. DAL,W,25,51,0.329,39,88,0.443,12,29,0.414,20,24,0.833,14,44,58,27,6,2,14,18,110
0022201101,"MAR 24, 2023",CHA @ DAL,W,24,51,0.32,43,89,0.483,11,28,0.393,20,27,0.741,6,37,43,32,7,4,8,17,117
0022201095,"MAR 23, 2023",CHA @ NOP,L,23,51,0.311,38,83,0.458,9,37,0.243,11,16,0.688,4,34,38,24,8,4,17,17,96
0022201071,"MAR 20, 2023",CHA vs. IND,W,23,50,0.315,41,90,0.456,10,31,0.323,23,32,0.719,10,27,37,26,12,6,11,22,115
0022201047,"MAR 17, 2023",CHA vs. PHI,L,22,50,0.306,29,86,0.337,5,35,0.143,19,26,0.731,7,28,35,20,10,6,13,16,82
0022201027,"MAR 14, 2023",CHA vs. CLE,L,22,49,0.31,43,76,0.566,6,23,0.261,12,15,0.8,6,34,40,28,3,8,19,18,104
0022201015,"MAR 12, 2023",CHA vs. CLE,L,22,48,0.314,41,80,0.513,10,21,0.476,16,22,0.727,7,36,43,25,8,5,19,26,108
0022201005,"MAR 11, 2023",CHA vs. UTA,L,22,47,0.319,40,98,0.408,17,40,0.425,14,15,0.933,11,32,43,24,5,14,7,15,111
0022200992,"MAR 09, 2023",CHA @ DET,W,22,46,0.324,43,86,0.5,8,24,0.333,19,32,0.594,13,31,44,24,11,9,12,18,113
0022200979,"MAR 07, 2023",CHA @ NYK,W,21,46,0.313,42,85,0.494,12,32,0.375,16,21,0.762,10,32,42,27,2,5,10,20,112
0022200965,"MAR 05, 2023",CHA @ BKN,L,20,46,0.303,33,88,0.375,8,30,0.267,12,15,0.8,5,44,49,17,2,3,10,19,86
0022200946,"MAR 03, 2023",CHA vs. ORL,L,20,45,0.308,38,78,0.487,9,24,0.375,21,25,0.84,8,26,34,25,11,4,21,20,106
0022200933,"MAR 01, 2023",CHA vs. PHX,L,20,44,0.313,32,88,0.364,9,33,0.273,18,28,0.643,12,36,48,20,3,7,13,17,91
0022200919,"FEB 27, 2023",CHA vs. DET,W,20,43,0.317,43,83,0.518,13,26,0.5,18,22,0.818,7,39,46,24,8,3,16,22,117
0022200904,"FEB 25, 2023",CHA vs. MIA,W,19,43,0.306,38,88,0.432,10,31,0.323,22,27,0.815,11,37,48,20,10,2,15,22,108
0022200898,"FEB 24, 2023",CHA @ MIN,W,18,43,0.295,43,92,0.467,10,28,0.357,25,28,0.893,11,41,52,25,10,4,11,17,121
0022200873,"FEB 15, 2023",CHA vs. SAS,W,17,43,0.283,43,96,0.448,14,35,0.4,20,29,0.69,15,43,58,26,8,12,15,17,120
0022200857,"FEB 13, 2023",CHA vs. ATL,W,16,43,0.271,53,84,0.631,20,37,0.541,18,23,0.783,3,32,35,36,5,5,17,19,144
0022200847,"FEB 11, 2023",CHA vs. DEN,L,15,43,0.259,40,85,0.471,8,32,0.25,17,29,0.586,5,32,37,25,11,8,14,18,105
0022200838,"FEB 10, 2023",CHA @ BOS,L,15,42,0.263,45,93,0.484,8,23,0.348,18,26,0.692,11,36,47,26,9,6,13,18,116
0022200823,"FEB 08, 2023",CHA @ WAS,L,15,41,0.268,39,93,0.419,9,31,0.29,17,21,0.81,12,28,40,23,11,5,7,17,104
0022200802,"FEB 05, 2023",CHA vs. ORL,L,15,40,0.273,45,83,0.542,12,33,0.364,11,23,0.478,8,31,39,28,8,6,15,23,113
0022200785,"FEB 03, 2023",CHA @ DET,L,15,39,0.278,40,90,0.444,9,34,0.265,23,30,0.767,8,29,37,22,16,2,13,20,112
0022200781,"FEB 02, 2023",CHA @ CHI,L,15,38,0.283,39,93,0.419,7,35,0.2,13,15,0.867,16,29,45,19,6,4,14,15,98
0022200767,"JAN 31, 2023",CHA @ MIL,L,15,37,0.288,42,111,0.378,11,39,0.282,20,26,0.769,18,44,62,27,6,6,11,24,115
0022200752,"JAN 29, 2023",CHA vs. MIA,W,15,36,0.294,45,83,0.542,15,40,0.375,17,22,0.773,11,36,47,25,6,3,19,18,122
0022200732,"JAN 26, 2023",CHA vs. CHI,W,14,36,0.28,39,84,0.464,7,32,0.219,26,31,0.839,6,46,52,24,8,5,14,19,111
0022200718,"JAN 24, 2023",CHA @ PHX,L,13,36,0.265,39,96,0.406,6,25,0.24,13,18,0.722,10,30,40,19,10,5,13,21,97
0022200710,"JAN 23, 2023",CHA @ UTA,L,13,35,0.271,38,85,0.447,2,16,0.125,24,34,0.706,11,31,42,22,8,7,14,23,102
0022200694,"JAN 21, 2023",CHA @ ATL,W,13,34,0.277,45,89,0.506,13,34,0.382,19,22,0.864,6,30,36,28,11,2,12,18,122
0022200671,"JAN 18, 2023",CHA @ HOU,W,12,34,0.261,48,96,0.5,9,36,0.25,17,25,0.68,11,26,37,27,14,10,9,20,122
0022200656,"JAN 16, 2023",CHA vs. BOS,L,11,34,0.244,41,90,0.456,13,31,0.419,23,30,0.767,13,25,38,26,7,2,5,18,118
0022200642,"JAN 14, 2023",CHA vs. BOS,L,11,33,0.25,41,88,0.466,8,27,0.296,16,19,0.842,10,36,46,21,3,2,11,11,106
0022200629,"JAN 12, 2023",CHA @ TOR,L,11,32,0.256,41,77,0.532,13,33,0.394,19,27,0.704,9,33,42,27,6,5,22,30,114
