PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Svi Mykhailiuk,PRBallHandler,Offensive,0.997,19,0.178,1.286,0.571,0.086,0.143,0.086,0.029,0.514,0.732,1.8,2.4,0.8,1.5,0.6
Kelly Oubre Jr.,PRBallHandler,Offensive,0.68,48,0.176,0.941,0.418,0.141,0.059,0.141,0.059,0.435,0.455,3.5,3.3,1.3,3.0,1.8
Gordon Hayward,PRBallHandler,Offensive,0.474,50,0.273,0.853,0.44,0.103,0.162,0.093,0.044,0.402,0.465,4.1,3.5,1.4,3.2,1.8
Theo Maledon,PRBallHandler,Offensive,0.471,44,0.357,0.852,0.444,0.098,0.189,0.09,0.025,0.402,0.483,2.8,2.4,0.9,2.0,1.1
Terry Rozier,PRBallHandler,Offensive,0.44,64,0.331,0.844,0.387,0.071,0.105,0.064,0.011,0.381,0.442,7.3,6.2,2.4,6.1,3.7
LaMelo Ball,PRBallHandler,Offensive,0.372,36,0.407,0.811,0.385,0.066,0.167,0.041,0.005,0.358,0.456,10.2,8.3,3.0,7.9,4.8
Bryce McGowens,PRBallHandler,Offensive,0.225,46,0.164,0.717,0.308,0.217,0.239,0.174,0.022,0.37,0.327,1.0,0.7,0.2,0.6,0.4
Dennis Smith Jr.,PRBallHandler,Offensive,0.145,55,0.264,0.656,0.339,0.084,0.123,0.071,0.013,0.338,0.339,2.8,1.8,0.8,2.3,1.5
P.J. Washington,PRBallHandler,Offensive,0.135,73,0.061,0.648,0.362,0.0,0.183,0.0,0.0,0.296,0.397,1.0,0.6,0.3,0.8,0.5
Jalen McDaniels,PRBallHandler,Offensive,0.12,56,0.073,0.644,0.333,0.111,0.244,0.089,0.022,0.311,0.333,0.8,0.5,0.2,0.5,0.4
James Bouknight,PRBallHandler,Offensive,0.092,34,0.234,0.589,0.279,0.071,0.161,0.071,0.0,0.286,0.314,1.6,1.0,0.4,1.3,0.9
Cody Martin,PRBallHandler,Offensive,0.0,8,0.275,0.182,0.111,0.091,0.091,0.091,0.0,0.091,0.111,1.4,0.3,0.1,1.1,1.0
