PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Nick Richards,Cut,Offensive,0.834,65,0.211,1.468,0.736,0.287,0.032,0.277,0.085,0.745,0.736,1.4,2.1,0.8,1.1,0.3
Dennis Smith Jr.,Cut,Offensive,0.649,55,0.05,1.379,0.783,0.069,0.138,0.069,0.0,0.69,0.783,0.5,0.7,0.3,0.4,0.1
Mason Plumlee,Cut,Offensive,0.646,56,0.213,1.378,0.753,0.283,0.063,0.276,0.047,0.732,0.753,2.3,3.1,1.2,1.6,0.4
P.J. Washington,Cut,Offensive,0.579,73,0.05,1.345,0.667,0.19,0.052,0.19,0.069,0.655,0.667,0.8,1.1,0.4,0.7,0.2
Gordon Hayward,Cut,Offensive,0.483,50,0.042,1.29,0.654,0.226,0.032,0.226,0.097,0.677,0.654,0.6,0.8,0.3,0.5,0.2
Kelly Oubre Jr.,Cut,Offensive,0.392,48,0.051,1.245,0.6,0.224,0.061,0.224,0.102,0.612,0.6,1.0,1.3,0.5,0.8,0.3
Kai Jones,Cut,Offensive,0.335,46,0.143,1.217,0.65,0.043,0.087,0.043,0.0,0.609,0.65,0.5,0.6,0.3,0.4,0.2
Mark Williams,Cut,Offensive,0.312,44,0.266,1.202,0.662,0.18,0.079,0.18,0.022,0.64,0.662,2.0,2.4,1.0,1.5,0.5
Jalen McDaniels,Cut,Offensive,0.292,56,0.057,1.2,0.586,0.143,0.057,0.143,0.029,0.6,0.586,0.6,0.8,0.3,0.5,0.2
Terry Rozier,Cut,Offensive,0.265,64,0.018,1.192,0.545,0.192,0.077,0.192,0.115,0.538,0.545,0.4,0.5,0.2,0.3,0.2
LaMelo Ball,Cut,Offensive,0.257,36,0.012,1.182,0.6,0.091,0.091,0.091,0.091,0.545,0.6,0.3,0.4,0.2,0.3,0.1
Bryce McGowens,Cut,Offensive,0.221,46,0.046,1.154,0.667,0.154,0.077,0.231,0.0,0.615,0.667,0.3,0.3,0.1,0.2,0.1
JT Thor,Cut,Offensive,0.119,69,0.092,1.036,0.565,0.107,0.071,0.107,0.0,0.536,0.565,0.4,0.4,0.2,0.3,0.1
