PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Theo Maledon,Handoff,Offensive,0.91,44,0.07,1.25,0.421,0.167,0.042,0.125,0.0,0.5,0.605,0.5,0.7,0.2,0.4,0.3
Svi Mykhailiuk,Handoff,Offensive,0.91,19,0.081,1.25,0.5,0.125,0.125,0.125,0.0,0.5,0.667,0.8,1.1,0.3,0.6,0.3
Terry Rozier,Handoff,Offensive,0.829,64,0.066,1.151,0.547,0.054,0.14,0.032,0.0,0.495,0.647,1.5,1.7,0.6,1.2,0.5
Kelly Oubre Jr.,Handoff,Offensive,0.804,48,0.08,1.13,0.492,0.156,0.091,0.13,0.039,0.494,0.574,1.6,1.8,0.6,1.3,0.6
LaMelo Ball,Handoff,Offensive,0.779,36,0.059,1.113,0.511,0.019,0.151,0.019,0.019,0.434,0.644,1.5,1.6,0.6,1.3,0.6
James Bouknight,Handoff,Offensive,0.609,34,0.059,1.0,0.5,0.071,0.214,0.071,0.0,0.429,0.65,0.4,0.4,0.1,0.3,0.1
Bryce McGowens,Handoff,Offensive,0.609,46,0.039,1.0,0.286,0.364,0.091,0.182,0.091,0.455,0.357,0.2,0.2,0.0,0.2,0.1
Gordon Hayward,Handoff,Offensive,0.461,50,0.079,0.915,0.438,0.102,0.102,0.102,0.017,0.424,0.49,1.2,1.1,0.4,1.0,0.5
P.J. Washington,Handoff,Offensive,0.393,73,0.041,0.872,0.366,0.043,0.085,0.043,0.0,0.362,0.463,0.6,0.6,0.2,0.6,0.4
Jalen McDaniels,Handoff,Offensive,0.157,56,0.039,0.708,0.35,0.083,0.125,0.083,0.042,0.333,0.35,0.4,0.3,0.1,0.4,0.2
Dennis Smith Jr.,Handoff,Offensive,0.046,55,0.046,0.593,0.348,0.0,0.148,0.0,0.0,0.296,0.348,0.5,0.3,0.1,0.4,0.3
