PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Nick Richards,PRRollMan,Offensive,0.873,65,0.211,1.351,0.657,0.298,0.074,0.298,0.12,0.67,0.657,1.4,2.0,0.7,1.1,0.4
Gordon Hayward,PRRollMan,Offensive,0.775,50,0.034,1.28,0.6,0.2,0.04,0.2,0.04,0.64,0.6,0.5,0.6,0.2,0.4,0.2
P.J. Washington,PRRollMan,Offensive,0.767,73,0.105,1.279,0.55,0.115,0.025,0.098,0.03,0.574,0.624,1.7,2.1,0.8,1.5,0.7
Mark Williams,PRRollMan,Offensive,0.663,44,0.201,1.209,0.648,0.164,0.075,0.164,0.04,0.612,0.648,1.5,1.8,0.8,1.2,0.4
Mason Plumlee,PRRollMan,Offensive,0.638,56,0.178,1.189,0.623,0.283,0.075,0.274,0.08,0.613,0.623,1.9,2.3,0.9,1.4,0.5
Jalen McDaniels,PRRollMan,Offensive,0.607,56,0.028,1.176,0.533,0.118,0.059,0.118,0.06,0.529,0.567,0.3,0.4,0.1,0.3,0.1
Terry Rozier,PRRollMan,Offensive,0.398,64,0.011,1.063,0.467,0.0,0.063,0.0,0.0,0.438,0.567,0.3,0.3,0.1,0.2,0.1
Kai Jones,PRRollMan,Offensive,0.199,46,0.099,0.875,0.636,0.0,0.313,0.0,0.0,0.438,0.636,0.3,0.3,0.2,0.2,0.1
Kelly Oubre Jr.,PRRollMan,Offensive,0.136,48,0.023,0.818,0.263,0.227,0.0,0.227,0.09,0.364,0.263,0.5,0.4,0.1,0.4,0.3
JT Thor,PRRollMan,Offensive,0.018,69,0.036,0.455,0.286,0.091,0.273,0.091,0.0,0.273,0.286,0.2,0.1,0.0,0.1,0.1
