PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Cody Martin,Spotup,Offensive,0.99,8,0.375,1.467,0.533,0.2,0.0,0.2,0.2,0.533,0.633,1.9,2.8,1.0,1.9,0.9
Nick Richards,Spotup,Offensive,0.943,65,0.022,1.3,0.625,0.1,0.1,0.1,0.0,0.6,0.688,0.2,0.2,0.1,0.1,0.0
Mason Plumlee,Spotup,Offensive,0.928,56,0.062,1.27,0.654,0.297,0.054,0.27,0.054,0.676,0.654,0.7,0.8,0.3,0.5,0.2
Bryce McGowens,Spotup,Offensive,0.722,46,0.368,1.117,0.46,0.126,0.087,0.126,0.058,0.456,0.575,2.2,2.5,0.9,1.9,1.0
LaMelo Ball,Spotup,Offensive,0.65,36,0.192,1.081,0.39,0.023,0.035,0.023,0.006,0.387,0.549,4.8,5.2,1.8,4.6,2.8
Kelly Oubre Jr.,Spotup,Offensive,0.503,48,0.263,1.016,0.381,0.039,0.035,0.039,0.004,0.386,0.513,5.3,5.4,1.9,4.9,3.0
Terry Rozier,Spotup,Offensive,0.423,64,0.156,0.982,0.378,0.041,0.055,0.041,0.009,0.377,0.498,3.4,3.4,1.2,3.1,2.0
Jalen McDaniels,Spotup,Offensive,0.337,56,0.373,0.943,0.371,0.039,0.083,0.035,0.004,0.362,0.498,4.1,3.9,1.3,3.6,2.3
JT Thor,Spotup,Offensive,0.319,69,0.497,0.934,0.366,0.046,0.079,0.04,0.013,0.351,0.489,2.2,2.0,0.7,1.9,1.2
Gordon Hayward,Spotup,Offensive,0.311,50,0.208,0.929,0.391,0.052,0.071,0.039,0.013,0.387,0.475,3.1,2.9,1.1,2.8,1.7
James Bouknight,Spotup,Offensive,0.307,34,0.28,0.925,0.354,0.0,0.03,0.0,0.0,0.343,0.477,2.0,1.8,0.7,1.9,1.2
P.J. Washington,Spotup,Offensive,0.303,73,0.376,0.924,0.377,0.041,0.067,0.044,0.011,0.365,0.483,6.0,5.5,2.0,5.4,3.4
Svi Mykhailiuk,Spotup,Offensive,0.215,19,0.259,0.882,0.319,0.02,0.059,0.02,0.0,0.314,0.468,2.7,2.4,0.8,2.5,1.7
Dennis Smith Jr.,Spotup,Offensive,0.151,55,0.267,0.827,0.37,0.045,0.09,0.045,0.0,0.365,0.448,2.8,2.3,0.9,2.5,1.5
Theo Maledon,Spotup,Offensive,0.143,44,0.263,0.822,0.351,0.044,0.111,0.044,0.011,0.333,0.435,2.0,1.7,0.6,1.8,1.1
Kai Jones,Spotup,Offensive,0.029,46,0.242,0.564,0.242,0.077,0.128,0.077,0.051,0.231,0.303,0.8,0.5,0.2,0.7,0.5
