PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Kevin Durant,BKN,PRBallHandler,Offensive,0.982,39,0.148,1.193,0.59,0.159,0.179,0.152,0.062,0.524,0.648,3.7,4.4,1.6,2.7,1.1
Kawhi Leonard,LAC,PRBallHandler,Offensive,0.969,52,0.23,1.166,0.546,0.142,0.105,0.117,0.04,0.534,0.589,4.8,5.5,2.1,3.8,1.7
Stephen Curry,GSW,PRBallHandler,Offensive,0.951,56,0.304,1.142,0.504,0.093,0.135,0.086,0.026,0.47,0.617,7.7,8.8,3.1,6.1,3.0
Donovan Mitchell,CLE,PRBallHandler,Offensive,0.942,68,0.368,1.131,0.506,0.104,0.112,0.087,0.019,0.49,0.596,9.3,10.6,3.8,7.5,3.7
Damian Lillard,POR,PRBallHandler,Offensive,0.938,58,0.396,1.127,0.476,0.185,0.127,0.151,0.033,0.492,0.567,11.1,12.5,3.8,7.9,4.2
Jimmy Butler,MIA,PRBallHandler,Offensive,0.914,64,0.249,1.086,0.491,0.22,0.072,0.178,0.049,0.536,0.496,4.8,5.2,1.8,3.6,1.8
Austin Reaves,LAL,PRBallHandler,Offensive,0.904,64,0.263,1.077,0.558,0.22,0.209,0.203,0.055,0.511,0.602,2.8,3.1,1.0,1.8,0.8
Luka Doncic,DAL,PRBallHandler,Offensive,0.895,66,0.339,1.063,0.518,0.145,0.145,0.131,0.039,0.484,0.587,10.2,10.8,3.9,7.6,3.7
DeMar DeRozan,CHI,PRBallHandler,Offensive,0.892,74,0.419,1.062,0.532,0.14,0.104,0.136,0.041,0.519,0.538,9.4,10.0,4.0,7.5,3.5
Spencer Dinwiddie,DAL,PRBallHandler,Offensive,0.889,53,0.244,1.061,0.494,0.127,0.117,0.127,0.042,0.474,0.571,4.0,4.3,1.6,3.2,1.6
Norman Powell,LAC,PRBallHandler,Offensive,0.88,60,0.256,1.054,0.46,0.179,0.104,0.154,0.017,0.5,0.506,4.0,4.2,1.4,2.9,1.6
Giannis Antetokounmpo,MIL,PRBallHandler,Offensive,0.874,63,0.113,1.052,0.545,0.246,0.123,0.237,0.062,0.526,0.566,3.3,3.5,1.3,2.3,1.0
Tyrese Haliburton,IND,PRBallHandler,Offensive,0.868,56,0.469,1.044,0.475,0.111,0.131,0.101,0.038,0.448,0.561,8.8,9.2,3.3,7.0,3.7
Kyrie Irving,BKN,PRBallHandler,Offensive,0.852,40,0.247,1.025,0.448,0.066,0.083,0.062,0.021,0.436,0.529,6.0,6.2,2.4,5.3,2.9
De'Aaron Fox,SAC,PRBallHandler,Offensive,0.849,73,0.36,1.025,0.511,0.134,0.118,0.118,0.025,0.498,0.538,8.4,8.6,3.3,6.5,3.2
Cole Anthony,ORL,PRBallHandler,Offensive,0.843,60,0.377,1.021,0.507,0.104,0.125,0.093,0.021,0.484,0.539,4.8,4.9,1.9,3.8,1.9
Marcus Smart,BOS,PRBallHandler,Offensive,0.84,61,0.184,1.02,0.51,0.116,0.197,0.102,0.02,0.456,0.587,2.4,2.5,0.9,1.7,0.8
Monte Morris,WAS,PRBallHandler,Offensive,0.837,62,0.363,1.018,0.49,0.045,0.082,0.045,0.018,0.464,0.533,3.5,3.6,1.5,3.2,1.6
Devin Vassell,SAS,PRBallHandler,Offensive,0.834,39,0.265,1.016,0.503,0.06,0.098,0.06,0.016,0.475,0.541,4.7,4.8,2.0,4.0,2.0
Tyrese Maxey,PHI,PRBallHandler,Offensive,0.831,60,0.329,1.014,0.463,0.115,0.079,0.115,0.028,0.469,0.512,5.9,6.0,2.3,4.9,2.6
Shai Gilgeous-Alexander,OKC,PRBallHandler,Offensive,0.828,68,0.29,1.013,0.496,0.173,0.14,0.158,0.029,0.497,0.508,8.1,8.2,2.9,5.8,2.9
Jalen Brunson,NYK,PRBallHandler,Offensive,0.825,68,0.433,1.012,0.473,0.13,0.091,0.119,0.029,0.481,0.509,9.5,9.6,3.6,7.7,4.0
Anfernee Simons,POR,PRBallHandler,Offensive,0.822,62,0.341,1.012,0.451,0.068,0.099,0.054,0.007,0.435,0.537,6.9,6.9,2.6,5.7,3.1
Malcolm Brogdon,BOS,PRBallHandler,Offensive,0.818,67,0.33,1.01,0.437,0.103,0.103,0.09,0.02,0.435,0.522,4.5,4.5,1.6,3.7,2.1
Devin Booker,PHX,PRBallHandler,Offensive,0.815,53,0.294,1.005,0.467,0.134,0.096,0.106,0.038,0.474,0.505,7.5,7.5,2.8,6.1,3.2
Mikal Bridges,BKN,PRBallHandler,Offensive,0.809,27,0.273,1.0,0.484,0.175,0.129,0.152,0.053,0.48,0.496,6.3,6.3,2.3,4.7,2.4
Jrue Holiday,MIL,PRBallHandler,Offensive,0.791,67,0.373,0.996,0.484,0.071,0.148,0.056,0.008,0.441,0.563,7.2,7.1,2.7,5.7,2.9
Immanuel Quickley,NYK,PRBallHandler,Offensive,0.782,81,0.303,0.988,0.447,0.143,0.099,0.134,0.038,0.455,0.504,4.2,4.2,1.5,3.4,1.9
De'Andre Hunter,ATL,PRBallHandler,Offensive,0.778,67,0.147,0.986,0.474,0.122,0.109,0.109,0.02,0.476,0.496,2.2,2.2,0.8,1.7,0.9
Jaylen Brown,BOS,PRBallHandler,Offensive,0.769,67,0.168,0.983,0.47,0.114,0.159,0.107,0.017,0.443,0.537,4.3,4.2,1.5,3.2,1.7
Collin Sexton,UTA,PRBallHandler,Offensive,0.763,48,0.235,0.98,0.454,0.187,0.12,0.167,0.027,0.48,0.472,3.1,3.1,1.0,2.3,1.2
Khris Middleton,MIL,PRBallHandler,Offensive,0.76,33,0.277,0.979,0.459,0.084,0.168,0.077,0.014,0.42,0.528,4.3,4.2,1.5,3.3,1.8
Alec Burks,DET,PRBallHandler,Offensive,0.754,51,0.392,0.978,0.411,0.121,0.095,0.121,0.022,0.427,0.486,4.5,4.5,1.5,3.6,2.1
Eric Gordon,HOU,PRBallHandler,Offensive,0.751,47,0.284,0.977,0.484,0.139,0.191,0.127,0.035,0.439,0.545,3.7,3.6,1.3,2.6,1.3
Jamal Murray,DEN,PRBallHandler,Offensive,0.742,65,0.315,0.975,0.475,0.07,0.13,0.052,0.007,0.439,0.54,6.2,6.0,2.4,5.0,2.6
D'Angelo Russell,MIN,PRBallHandler,Offensive,0.745,54,0.341,0.975,0.477,0.112,0.171,0.078,0.012,0.444,0.543,6.0,5.8,2.1,4.4,2.3
Paul George,LAC,PRBallHandler,Offensive,0.735,56,0.296,0.966,0.462,0.099,0.158,0.081,0.013,0.431,0.533,6.9,6.6,2.4,5.2,2.8
Dejounte Murray,ATL,PRBallHandler,Offensive,0.729,74,0.375,0.964,0.482,0.048,0.087,0.048,0.017,0.455,0.506,7.9,7.6,3.4,7.0,3.6
Luguentz Dort,OKC,PRBallHandler,Offensive,0.726,74,0.173,0.963,0.441,0.144,0.118,0.134,0.037,0.449,0.483,2.5,2.4,0.9,2.0,1.1
Fred VanVleet,TOR,PRBallHandler,Offensive,0.708,69,0.408,0.957,0.422,0.103,0.122,0.088,0.023,0.414,0.493,8.1,7.7,2.7,6.4,3.7
Desmond Bane,MEM,PRBallHandler,Offensive,0.692,58,0.173,0.949,0.475,0.071,0.152,0.061,0.02,0.429,0.532,3.4,3.2,1.3,2.7,1.4
Brandon Ingram,NOP,PRBallHandler,Offensive,0.689,45,0.276,0.947,0.474,0.128,0.135,0.118,0.026,0.464,0.489,6.8,6.4,2.4,5.2,2.7
Darius Garland,CLE,PRBallHandler,Offensive,0.686,69,0.416,0.946,0.459,0.102,0.14,0.079,0.015,0.438,0.511,8.8,8.3,3.1,6.8,3.7
Derrick White,BOS,PRBallHandler,Offensive,0.683,82,0.235,0.945,0.435,0.137,0.16,0.132,0.032,0.425,0.503,2.7,2.5,0.9,2.0,1.1
