PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
LeBron James,LAL,Cut,Offensive,0.983,55,0.045,1.797,0.869,0.174,0.014,0.174,0.072,0.87,0.869,1.3,2.3,1.0,1.1,0.1
Shai Gilgeous-Alexander,OKC,Cut,Offensive,0.95,68,0.03,1.607,0.804,0.071,0.018,0.071,0.0,0.804,0.804,0.8,1.3,0.6,0.8,0.1
Michael Porter Jr.,DEN,Cut,Offensive,0.934,63,0.074,1.58,0.79,0.116,0.029,0.116,0.043,0.783,0.79,1.1,1.7,0.8,1.0,0.2
Santi Aldama,MEM,Cut,Offensive,0.931,77,0.093,1.567,0.755,0.15,0.017,0.133,0.05,0.767,0.755,0.8,1.2,0.5,0.7,0.2
Jaden McDaniels,MIN,Cut,Offensive,0.931,79,0.068,1.567,0.788,0.167,0.017,0.167,0.05,0.8,0.788,0.8,1.2,0.5,0.7,0.1
Stephen Curry,GSW,Cut,Offensive,0.909,56,0.047,1.537,0.754,0.149,0.045,0.149,0.045,0.746,0.754,1.2,1.8,0.8,1.0,0.3
Jimmy Butler,MIA,Cut,Offensive,0.903,64,0.091,1.523,0.741,0.27,0.054,0.261,0.054,0.757,0.741,1.7,2.6,0.9,1.3,0.3
Chimezie Metu,SAC,Cut,Offensive,0.892,66,0.245,1.514,0.759,0.157,0.029,0.157,0.014,0.771,0.759,1.1,1.6,0.7,0.9,0.2
Thomas Bryant,LAL,Cut,Offensive,0.887,41,0.199,1.507,0.734,0.173,0.013,0.173,0.04,0.76,0.734,1.8,2.8,1.1,1.6,0.4
Luke Kornet,BOS,Cut,Offensive,0.87,69,0.365,1.494,0.778,0.143,0.065,0.143,0.026,0.74,0.778,1.1,1.7,0.7,0.9,0.2
Pascal Siakam,TOR,Cut,Offensive,0.867,71,0.037,1.492,0.679,0.27,0.016,0.27,0.127,0.714,0.679,0.9,1.3,0.5,0.7,0.2
Franz Wagner,ORL,Cut,Offensive,0.865,80,0.056,1.487,0.742,0.238,0.038,0.213,0.05,0.763,0.742,1.0,1.5,0.6,0.8,0.2
Aaron Gordon,DEN,Cut,Offensive,0.862,68,0.185,1.486,0.791,0.141,0.038,0.13,0.032,0.768,0.791,2.7,4.0,1.8,2.3,0.5
Robert Williams III,BOS,Cut,Offensive,0.859,35,0.318,1.486,0.803,0.114,0.071,0.114,0.057,0.757,0.803,2.0,3.0,1.4,1.7,0.3
Jaren Jackson Jr.,MEM,Cut,Offensive,0.854,63,0.082,1.483,0.708,0.264,0.023,0.23,0.034,0.759,0.708,1.4,2.0,0.7,1.0,0.3
Daniel Gafford,WAS,Cut,Offensive,0.851,78,0.229,1.48,0.778,0.252,0.047,0.252,0.079,0.764,0.778,1.6,2.4,1.0,1.3,0.3
Mitchell Robinson,NYK,Cut,Offensive,0.848,59,0.253,1.474,0.788,0.179,0.011,0.179,0.032,0.768,0.788,1.6,2.4,1.1,1.4,0.3
Jeff Green,DEN,Cut,Offensive,0.845,56,0.174,1.473,0.732,0.27,0.054,0.27,0.081,0.743,0.732,1.3,1.9,0.7,1.0,0.3
Evan Mobley,CLE,Cut,Offensive,0.843,79,0.207,1.472,0.734,0.15,0.024,0.15,0.051,0.736,0.734,3.2,4.7,2.1,2.8,0.7
Jalen Williams,OKC,Cut,Offensive,0.837,75,0.085,1.471,0.761,0.188,0.071,0.188,0.047,0.729,0.761,1.1,1.7,0.7,0.9,0.2
Nick Richards,CHA,Cut,Offensive,0.834,65,0.211,1.468,0.736,0.287,0.032,0.277,0.085,0.745,0.736,1.4,2.1,0.8,1.1,0.3
