PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Derrick White,BOS,Handoff,Offensive,0.979,82,0.037,1.382,0.633,0.088,0.088,0.088,0.059,0.588,0.717,0.4,0.6,0.2,0.4,0.1
Ochai Agbaji,UTA,Handoff,Offensive,0.975,59,0.072,1.364,0.5,0.121,0.03,0.121,0.061,0.515,0.683,0.6,0.8,0.3,0.5,0.3
Anfernee Simons,POR,Handoff,Offensive,0.964,62,0.061,1.342,0.537,0.053,0.066,0.039,0.0,0.526,0.687,1.2,1.6,0.6,1.1,0.5
Trendon Watford,POR,Handoff,Offensive,0.961,62,0.092,1.325,0.679,0.2,0.15,0.175,0.05,0.625,0.732,0.6,0.9,0.3,0.5,0.1
Bogdan Bogdanovic,ATL,Handoff,Offensive,0.957,54,0.054,1.316,0.545,0.053,0.079,0.053,0.0,0.526,0.712,0.7,0.9,0.3,0.6,0.3
Isaiah Joe,OKC,Handoff,Offensive,0.95,73,0.1,1.31,0.531,0.103,0.069,0.103,0.017,0.534,0.663,0.8,1.0,0.4,0.7,0.3
Cam Thomas,BKN,Handoff,Offensive,0.943,57,0.061,1.306,0.615,0.222,0.139,0.222,0.083,0.583,0.673,0.6,0.8,0.3,0.5,0.2
Mikal Bridges,BKN,Handoff,Offensive,0.939,27,0.073,1.304,0.564,0.13,0.043,0.13,0.022,0.587,0.628,1.7,2.2,0.8,1.4,0.6
Jayson Tatum,BOS,Handoff,Offensive,0.932,74,0.025,1.294,0.6,0.137,0.118,0.118,0.039,0.569,0.7,0.7,0.9,0.3,0.5,0.2
James Harden,PHI,Handoff,Offensive,0.929,58,0.033,1.282,0.563,0.103,0.128,0.103,0.051,0.513,0.688,0.7,0.9,0.3,0.6,0.2
