PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Bogdan Bogdanovic,ATL,Isolation,Offensive,0.98,54,0.055,1.333,0.515,0.128,0.026,0.128,0.0,0.564,0.652,0.7,1.0,0.3,0.6,0.3
Caleb Martin,MIA,Isolation,Offensive,0.972,71,0.053,1.306,0.581,0.111,0.083,0.111,0.056,0.556,0.661,0.5,0.7,0.3,0.4,0.2
Collin Sexton,UTA,Isolation,Offensive,0.969,48,0.122,1.295,0.655,0.192,0.128,0.167,0.064,0.615,0.698,1.6,2.1,0.8,1.2,0.4
Kyrie Irving,BKN,Isolation,Offensive,0.957,40,0.198,1.28,0.558,0.15,0.057,0.14,0.062,0.565,0.618,4.8,6.2,2.3,4.1,1.8
Kris Dunn,UTA,Isolation,Offensive,0.937,22,0.142,1.231,0.571,0.154,0.026,0.154,0.077,0.59,0.571,1.8,2.2,0.9,1.6,0.7
Harrison Barnes,SAC,Isolation,Offensive,0.933,82,0.058,1.21,0.525,0.306,0.097,0.274,0.048,0.597,0.55,0.8,0.9,0.3,0.5,0.2
D'Angelo Russell,MIN,Isolation,Offensive,0.929,54,0.046,1.209,0.472,0.14,0.047,0.093,0.023,0.488,0.597,0.8,1.0,0.3,0.7,0.4
Spencer Dinwiddie,BKN,Isolation,Offensive,0.921,26,0.231,1.196,0.527,0.159,0.047,0.159,0.056,0.542,0.571,4.1,4.9,1.8,3.5,1.7
Damian Lillard,POR,Isolation,Offensive,0.909,58,0.175,1.168,0.49,0.214,0.091,0.196,0.046,0.53,0.55,4.9,5.7,1.8,3.6,1.8
Zion Williamson,NOP,Isolation,Offensive,0.886,29,0.181,1.156,0.605,0.23,0.164,0.197,0.057,0.574,0.605,4.2,4.9,1.7,2.8,1.1
Lauri Markkanen,UTA,Isolation,Offensive,0.89,66,0.045,1.156,0.435,0.281,0.031,0.234,0.031,0.563,0.478,1.0,1.1,0.3,0.7,0.4
DeMar DeRozan,CHI,Isolation,Offensive,0.882,74,0.158,1.152,0.492,0.269,0.061,0.261,0.068,0.561,0.497,3.6,4.1,1.3,2.6,1.3
Kristaps Porzingis,WAS,Isolation,Offensive,0.878,65,0.056,1.149,0.525,0.176,0.081,0.176,0.054,0.541,0.542,1.1,1.3,0.5,0.9,0.4
Kyrie Irving,DAL,Isolation,Offensive,0.874,20,0.209,1.146,0.463,0.156,0.031,0.146,0.042,0.51,0.518,4.8,5.5,1.9,4.1,2.2
Jaren Jackson Jr.,MEM,Isolation,Offensive,0.87,63,0.051,1.13,0.486,0.352,0.13,0.333,0.13,0.537,0.5,0.9,1.0,0.3,0.6,0.3
Deni Avdija,WAS,Isolation,Offensive,0.862,76,0.054,1.119,0.545,0.19,0.119,0.167,0.095,0.524,0.561,0.6,0.6,0.2,0.4,0.2
Luka Doncic,DAL,Isolation,Offensive,0.854,66,0.238,1.11,0.453,0.2,0.059,0.168,0.032,0.505,0.532,7.1,7.9,2.5,5.5,3.0
Donovan Mitchell,CLE,Isolation,Offensive,0.85,68,0.096,1.108,0.45,0.133,0.072,0.12,0.048,0.464,0.539,2.4,2.7,0.9,2.1,1.1
Jalen Brunson,NYK,Isolation,Offensive,0.843,68,0.132,1.102,0.5,0.122,0.066,0.107,0.041,0.503,0.545,2.9,3.2,1.2,2.5,1.2
James Harden,PHI,Isolation,Offensive,0.839,58,0.303,1.101,0.408,0.207,0.067,0.201,0.047,0.466,0.491,6.2,6.8,1.9,4.8,2.8
Zach LaVine,CHI,Isolation,Offensive,0.831,77,0.125,1.095,0.486,0.14,0.095,0.14,0.045,0.489,0.55,2.9,3.1,1.1,2.3,1.2
Mikal Bridges,BKN,Isolation,Offensive,0.827,27,0.086,1.093,0.478,0.148,0.074,0.148,0.074,0.481,0.543,2.0,2.2,0.8,1.7,0.9
De'Aaron Fox,SAC,Isolation,Offensive,0.819,73,0.108,1.082,0.517,0.152,0.076,0.147,0.038,0.522,0.544,2.5,2.7,1.1,2.0,1.0
Jalen Williams,OKC,Isolation,Offensive,0.807,75,0.069,1.072,0.56,0.13,0.159,0.13,0.014,0.522,0.57,0.9,1.0,0.4,0.7,0.3
Joel Embiid,PHI,Isolation,Offensive,0.803,66,0.23,1.071,0.502,0.191,0.097,0.182,0.037,0.53,0.509,6.6,7.0,2.5,4.9,2.5
Shai Gilgeous-Alexander,OKC,Isolation,Offensive,0.787,68,0.235,1.063,0.46,0.209,0.063,0.189,0.027,0.527,0.475,6.5,6.9,2.3,4.9,2.7
Stephen Curry,GSW,Isolation,Offensive,0.776,56,0.065,1.054,0.481,0.087,0.098,0.065,0.043,0.457,0.551,1.6,1.7,0.7,1.4,0.7
Immanuel Quickley,NYK,Isolation,Offensive,0.772,81,0.1,1.053,0.424,0.159,0.044,0.159,0.08,0.451,0.485,1.4,1.5,0.5,1.2,0.7
Jimmy Butler,MIA,Isolation,Offensive,0.764,64,0.162,1.051,0.442,0.218,0.066,0.213,0.036,0.508,0.476,3.1,3.2,1.0,2.3,1.3
Jordan Clarkson,UTA,Isolation,Offensive,0.756,61,0.099,1.047,0.516,0.147,0.171,0.132,0.039,0.481,0.565,2.1,2.2,0.8,1.5,0.7
Cam Thomas,BKN,Isolation,Offensive,0.744,57,0.176,1.038,0.44,0.154,0.077,0.135,0.038,0.471,0.506,1.8,1.9,0.6,1.5,0.8
De'Andre Hunter,ATL,Isolation,Offensive,0.736,67,0.059,1.034,0.469,0.136,0.085,0.136,0.051,0.475,0.52,0.9,0.9,0.3,0.7,0.4
Kevin Durant,BKN,Isolation,Offensive,0.732,39,0.216,1.024,0.485,0.132,0.123,0.123,0.024,0.481,0.506,5.4,5.6,2.0,4.2,2.2
Eric Gordon,HOU,Isolation,Offensive,0.727,47,0.079,1.021,0.436,0.104,0.104,0.083,0.021,0.438,0.5,1.0,1.0,0.4,0.8,0.5
Markelle Fultz,ORL,Isolation,Offensive,0.727,60,0.055,1.021,0.553,0.083,0.125,0.083,0.0,0.521,0.553,0.8,0.8,0.4,0.6,0.3
Tre Mann,OKC,Isolation,Offensive,0.72,67,0.093,1.019,0.458,0.074,0.093,0.074,0.056,0.426,0.531,0.8,0.8,0.3,0.7,0.4
Bam Adebayo,MIA,Isolation,Offensive,0.713,75,0.119,1.017,0.489,0.181,0.068,0.181,0.045,0.508,0.489,2.4,2.4,0.9,1.9,1.0
Kevin Porter Jr.,HOU,Isolation,Offensive,0.717,59,0.15,1.017,0.384,0.148,0.051,0.125,0.028,0.438,0.466,3.0,3.0,0.9,2.5,1.5
Kawhi Leonard,LAC,Isolation,Offensive,0.709,52,0.186,1.015,0.459,0.11,0.05,0.095,0.015,0.48,0.503,3.8,3.9,1.5,3.3,1.8
Tobias Harris,PHI,Isolation,Offensive,0.705,74,0.077,1.013,0.492,0.092,0.118,0.092,0.013,0.474,0.533,1.0,1.0,0.4,0.8,0.4
Alperen Sengun,HOU,Isolation,Offensive,0.694,75,0.05,1.0,0.526,0.196,0.196,0.196,0.071,0.482,0.526,0.7,0.7,0.3,0.5,0.2
Pascal Siakam,TOR,Isolation,Offensive,0.673,71,0.156,0.996,0.478,0.16,0.08,0.137,0.019,0.51,0.485,3.7,3.7,1.4,2.9,1.5
Spencer Dinwiddie,DAL,Isolation,Offensive,0.669,53,0.259,0.991,0.395,0.181,0.071,0.177,0.018,0.465,0.456,4.3,4.2,1.3,3.2,2.0
Caris LeVert,CLE,Isolation,Offensive,0.665,75,0.119,0.991,0.424,0.18,0.099,0.18,0.045,0.441,0.488,1.5,1.5,0.5,1.1,0.7
Jamal Murray,DEN,Isolation,Offensive,0.661,65,0.097,0.984,0.422,0.065,0.049,0.065,0.0,0.439,0.491,1.9,1.9,0.7,1.7,1.0
Josh Christopher,HOU,Isolation,Offensive,0.657,64,0.123,0.98,0.535,0.059,0.098,0.059,0.0,0.51,0.547,0.8,0.8,0.4,0.7,0.3
Julius Randle,NYK,Isolation,Offensive,0.65,77,0.205,0.974,0.446,0.184,0.129,0.165,0.045,0.459,0.493,4.9,4.8,1.6,3.6,2.0
Bojan Bogdanovic,DET,Isolation,Offensive,0.638,59,0.091,0.971,0.427,0.136,0.087,0.087,0.019,0.447,0.482,1.7,1.7,0.6,1.4,0.8
RJ Barrett,NYK,Isolation,Offensive,0.634,73,0.065,0.969,0.465,0.173,0.133,0.173,0.031,0.48,0.493,1.3,1.3,0.5,1.0,0.5
Chris Paul,PHX,Isolation,Offensive,0.63,59,0.074,0.968,0.411,0.048,0.063,0.016,0.0,0.413,0.5,1.1,1.0,0.4,0.9,0.6
Malcolm Brogdon,BOS,Isolation,Offensive,0.626,67,0.09,0.963,0.455,0.122,0.098,0.122,0.024,0.463,0.485,1.2,1.2,0.4,1.0,0.5
Klay Thompson,GSW,Isolation,Offensive,0.622,69,0.038,0.963,0.457,0.056,0.093,0.056,0.0,0.426,0.533,0.8,0.8,0.3,0.7,0.4
Nikola Jokic,DEN,Isolation,Offensive,0.602,69,0.045,0.954,0.478,0.169,0.169,0.138,0.046,0.446,0.511,0.9,0.9,0.3,0.7,0.3
Brandon Ingram,NOP,Isolation,Offensive,0.591,45,0.126,0.942,0.431,0.158,0.065,0.144,0.058,0.453,0.431,3.1,2.9,1.1,2.6,1.5
Jalen Green,HOU,Isolation,Offensive,0.587,76,0.114,0.94,0.395,0.156,0.07,0.146,0.045,0.432,0.46,2.6,2.5,0.8,2.1,1.3
Dennis Schroder,LAL,Isolation,Offensive,0.583,66,0.113,0.939,0.382,0.235,0.112,0.143,0.041,0.449,0.404,1.5,1.4,0.4,1.0,0.6
Trae Young,ATL,Isolation,Offensive,0.575,73,0.129,0.937,0.404,0.162,0.111,0.13,0.036,0.431,0.44,3.5,3.2,1.1,2.6,1.6
Anthony Edwards,MIN,Isolation,Offensive,0.567,79,0.176,0.933,0.413,0.067,0.07,0.067,0.014,0.409,0.48,4.4,4.1,1.6,3.8,2.3
Jayson Tatum,BOS,Isolation,Offensive,0.555,74,0.172,0.925,0.349,0.15,0.086,0.141,0.012,0.409,0.422,4.7,4.3,1.3,3.6,2.4
Talen Horton-Tucker,UTA,Isolation,Offensive,0.551,65,0.088,0.915,0.431,0.141,0.099,0.127,0.056,0.423,0.457,1.1,1.0,0.4,0.9,0.5
Keldon Johnson,SAS,Isolation,Offensive,0.543,63,0.042,0.914,0.429,0.19,0.121,0.19,0.034,0.466,0.452,0.9,0.8,0.3,0.7,0.4
Tyrese Haliburton,IND,Isolation,Offensive,0.547,56,0.1,0.914,0.372,0.143,0.086,0.133,0.048,0.4,0.424,1.9,1.7,0.6,1.5,1.0
Jaylen Brown,BOS,Isolation,Offensive,0.539,67,0.099,0.912,0.427,0.099,0.094,0.099,0.029,0.421,0.469,2.6,2.3,0.9,2.1,1.2
Paul George,LAC,Isolation,Offensive,0.535,56,0.145,0.91,0.421,0.106,0.101,0.085,0.016,0.431,0.461,3.4,3.1,1.1,2.7,1.6
Anthony Davis,LAL,Isolation,Offensive,0.528,56,0.083,0.907,0.44,0.121,0.056,0.112,0.028,0.458,0.44,1.9,1.7,0.7,1.6,0.9
Devin Booker,PHX,Isolation,Offensive,0.508,53,0.136,0.896,0.4,0.142,0.087,0.137,0.022,0.437,0.417,3.5,3.1,1.1,2.7,1.6
Terry Rozier,CHA,Isolation,Offensive,0.504,64,0.074,0.894,0.366,0.077,0.038,0.058,0.01,0.394,0.425,1.6,1.5,0.5,1.5,0.9
Dejounte Murray,ATL,Isolation,Offensive,0.5,74,0.164,0.891,0.418,0.086,0.098,0.086,0.016,0.418,0.446,3.5,3.1,1.2,2.9,1.7
Khris Middleton,MIL,Isolation,Offensive,0.492,33,0.12,0.887,0.386,0.065,0.032,0.048,0.016,0.403,0.43,1.9,1.7,0.7,1.7,1.1
Tyrese Maxey,PHI,Isolation,Offensive,0.484,60,0.073,0.886,0.379,0.076,0.089,0.076,0.0,0.392,0.447,1.3,1.2,0.4,1.1,0.7
