PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Jaden Hardy,DAL,OffScreen,Offensive,0.974,48,0.058,1.417,0.667,0.042,0.083,0.0,0.0,0.625,0.786,0.5,0.7,0.3,0.4,0.1
Andrew Wiggins,GSW,OffScreen,Offensive,0.969,37,0.066,1.4,0.564,0.025,0.025,0.025,0.025,0.55,0.718,1.1,1.5,0.6,1.1,0.5
Isaiah Joe,OKC,OffScreen,Offensive,0.965,73,0.076,1.364,0.476,0.023,0.023,0.023,0.0,0.477,0.679,0.6,0.8,0.3,0.6,0.3
Tim Hardaway Jr.,DAL,OffScreen,Offensive,0.952,71,0.082,1.35,0.456,0.15,0.025,0.15,0.025,0.5,0.618,1.1,1.5,0.4,1.0,0.5
Darius Garland,CLE,OffScreen,Offensive,0.938,69,0.056,1.293,0.536,0.122,0.073,0.122,0.037,0.524,0.667,1.2,1.5,0.5,1.0,0.5
Luke Kennard,MEM,OffScreen,Offensive,0.925,24,0.133,1.269,0.44,0.0,0.038,0.0,0.0,0.423,0.66,1.1,1.4,0.5,1.0,0.6
Donte DiVincenzo,GSW,OffScreen,Offensive,0.921,72,0.079,1.259,0.462,0.0,0.037,0.0,0.0,0.444,0.654,0.8,0.9,0.3,0.7,0.4
RJ Barrett,NYK,OffScreen,Offensive,0.916,73,0.021,1.25,0.538,0.156,0.094,0.156,0.063,0.531,0.615,0.4,0.5,0.2,0.4,0.2
Devin Booker,PHX,OffScreen,Offensive,0.916,53,0.092,1.25,0.551,0.145,0.097,0.145,0.032,0.548,0.633,2.3,2.9,1.0,1.8,0.8
Al Horford,BOS,OffScreen,Offensive,0.903,63,0.063,1.242,0.424,0.0,0.0,0.0,0.0,0.424,0.621,0.5,0.7,0.2,0.5,0.3
Marcus Morris Sr.,LAC,OffScreen,Offensive,0.898,65,0.04,1.241,0.538,0.034,0.069,0.034,0.0,0.517,0.673,0.4,0.6,0.2,0.4,0.2
Moses Moody,GSW,OffScreen,Offensive,0.898,63,0.104,1.241,0.5,0.138,0.103,0.138,0.069,0.483,0.646,0.5,0.6,0.2,0.4,0.2
Karl-Anthony Towns,MIN,OffScreen,Offensive,0.872,29,0.087,1.22,0.444,0.1,0.0,0.1,0.0,0.5,0.578,1.7,2.1,0.7,1.6,0.9
