PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Spencer Dinwiddie,DAL,Postup,Offensive,0.988,53,0.028,1.417,0.647,0.292,0.083,0.292,0.083,0.67,0.647,0.5,0.6,0.2,0.3,0.1
Drew Eubanks,POR,Postup,Offensive,0.982,78,0.046,1.381,0.667,0.143,0.048,0.095,0.048,0.67,0.667,0.3,0.4,0.2,0.2,0.1
DeMar DeRozan,CHI,Postup,Offensive,0.976,74,0.083,1.331,0.606,0.288,0.05,0.288,0.122,0.64,0.606,1.9,2.5,0.9,1.5,0.6
Moritz Wagner,ORL,Postup,Offensive,0.97,57,0.052,1.286,0.625,0.357,0.143,0.321,0.071,0.64,0.625,0.5,0.6,0.2,0.3,0.1
Jakob Poeltl,TOR,Postup,Offensive,0.952,26,0.093,1.222,0.652,0.074,0.074,0.037,0.0,0.63,0.652,1.0,1.3,0.6,0.9,0.3
Nikola Jokic,DEN,Postup,Offensive,0.952,69,0.25,1.222,0.655,0.214,0.156,0.189,0.069,0.6,0.655,5.2,6.4,2.4,3.7,1.3
Jayson Tatum,BOS,Postup,Offensive,0.94,74,0.051,1.221,0.556,0.288,0.058,0.288,0.048,0.62,0.556,1.4,1.7,0.5,1.0,0.4
Harrison Barnes,SAC,Postup,Offensive,0.933,82,0.052,1.2,0.543,0.364,0.055,0.255,0.055,0.64,0.543,0.7,0.8,0.2,0.4,0.2
Onyeka Okongwu,ATL,Postup,Offensive,0.916,80,0.062,1.195,0.533,0.244,0.073,0.122,0.049,0.59,0.533,0.5,0.6,0.2,0.4,0.2
Devin Booker,PHX,Postup,Offensive,0.91,53,0.039,1.192,0.595,0.135,0.096,0.077,0.038,0.58,0.595,1.0,1.2,0.5,0.8,0.3
Keita Bates-Diop,SAS,Postup,Offensive,0.904,67,0.067,1.179,0.696,0.282,0.231,0.256,0.103,0.59,0.696,0.6,0.7,0.2,0.3,0.1
Kristaps Porzingis,WAS,Postup,Offensive,0.898,65,0.166,1.177,0.58,0.232,0.095,0.209,0.064,0.6,0.58,3.4,4.0,1.4,2.5,1.0
Rudy Gay,UTA,Postup,Offensive,0.886,56,0.093,1.156,0.536,0.156,0.031,0.156,0.063,0.56,0.536,0.6,0.7,0.3,0.5,0.2
Jock Landale,PHX,Postup,Offensive,0.873,69,0.181,1.15,0.621,0.213,0.125,0.163,0.063,0.58,0.621,1.2,1.3,0.5,0.8,0.3
Kevin Durant,BKN,Postup,Offensive,0.873,39,0.082,1.15,0.63,0.175,0.188,0.15,0.038,0.56,0.63,2.1,2.4,0.9,1.4,0.5
Franz Wagner,ORL,Postup,Offensive,0.862,80,0.019,1.148,0.529,0.333,0.111,0.259,0.074,0.59,0.529,0.3,0.4,0.1,0.2,0.1
Russell Westbrook,LAC,Postup,Offensive,0.856,21,0.077,1.143,0.583,0.214,0.107,0.214,0.179,0.54,0.583,1.3,1.5,0.7,1.1,0.5
Luka Doncic,DAL,Postup,Offensive,0.844,66,0.119,1.136,0.547,0.268,0.06,0.264,0.06,0.6,0.547,3.6,4.0,1.4,2.6,1.2
Joel Embiid,PHI,Postup,Offensive,0.838,66,0.159,1.133,0.538,0.273,0.123,0.233,0.05,0.57,0.538,4.5,5.2,1.6,3.0,1.4
Ivica Zubac,LAC,Postup,Offensive,0.832,76,0.165,1.131,0.614,0.172,0.123,0.148,0.016,0.59,0.614,1.6,1.8,0.7,1.2,0.4
Isaiah Jackson,IND,Postup,Offensive,0.82,63,0.055,1.125,0.643,0.292,0.167,0.25,0.042,0.62,0.643,0.4,0.4,0.1,0.2,0.1
Shai Gilgeous-Alexander,OKC,Postup,Offensive,0.814,68,0.048,1.122,0.524,0.244,0.1,0.222,0.044,0.57,0.524,1.3,1.5,0.5,0.9,0.4
Montrezl Harrell,PHI,Postup,Offensive,0.808,57,0.186,1.113,0.581,0.17,0.075,0.132,0.057,0.55,0.581,0.9,1.0,0.4,0.8,0.3
Myles Turner,IND,Postup,Offensive,0.8,62,0.141,1.111,0.559,0.193,0.096,0.163,0.044,0.57,0.559,2.2,2.4,0.9,1.6,0.7
