PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Luke Kornet,BOS,PRRollMan,Offensive,0.978,69,0.166,1.657,0.844,0.114,0.029,0.114,0.06,0.8,0.844,0.5,0.8,0.4,0.5,0.1
Mitchell Robinson,NYK,PRRollMan,Offensive,0.975,59,0.114,1.651,0.919,0.163,0.0,0.163,0.02,0.86,0.919,0.7,1.2,0.6,0.6,0.1
DeAndre Jordan,DEN,PRRollMan,Offensive,0.953,39,0.27,1.5,0.805,0.22,0.04,0.2,0.08,0.78,0.817,1.3,1.9,0.8,1.1,0.2
Derrick Jones Jr.,CHI,PRRollMan,Offensive,0.942,64,0.163,1.489,0.714,0.362,0.085,0.362,0.19,0.681,0.714,0.7,1.1,0.4,0.5,0.2
Dwight Powell,DAL,PRRollMan,Offensive,0.938,76,0.289,1.466,0.782,0.246,0.068,0.246,0.05,0.746,0.782,1.6,2.3,0.9,1.1,0.3
Steven Adams,MEM,PRRollMan,Offensive,0.935,42,0.11,1.455,0.769,0.159,0.023,0.136,0.07,0.727,0.769,1.0,1.5,0.7,0.9,0.2
Christian Wood,DAL,PRRollMan,Offensive,0.931,67,0.178,1.441,0.627,0.162,0.045,0.156,0.04,0.642,0.72,2.7,3.9,1.4,2.2,0.8
Pat Connaughton,MIL,PRRollMan,Offensive,0.928,61,0.076,1.417,0.556,0.056,0.0,0.056,0.06,0.556,0.681,0.6,0.8,0.3,0.6,0.3
Brandon Clarke,MEM,PRRollMan,Offensive,0.924,56,0.218,1.4,0.674,0.18,0.03,0.17,0.1,0.68,0.674,1.8,2.5,1.1,1.6,0.5
Clint Capela,ATL,PRRollMan,Offensive,0.909,65,0.286,1.382,0.714,0.134,0.043,0.134,0.04,0.704,0.714,2.9,4.0,1.8,2.5,0.7
Nikola Jokic,DEN,PRRollMan,Offensive,0.906,69,0.112,1.373,0.679,0.087,0.068,0.087,0.02,0.64,0.721,2.3,3.2,1.4,2.0,0.7
Nic Claxton,BKN,PRRollMan,Offensive,0.897,76,0.21,1.364,0.762,0.188,0.079,0.188,0.06,0.715,0.762,2.2,3.0,1.3,1.7,0.4
