PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Al Horford,BOS,Spotup,Offensive,0.953,63,0.45,1.322,0.465,0.017,0.008,0.013,0.0,0.47,0.67,3.7,5.0,1.7,3.7,2.0
Grayson Allen,MIL,Spotup,Offensive,0.926,72,0.341,1.261,0.467,0.035,0.035,0.03,0.0,0.47,0.643,3.2,4.0,1.4,3.0,1.6
Bojan Bogdanovic,DET,Spotup,Offensive,0.924,59,0.191,1.258,0.508,0.078,0.065,0.074,0.032,0.498,0.65,3.7,4.6,1.7,3.3,1.6
Sam Hauser,BOS,Spotup,Offensive,0.92,80,0.443,1.257,0.439,0.01,0.016,0.01,0.005,0.435,0.636,2.4,3.0,1.0,2.3,1.3
Donte DiVincenzo,GSW,Spotup,Offensive,0.916,72,0.313,1.251,0.457,0.005,0.07,0.005,0.0,0.428,0.671,3.0,3.7,1.3,2.8,1.5
Jayson Tatum,BOS,Spotup,Offensive,0.902,74,0.15,1.234,0.459,0.109,0.059,0.109,0.023,0.477,0.608,4.1,5.1,1.6,3.5,1.9
Austin Reaves,LAL,Spotup,Offensive,0.898,64,0.291,1.233,0.432,0.168,0.05,0.149,0.054,0.475,0.586,3.2,3.9,1.1,2.6,1.5
Lauri Markkanen,UTA,Spotup,Offensive,0.9,66,0.206,1.233,0.448,0.047,0.044,0.041,0.003,0.453,0.624,4.5,5.5,1.8,4.1,2.3
Michael Porter Jr.,DEN,Spotup,Offensive,0.896,63,0.342,1.232,0.47,0.034,0.038,0.034,0.009,0.464,0.634,5.1,6.2,2.2,4.7,2.5
Buddy Hield,IND,Spotup,Offensive,0.894,80,0.285,1.231,0.458,0.017,0.052,0.014,0.003,0.442,0.644,4.3,5.3,1.8,4.0,2.2
Corey Kispert,WAS,Spotup,Offensive,0.888,74,0.418,1.223,0.459,0.028,0.053,0.032,0.004,0.443,0.641,3.8,4.7,1.6,3.5,1.9
Zach LaVine,CHI,Spotup,Offensive,0.885,77,0.169,1.222,0.506,0.098,0.091,0.098,0.02,0.498,0.644,3.9,4.7,1.6,3.2,1.6
Joel Embiid,PHI,Spotup,Offensive,0.883,66,0.112,1.218,0.517,0.161,0.076,0.161,0.062,0.521,0.603,3.2,3.9,1.4,2.6,1.3
D'Angelo Russell,MIN,Spotup,Offensive,0.879,54,0.214,1.213,0.45,0.02,0.04,0.02,0.005,0.441,0.623,3.7,4.5,1.6,3.5,1.9
Donovan Mitchell,CLE,Spotup,Offensive,0.875,68,0.133,1.21,0.481,0.061,0.048,0.061,0.026,0.476,0.614,3.4,4.1,1.5,3.1,1.6
Trey Murphy III,NOP,Spotup,Offensive,0.871,79,0.436,1.204,0.434,0.055,0.027,0.052,0.005,0.45,0.6,5.1,6.1,2.0,4.7,2.7
Georges Niang,PHI,Spotup,Offensive,0.869,78,0.509,1.203,0.439,0.024,0.028,0.024,0.01,0.434,0.608,3.7,4.5,1.6,3.6,2.0
Tyrese Maxey,PHI,Spotup,Offensive,0.861,60,0.267,1.201,0.464,0.062,0.042,0.062,0.021,0.464,0.606,4.8,5.8,2.0,4.4,2.4
Keegan Murray,SAC,Spotup,Offensive,0.857,80,0.355,1.199,0.439,0.013,0.048,0.013,0.006,0.421,0.624,3.9,4.7,1.6,3.7,2.1
Malcolm Brogdon,BOS,Spotup,Offensive,0.843,67,0.259,1.186,0.474,0.076,0.047,0.072,0.008,0.479,0.603,3.5,4.2,1.5,3.1,1.6
Christian Wood,DAL,Spotup,Offensive,0.836,67,0.214,1.181,0.441,0.084,0.065,0.079,0.023,0.447,0.598,3.2,3.8,1.2,2.8,1.6
Coby White,CHI,Spotup,Offensive,0.83,74,0.431,1.177,0.442,0.03,0.047,0.027,0.007,0.431,0.608,4.0,4.8,1.7,3.8,2.1
Max Strus,MIA,Spotup,Offensive,0.828,80,0.392,1.177,0.421,0.034,0.054,0.034,0.006,0.414,0.604,4.4,5.2,1.7,4.0,2.3
Norman Powell,LAC,Spotup,Offensive,0.826,60,0.255,1.176,0.465,0.13,0.071,0.126,0.029,0.481,0.593,4.0,4.7,1.5,3.3,1.8
Jevon Carter,MIL,Spotup,Offensive,0.824,81,0.314,1.175,0.431,0.01,0.044,0.01,0.0,0.417,0.613,2.5,3.0,1.0,2.4,1.4
CJ McCollum,NOP,Spotup,Offensive,0.818,75,0.165,1.172,0.462,0.019,0.045,0.019,0.007,0.444,0.611,3.6,4.2,1.6,3.4,1.8
Damion Lee,PHX,Spotup,Offensive,0.814,74,0.475,1.168,0.449,0.04,0.066,0.04,0.004,0.44,0.612,3.7,4.3,1.5,3.3,1.8
