PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Tyrese Maxey,PHI,Transition,Offensive,0.929,60,0.194,1.433,0.62,0.186,0.052,0.171,0.076,0.629,0.702,3.5,5.0,1.8,2.9,1.1
Corey Kispert,WAS,Transition,Offensive,0.916,74,0.224,1.411,0.58,0.119,0.04,0.106,0.02,0.596,0.719,2.0,2.9,1.0,1.8,0.7
Trey Murphy III,NOP,Transition,Offensive,0.914,79,0.272,1.41,0.6,0.112,0.056,0.104,0.032,0.598,0.71,3.2,4.5,1.6,2.7,1.1
Austin Reaves,LAL,Transition,Offensive,0.896,64,0.192,1.391,0.66,0.203,0.12,0.173,0.053,0.624,0.742,2.1,2.9,1.0,1.5,0.5
Jimmy Butler,MIA,Transition,Offensive,0.891,64,0.141,1.384,0.68,0.233,0.081,0.221,0.058,0.669,0.681,2.7,3.7,1.3,2.0,0.6
Jalen Brunson,NYK,Transition,Offensive,0.875,68,0.126,1.356,0.6,0.213,0.085,0.176,0.059,0.601,0.675,2.8,3.8,1.3,2.1,0.8
Tobias Harris,PHI,Transition,Offensive,0.873,74,0.188,1.355,0.65,0.091,0.086,0.086,0.027,0.608,0.718,2.5,3.4,1.4,2.1,0.8
Jerami Grant,POR,Transition,Offensive,0.864,63,0.164,1.352,0.63,0.192,0.073,0.202,0.047,0.627,0.703,3.1,4.1,1.5,2.3,0.9
Michael Porter Jr.,DEN,Transition,Offensive,0.862,63,0.224,1.349,0.55,0.129,0.086,0.124,0.038,0.545,0.712,3.3,4.5,1.5,2.7,1.2
Bruce Brown,DEN,Transition,Offensive,0.85,80,0.221,1.333,0.66,0.108,0.093,0.093,0.029,0.627,0.707,2.5,3.4,1.4,2.1,0.7
Tyrese Haliburton,IND,Transition,Offensive,0.85,56,0.179,1.333,0.63,0.085,0.159,0.079,0.042,0.545,0.755,3.4,4.5,1.7,2.7,1.0
Franz Wagner,ORL,Transition,Offensive,0.85,80,0.165,1.333,0.58,0.175,0.073,0.167,0.03,0.59,0.678,2.9,3.9,1.3,2.3,1.0
Kawhi Leonard,LAC,Transition,Offensive,0.818,52,0.145,1.314,0.61,0.192,0.083,0.199,0.058,0.603,0.692,3.0,3.9,1.4,2.3,0.9
Tyus Jones,MEM,Transition,Offensive,0.797,80,0.2,1.279,0.51,0.079,0.055,0.055,0.018,0.503,0.664,2.1,2.6,0.9,1.8,0.9
De'Andre Hunter,ATL,Transition,Offensive,0.791,67,0.189,1.277,0.56,0.149,0.064,0.138,0.043,0.574,0.644,2.8,3.6,1.3,2.3,1.0
O.G. Anunoby,TOR,Transition,Offensive,0.789,67,0.241,1.274,0.61,0.114,0.099,0.106,0.03,0.578,0.674,3.9,5.0,2.0,3.2,1.3
Jayson Tatum,BOS,Transition,Offensive,0.775,74,0.154,1.264,0.59,0.199,0.103,0.193,0.042,0.588,0.641,4.2,5.3,1.8,3.1,1.3
Shai Gilgeous-Alexander,OKC,Transition,Offensive,0.762,68,0.217,1.256,0.56,0.254,0.08,0.224,0.039,0.607,0.592,6.0,7.6,2.4,4.3,1.9
Lauri Markkanen,UTA,Transition,Offensive,0.764,66,0.163,1.256,0.58,0.167,0.107,0.154,0.034,0.568,0.649,3.5,4.5,1.6,2.7,1.1
Jaylen Brown,BOS,Transition,Offensive,0.756,67,0.23,1.253,0.63,0.149,0.096,0.147,0.035,0.603,0.669,5.9,7.4,2.9,4.6,1.7
Immanuel Quickley,NYK,Transition,Offensive,0.743,81,0.173,1.245,0.56,0.168,0.107,0.158,0.036,0.561,0.654,2.4,3.0,1.0,1.8,0.8
Buddy Hield,IND,Transition,Offensive,0.739,80,0.26,1.244,0.51,0.032,0.079,0.025,0.006,0.478,0.666,4.0,4.9,1.8,3.5,1.8
Jaylen Nowell,MIN,Transition,Offensive,0.731,65,0.241,1.239,0.58,0.131,0.08,0.119,0.045,0.557,0.636,2.7,3.4,1.3,2.3,1.0
Zach LaVine,CHI,Transition,Offensive,0.727,77,0.198,1.236,0.59,0.193,0.103,0.193,0.04,0.583,0.641,4.5,5.6,2.0,3.3,1.4
Nikola Jokic,DEN,Transition,Offensive,0.718,69,0.111,1.231,0.75,0.156,0.213,0.138,0.044,0.619,0.755,2.3,2.9,1.2,1.6,0.4
Pascal Siakam,TOR,Transition,Offensive,0.704,71,0.17,1.222,0.62,0.208,0.118,0.198,0.042,0.604,0.653,4.1,5.0,1.8,2.9,1.1
Jrue Holiday,MIL,Transition,Offensive,0.701,67,0.162,1.22,0.59,0.077,0.177,0.062,0.019,0.507,0.713,3.1,3.8,1.4,2.4,1.0
LeBron James,LAL,Transition,Offensive,0.687,55,0.247,1.216,0.64,0.205,0.139,0.195,0.061,0.595,0.667,6.8,8.3,3.1,4.9,1.8
Joel Embiid,PHI,Transition,Offensive,0.681,66,0.085,1.211,0.62,0.211,0.124,0.217,0.025,0.602,0.655,2.4,3.0,1.0,1.7,0.6
Kenyon Martin Jr.,HOU,Transition,Offensive,0.674,82,0.246,1.206,0.65,0.166,0.076,0.161,0.022,0.619,0.654,2.7,3.3,1.4,2.1,0.7
De'Aaron Fox,SAC,Transition,Offensive,0.668,73,0.234,1.201,0.6,0.201,0.111,0.188,0.055,0.575,0.629,5.5,6.5,2.4,4.0,1.6
Mikal Bridges,PHX,Transition,Offensive,0.656,56,0.21,1.199,0.52,0.131,0.079,0.136,0.026,0.529,0.606,3.4,4.1,1.4,2.8,1.3
Donovan Mitchell,CLE,Transition,Offensive,0.649,68,0.18,1.194,0.56,0.129,0.113,0.103,0.042,0.535,0.633,4.6,5.4,2.1,3.6,1.6
Bojan Bogdanovic,DET,Transition,Offensive,0.645,59,0.186,1.193,0.53,0.142,0.104,0.118,0.019,0.533,0.62,3.6,4.3,1.5,2.8,1.3
Desmond Bane,MEM,Transition,Offensive,0.643,58,0.283,1.192,0.52,0.084,0.084,0.077,0.034,0.498,0.623,5.6,6.6,2.5,4.8,2.3
Stephen Curry,GSW,Transition,Offensive,0.639,56,0.156,1.19,0.54,0.095,0.149,0.09,0.018,0.493,0.662,3.9,4.7,1.6,3.0,1.4
Aaron Gordon,DEN,Transition,Offensive,0.635,68,0.191,1.188,0.57,0.183,0.11,0.168,0.042,0.555,0.651,2.8,3.3,1.2,2.1,0.9
Gary Trent Jr.,TOR,Transition,Offensive,0.63,66,0.236,1.186,0.48,0.119,0.032,0.107,0.012,0.518,0.576,3.8,4.5,1.6,3.3,1.7
Bennedict Mathurin,IND,Transition,Offensive,0.633,78,0.242,1.186,0.53,0.25,0.109,0.237,0.042,0.564,0.592,4.0,4.7,1.4,2.7,1.3
Jalen Williams,OKC,Transition,Offensive,0.622,75,0.207,1.184,0.6,0.145,0.126,0.14,0.034,0.565,0.639,2.8,3.3,1.3,2.1,0.8
Jaden McDaniels,MIN,Transition,Offensive,0.62,79,0.222,1.183,0.61,0.117,0.137,0.117,0.041,0.553,0.655,2.5,2.9,1.2,2.0,0.8
Dejounte Murray,ATL,Transition,Offensive,0.613,74,0.153,1.176,0.6,0.105,0.139,0.101,0.025,0.542,0.657,3.2,3.8,1.5,2.5,1.0
Klay Thompson,GSW,Transition,Offensive,0.601,69,0.182,1.174,0.49,0.031,0.069,0.027,0.004,0.467,0.618,3.8,4.4,1.7,3.4,1.7
Quentin Grimes,NYK,Transition,Offensive,0.605,71,0.249,1.174,0.51,0.101,0.067,0.084,0.022,0.511,0.612,2.5,2.9,1.1,2.1,1.0
Shaedon Sharpe,POR,Transition,Offensive,0.599,80,0.215,1.174,0.58,0.132,0.132,0.132,0.036,0.545,0.643,2.1,2.5,0.9,1.6,0.7
Bam Adebayo,MIA,Transition,Offensive,0.595,75,0.148,1.168,0.61,0.227,0.132,0.218,0.055,0.586,0.611,2.9,3.4,1.2,2.0,0.8
Josh Hart,POR,Transition,Offensive,0.589,51,0.329,1.167,0.62,0.21,0.142,0.198,0.074,0.574,0.628,3.2,3.7,1.4,2.3,0.9
Jordan Clarkson,UTA,Transition,Offensive,0.582,61,0.148,1.165,0.53,0.098,0.144,0.082,0.036,0.474,0.646,3.2,3.7,1.3,2.5,1.2
Ayo Dosunmu,CHI,Transition,Offensive,0.576,80,0.289,1.162,0.57,0.123,0.083,0.113,0.02,0.564,0.599,2.5,3.0,1.2,2.1,0.9
Giannis Antetokounmpo,MIL,Transition,Offensive,0.564,63,0.272,1.158,0.6,0.316,0.11,0.302,0.081,0.598,0.615,8.0,9.3,3.1,5.2,2.1
Tyler Herro,MIA,Transition,Offensive,0.562,67,0.133,1.157,0.51,0.051,0.124,0.051,0.006,0.472,0.632,2.7,3.1,1.1,2.2,1.1
Derrick White,BOS,Transition,Offensive,0.559,82,0.186,1.156,0.54,0.173,0.127,0.173,0.046,0.532,0.609,2.1,2.4,0.9,1.6,0.7
Malcolm Brogdon,BOS,Transition,Offensive,0.553,67,0.18,1.152,0.53,0.116,0.122,0.098,0.018,0.506,0.621,2.4,2.8,1.0,1.9,0.9
Tre Jones,SAS,Transition,Offensive,0.545,68,0.199,1.147,0.62,0.103,0.163,0.098,0.043,0.543,0.64,2.7,3.1,1.3,2.1,0.8
Terance Mann,LAC,Transition,Offensive,0.542,81,0.252,1.146,0.57,0.128,0.128,0.104,0.043,0.524,0.636,2.0,2.3,0.9,1.6,0.7
Coby White,CHI,Transition,Offensive,0.534,74,0.239,1.145,0.5,0.102,0.09,0.09,0.024,0.482,0.601,2.2,2.6,0.9,1.9,0.9
Ja Morant,MEM,Transition,Offensive,0.532,61,0.2,1.144,0.6,0.169,0.153,0.147,0.04,0.552,0.637,5.3,6.1,2.3,3.8,1.5
Markelle Fultz,ORL,Transition,Offensive,0.53,60,0.199,1.143,0.6,0.126,0.126,0.091,0.051,0.554,0.607,2.9,3.3,1.4,2.3,0.9
Herbert Jones,NOP,Transition,Offensive,0.524,66,0.256,1.136,0.6,0.148,0.148,0.136,0.024,0.556,0.634,2.6,2.9,1.1,1.9,0.7
Keldon Johnson,SAS,Transition,Offensive,0.518,63,0.179,1.134,0.53,0.15,0.085,0.142,0.065,0.512,0.598,3.9,4.4,1.7,3.2,1.5
Aaron Nesmith,IND,Transition,Offensive,0.516,73,0.254,1.13,0.51,0.13,0.103,0.13,0.027,0.505,0.589,2.5,2.8,1.0,2.0,1.0
Devin Booker,PHX,Transition,Offensive,0.511,53,0.183,1.126,0.52,0.126,0.101,0.105,0.036,0.514,0.588,4.7,5.2,2.0,3.8,1.8
Paul George,LAC,Transition,Offensive,0.503,56,0.145,1.122,0.54,0.18,0.185,0.169,0.037,0.497,0.63,3.4,3.8,1.2,2.3,1.0
