PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
LaMelo Ball,Isolation,Offensive,0.96,51,0.078,1.203,0.6,0.203,0.116,0.203,0.043,0.594,0.63,1.4,1.6,0.6,1.0,0.4,2020-21
LaMelo Ball,Transition,Offensive,0.178,51,0.215,0.927,0.469,0.157,0.209,0.126,0.047,0.429,0.531,3.7,3.5,1.2,2.5,1.4,2020-21
LaMelo Ball,PRBallHandler,Offensive,0.376,51,0.325,0.799,0.41,0.093,0.173,0.069,0.017,0.381,0.449,5.7,4.5,1.7,4.3,2.5,2020-21
LaMelo Ball,Spotup,Offensive,0.597,51,0.196,1.046,0.418,0.052,0.08,0.052,0.011,0.402,0.562,3.4,3.6,1.3,3.0,1.7,2020-21
LaMelo Ball,Handoff,Offensive,0.502,51,0.064,0.93,0.458,0.053,0.14,0.053,0.035,0.404,0.531,1.1,1.0,0.4,0.9,0.5,2020-21
LaMelo Ball,Cut,Offensive,0.003,51,0.016,0.571,0.333,0.0,0.143,0.0,0.0,0.286,0.333,0.3,0.2,0.1,0.2,0.2,2020-21
LaMelo Ball,OffScreen,Offensive,0.067,51,0.028,0.6,0.2,0.08,0.12,0.08,0.0,0.24,0.275,0.5,0.3,0.1,0.4,0.3,2020-21
LaMelo Ball,OffRebound,Offensive,0.117,51,0.031,0.821,0.435,0.071,0.107,0.107,0.036,0.393,0.435,0.5,0.5,0.2,0.5,0.3,2020-21
LaMelo Ball,Misc,Offensive,0.656,51,0.045,0.625,0.44,0.1,0.45,0.025,0.0,0.3,0.5,0.8,0.5,0.2,0.4,0.2,2020-21
LaMelo Ball,Isolation,Offensive,0.684,75,0.063,0.96,0.432,0.15,0.09,0.14,0.05,0.45,0.463,1.3,1.3,0.5,1.1,0.6,2021-22
LaMelo Ball,Transition,Offensive,0.503,75,0.188,1.123,0.509,0.113,0.163,0.09,0.03,0.467,0.631,4.0,4.5,1.5,3.0,1.5,2021-22
LaMelo Ball,PRBallHandler,Offensive,0.351,75,0.357,0.788,0.407,0.047,0.175,0.042,0.012,0.356,0.452,7.6,6.0,2.4,6.0,3.6,2021-22
LaMelo Ball,Spotup,Offensive,0.685,75,0.193,1.071,0.391,0.036,0.058,0.029,0.0,0.39,0.55,4.1,4.4,1.5,3.7,2.3,2021-22
LaMelo Ball,Handoff,Offensive,0.519,75,0.076,0.885,0.413,0.049,0.107,0.049,0.008,0.393,0.471,1.6,1.4,0.6,1.4,0.8,2021-22
LaMelo Ball,Cut,Offensive,0.416,75,0.013,1.238,0.571,0.286,0.143,0.286,0.095,0.571,0.571,0.3,0.3,0.1,0.2,0.1,2021-22
LaMelo Ball,OffScreen,Offensive,0.9,75,0.019,1.194,0.444,0.065,0.065,0.032,0.0,0.452,0.611,0.0,0.5,0.2,0.4,0.2,2021-22
LaMelo Ball,OffRebound,Offensive,0.267,75,0.028,0.956,0.5,0.07,0.133,0.022,0.0,0.467,0.514,0.6,0.6,0.2,0.5,0.2,2021-22
LaMelo Ball,Misc,Offensive,0.676,75,0.058,0.63,0.38,0.196,0.457,0.033,0.0,0.33,0.47,1.2,0.8,0.2,0.4,0.3,2021-22
LaMelo Ball,Isolation,Offensive,0.354,36,0.071,0.828,0.417,0.094,0.172,0.094,0.016,0.391,0.458,1.8,1.5,0.6,1.3,0.8,2022-23
LaMelo Ball,Transition,Offensive,0.232,36,0.169,0.993,0.44,0.086,0.151,0.066,0.013,0.401,0.568,4.2,4.2,1.4,3.3,1.8,2022-23
LaMelo Ball,PRBallHandler,Offensive,0.372,36,0.407,0.811,0.385,0.066,0.167,0.041,0.005,0.358,0.456,10.2,8.3,3.0,7.9,4.8,2022-23
LaMelo Ball,Spotup,Offensive,0.65,36,0.192,1.081,0.39,0.023,0.035,0.023,0.006,0.387,0.549,4.8,5.2,1.8,4.6,2.8,2022-23
LaMelo Ball,Handoff,Offensive,0.779,36,0.059,1.113,0.511,0.019,0.151,0.019,0.019,0.434,0.644,1.5,1.6,0.6,1.3,0.6,2022-23
LaMelo Ball,Cut,Offensive,0.257,36,0.012,1.182,0.6,0.091,0.091,0.091,0.091,0.545,0.6,0.3,0.4,0.2,0.3,0.1,2022-23
LaMelo Ball,OffScreen,Offensive,0.478,36,0.023,0.952,0.368,0.095,0.048,0.095,0.048,0.381,0.447,0.6,0.6,0.2,0.5,0.3,2022-23
LaMelo Ball,OffRebound,Offensive,0.578,36,0.027,1.167,0.591,0.0,0.083,0.0,0.0,0.542,0.636,0.7,0.8,0.4,0.6,0.3,2022-23
LaMelo Ball,Misc,Offensive,0.582,36,0.034,0.548,0.125,0.258,0.484,0.032,0.0,0.29,0.125,0.9,0.5,0.0,0.2,0.2,2022-23
