PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
Miles Bridges,Isolation,Offensive,0.724,80,0.101,0.993,0.448,0.138,0.079,0.138,0.046,0.461,0.484,1.9,1.9,0.7,1.6,0.9,2021-22
Miles Bridges,Transition,Offensive,0.619,80,0.167,1.187,0.589,0.155,0.124,0.135,0.02,0.566,0.638,3.1,3.7,1.4,2.3,1.0,2021-22
Miles Bridges,PRBallHandler,Offensive,0.86,80,0.098,1.02,0.509,0.108,0.135,0.095,0.014,0.48,0.553,1.9,1.9,0.7,1.4,0.7,2021-22
Miles Bridges,PRRollMan,Offensive,0.654,80,0.068,1.186,0.536,0.186,0.039,0.176,0.049,0.569,0.56,1.3,1.5,0.6,1.1,0.5,2021-22
Miles Bridges,Postup,Offensive,0.101,80,0.038,0.649,0.342,0.123,0.228,0.123,0.018,0.333,0.342,0.7,0.5,0.2,0.5,0.3,2021-22
Miles Bridges,Spotup,Offensive,0.624,80,0.301,1.035,0.416,0.084,0.044,0.084,0.035,0.424,0.519,5.7,5.9,2.1,5.1,3.0,2021-22
Miles Bridges,Handoff,Offensive,0.82,80,0.063,1.063,0.47,0.063,0.095,0.063,0.032,0.442,0.572,1.2,1.3,0.5,1.0,0.6,2021-22
Miles Bridges,Cut,Offensive,0.95,80,0.056,1.571,0.826,0.143,0.036,0.143,0.0,0.821,0.826,1.1,1.6,0.7,0.9,0.2,2021-22
Miles Bridges,OffScreen,Offensive,0.379,80,0.031,0.894,0.342,0.106,0.085,0.085,0.0,0.383,0.447,1.0,0.5,0.2,0.5,0.3,2021-22
Miles Bridges,OffRebound,Offensive,0.825,80,0.025,1.289,0.645,0.11,0.079,0.105,0.0,0.632,0.677,0.5,0.6,0.3,0.4,0.1,2021-22
Miles Bridges,Misc,Offensive,0.732,80,0.051,0.649,0.38,0.195,0.39,0.078,0.0,0.35,0.39,1.0,0.6,0.2,0.4,0.3,2021-22
