TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Philadelphia 76ers,Spotup,Offensive,0.243,1.129,0.428,0.05,0.051,0.049,0.014,0.426,0.575,26.0,29.4,10.2,23.8,13.6
LA Clippers,Spotup,Offensive,0.239,1.123,0.418,0.058,0.04,0.055,0.013,0.425,0.567,26.2,29.4,10.0,24.0,14.0
Boston Celtics,Spotup,Offensive,0.272,1.12,0.424,0.054,0.051,0.052,0.015,0.422,0.574,30.1,33.7,11.6,27.3,15.7
Golden State Warriors,Spotup,Offensive,0.21,1.092,0.414,0.039,0.063,0.036,0.009,0.405,0.57,24.0,26.2,9.0,21.7,12.7
Sacramento Kings,Spotup,Offensive,0.234,1.089,0.411,0.068,0.057,0.065,0.013,0.417,0.554,26.2,28.6,9.6,23.3,13.7
Dallas Mavericks,Spotup,Offensive,0.268,1.087,0.403,0.045,0.054,0.042,0.013,0.4,0.558,28.5,31.0,10.5,26.0,15.5
Brooklyn Nets,Spotup,Offensive,0.246,1.081,0.418,0.056,0.059,0.051,0.013,0.417,0.553,26.2,28.4,9.8,23.5,13.7
Milwaukee Bucks,Spotup,Offensive,0.234,1.068,0.411,0.034,0.056,0.031,0.006,0.403,0.558,26.7,28.5,10.0,24.4,14.4
Phoenix Suns,Spotup,Offensive,0.254,1.067,0.407,0.055,0.058,0.051,0.012,0.406,0.55,28.6,30.5,10.4,25.7,15.2
New Orleans Pelicans,Spotup,Offensive,0.232,1.065,0.408,0.058,0.054,0.055,0.01,0.411,0.543,26.0,27.7,9.5,23.3,13.8
Denver Nuggets,Spotup,Offensive,0.203,1.058,0.407,0.037,0.057,0.035,0.008,0.399,0.551,22.2,23.5,8.3,20.3,12.0
Chicago Bulls,Spotup,Offensive,0.249,1.049,0.411,0.05,0.071,0.048,0.008,0.406,0.546,27.1,28.4,9.9,24.0,14.2
Minnesota Timberwolves,Spotup,Offensive,0.252,1.048,0.426,0.063,0.077,0.058,0.017,0.416,0.548,28.2,29.6,10.6,24.8,14.2
Utah Jazz,Spotup,Offensive,0.222,1.043,0.4,0.056,0.066,0.051,0.014,0.397,0.537,25.4,26.5,9.1,22.6,13.6
Miami Heat,Spotup,Offensive,0.224,1.038,0.388,0.049,0.055,0.046,0.01,0.389,0.528,24.1,25.1,8.5,21.9,13.4
Los Angeles Lakers,Spotup,Offensive,0.209,1.037,0.385,0.049,0.047,0.044,0.012,0.388,0.527,23.8,24.6,8.4,21.8,13.4
New York Knicks,Spotup,Offensive,0.256,1.031,0.389,0.057,0.053,0.055,0.014,0.393,0.524,28.7,29.6,10.1,25.9,15.8
Portland Trail Blazers,Spotup,Offensive,0.227,1.031,0.393,0.044,0.06,0.04,0.01,0.389,0.533,24.9,25.7,8.9,22.5,13.7
Washington Wizards,Spotup,Offensive,0.239,1.02,0.394,0.049,0.057,0.045,0.009,0.395,0.522,26.2,26.7,9.3,23.6,14.3
Cleveland Cavaliers,Spotup,Offensive,0.213,1.019,0.39,0.044,0.058,0.041,0.011,0.387,0.524,22.9,23.3,8.1,20.8,12.7
Indiana Pacers,Spotup,Offensive,0.238,1.014,0.399,0.059,0.071,0.057,0.011,0.397,0.525,27.0,27.4,9.5,23.8,14.3
Toronto Raptors,Spotup,Offensive,0.218,1.001,0.378,0.042,0.046,0.039,0.009,0.38,0.509,24.5,24.6,8.5,22.6,14.1
Orlando Magic,Spotup,Offensive,0.228,1.0,0.391,0.053,0.067,0.051,0.015,0.387,0.518,25.3,25.3,8.9,22.6,13.8
Detroit Pistons,Spotup,Offensive,0.234,0.998,0.384,0.061,0.06,0.057,0.013,0.387,0.511,26.4,26.3,9.0,23.5,14.5
San Antonio Spurs,Spotup,Offensive,0.242,0.995,0.391,0.057,0.062,0.055,0.015,0.39,0.511,28.0,27.9,9.8,25.1,15.3
Oklahoma City Thunder,Spotup,Offensive,0.256,0.993,0.386,0.047,0.068,0.045,0.008,0.383,0.516,29.5,29.2,10.2,26.3,16.2
Memphis Grizzlies,Spotup,Offensive,0.224,0.991,0.389,0.052,0.066,0.048,0.009,0.385,0.513,25.7,25.5,8.9,22.9,14.0
Houston Rockets,Spotup,Offensive,0.221,0.979,0.381,0.063,0.07,0.059,0.011,0.383,0.505,25.4,24.9,8.5,22.3,13.8
Atlanta Hawks,Spotup,Offensive,0.21,0.979,0.386,0.051,0.054,0.049,0.009,0.388,0.502,24.1,23.6,8.4,21.8,13.4
Charlotte Hornets,Spotup,Offensive,0.236,0.959,0.382,0.05,0.066,0.048,0.013,0.378,0.496,26.8,25.7,9.2,24.1,14.9
Washington Wizards,OffRebound,Offensive,0.054,1.232,0.629,0.14,0.068,0.124,0.052,0.608,0.629,5.9,7.2,3.1,5.0,1.8
Orlando Magic,OffRebound,Offensive,0.055,1.225,0.611,0.17,0.067,0.158,0.036,0.619,0.624,6.2,7.6,3.0,4.9,1.9
Brooklyn Nets,OffRebound,Offensive,0.039,1.212,0.615,0.11,0.062,0.1,0.027,0.602,0.62,4.1,5.0,2.2,3.5,1.4
San Antonio Spurs,OffRebound,Offensive,0.06,1.21,0.635,0.11,0.076,0.106,0.026,0.607,0.638,6.9,8.4,3.7,5.8,2.1
Dallas Mavericks,OffRebound,Offensive,0.03,1.206,0.646,0.13,0.088,0.13,0.034,0.607,0.651,3.2,3.9,1.7,2.6,0.9
Minnesota Timberwolves,OffRebound,Offensive,0.051,1.187,0.604,0.15,0.062,0.14,0.028,0.596,0.608,5.7,6.8,2.8,4.6,1.8
Boston Celtics,OffRebound,Offensive,0.043,1.182,0.604,0.11,0.069,0.11,0.033,0.585,0.604,4.8,5.6,2.4,4.0,1.6
New Orleans Pelicans,OffRebound,Offensive,0.059,1.167,0.584,0.11,0.056,0.102,0.028,0.583,0.587,6.6,7.7,3.3,5.7,2.4
Cleveland Cavaliers,OffRebound,Offensive,0.045,1.167,0.597,0.17,0.073,0.162,0.02,0.6,0.606,4.8,5.6,2.2,3.8,1.5
Denver Nuggets,OffRebound,Offensive,0.058,1.164,0.577,0.14,0.046,0.133,0.033,0.591,0.58,6.3,7.4,3.1,5.4,2.3
Los Angeles Lakers,OffRebound,Offensive,0.053,1.16,0.583,0.17,0.074,0.168,0.042,0.583,0.585,6.1,7.1,2.8,4.8,2.0
Detroit Pistons,OffRebound,Offensive,0.059,1.155,0.579,0.16,0.055,0.151,0.031,0.591,0.584,6.6,7.6,3.1,5.4,2.3
Milwaukee Bucks,OffRebound,Offensive,0.051,1.154,0.6,0.14,0.091,0.133,0.032,0.581,0.609,5.8,6.7,2.8,4.6,1.9
Sacramento Kings,OffRebound,Offensive,0.044,1.153,0.57,0.12,0.058,0.118,0.035,0.57,0.576,4.9,5.6,2.4,4.2,1.8
Miami Heat,OffRebound,Offensive,0.044,1.151,0.56,0.13,0.054,0.131,0.028,0.574,0.566,4.8,5.5,2.2,4.0,1.8
