TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Cleveland Cavaliers,Cut,Offensive,0.09,1.394,0.718,0.15,0.048,0.148,0.046,0.7,0.718,9.6,13.5,5.8,8.1,2.3
Denver Nuggets,Cut,Offensive,0.092,1.385,0.712,0.16,0.051,0.154,0.048,0.698,0.712,10.1,13.9,6.0,8.4,2.4
Dallas Mavericks,Cut,Offensive,0.045,1.355,0.704,0.178,0.051,0.173,0.043,0.693,0.704,4.8,6.5,2.8,3.9,1.2
Orlando Magic,Cut,Offensive,0.062,1.354,0.695,0.174,0.067,0.165,0.033,0.688,0.695,7.0,9.4,3.8,5.5,1.7
New York Knicks,Cut,Offensive,0.059,1.35,0.697,0.149,0.057,0.143,0.053,0.675,0.697,6.6,9.0,3.9,5.6,1.7
Atlanta Hawks,Cut,Offensive,0.063,1.35,0.701,0.129,0.062,0.128,0.024,0.686,0.701,7.3,9.8,4.2,6.0,1.8
Sacramento Kings,Cut,Offensive,0.088,1.349,0.696,0.178,0.071,0.172,0.035,0.684,0.696,9.8,13.3,5.4,7.7,2.4
Memphis Grizzlies,Cut,Offensive,0.071,1.347,0.681,0.156,0.035,0.146,0.045,0.672,0.681,8.1,10.9,4.7,6.9,2.2
Washington Wizards,Cut,Offensive,0.071,1.346,0.674,0.188,0.049,0.186,0.063,0.674,0.674,7.8,10.5,4.3,6.4,2.1
Minnesota Timberwolves,Cut,Offensive,0.065,1.338,0.698,0.165,0.063,0.163,0.052,0.677,0.698,7.3,9.8,4.2,6.0,1.8
Los Angeles Lakers,Cut,Offensive,0.069,1.335,0.677,0.153,0.06,0.151,0.046,0.665,0.677,7.9,10.5,4.5,6.6,2.1
Chicago Bulls,Cut,Offensive,0.052,1.334,0.69,0.121,0.06,0.123,0.045,0.664,0.69,5.7,7.5,3.4,4.9,1.5
LA Clippers,Cut,Offensive,0.058,1.333,0.698,0.166,0.073,0.163,0.042,0.673,0.698,6.4,8.5,3.6,5.1,1.5
Golden State Warriors,Cut,Offensive,0.102,1.33,0.686,0.154,0.059,0.153,0.04,0.674,0.686,11.7,15.5,6.6,9.6,3.0
Boston Celtics,Cut,Offensive,0.057,1.322,0.678,0.117,0.066,0.113,0.033,0.656,0.678,6.2,8.3,3.6,5.3,1.7
Indiana Pacers,Cut,Offensive,0.057,1.315,0.665,0.188,0.058,0.188,0.054,0.664,0.665,6.5,8.5,3.5,5.2,1.8
Charlotte Hornets,Cut,Offensive,0.067,1.297,0.671,0.202,0.062,0.2,0.052,0.662,0.671,7.7,10.0,4.1,6.0,2.0
Milwaukee Bucks,Cut,Offensive,0.057,1.296,0.682,0.118,0.071,0.113,0.034,0.655,0.682,6.5,8.4,3.7,5.5,1.7
New Orleans Pelicans,Cut,Offensive,0.072,1.281,0.67,0.157,0.079,0.153,0.044,0.646,0.67,8.1,10.3,4.4,6.5,2.1
Oklahoma City Thunder,Cut,Offensive,0.073,1.278,0.656,0.136,0.061,0.136,0.033,0.647,0.656,8.4,10.8,4.6,7.0,2.4
Philadelphia 76ers,Cut,Offensive,0.052,1.275,0.661,0.159,0.079,0.151,0.044,0.64,0.661,5.6,7.1,3.0,4.5,1.5
Utah Jazz,Cut,Offensive,0.07,1.27,0.667,0.123,0.066,0.116,0.026,0.645,0.667,8.0,10.2,4.5,6.7,2.2
Portland Trail Blazers,Cut,Offensive,0.072,1.262,0.645,0.122,0.053,0.122,0.033,0.633,0.645,7.9,9.9,4.3,6.7,2.4
Miami Heat,Cut,Offensive,0.08,1.262,0.646,0.158,0.07,0.152,0.036,0.634,0.646,8.6,10.8,4.5,6.9,2.5
Toronto Raptors,Cut,Offensive,0.078,1.259,0.64,0.144,0.054,0.146,0.044,0.634,0.64,8.8,11.1,4.8,7.4,2.7
Detroit Pistons,Cut,Offensive,0.061,1.256,0.641,0.142,0.057,0.142,0.032,0.639,0.641,6.9,8.6,3.7,5.7,2.0
San Antonio Spurs,Cut,Offensive,0.077,1.255,0.651,0.143,0.075,0.143,0.045,0.628,0.651,9.0,11.3,4.8,7.4,2.6
Brooklyn Nets,Cut,Offensive,0.07,1.246,0.66,0.113,0.066,0.113,0.034,0.627,0.66,7.5,9.4,4.2,6.4,2.2
Phoenix Suns,Cut,Offensive,0.066,1.238,0.641,0.13,0.064,0.128,0.033,0.622,0.641,7.4,9.2,4.0,6.2,2.2
Houston Rockets,Cut,Offensive,0.066,1.159,0.592,0.153,0.064,0.15,0.032,0.595,0.592,7.6,8.8,3.7,6.2,2.5
