TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Portland Trail Blazers,Handoff,Offensive,0.057,1.081,0.45,0.108,0.11,0.094,0.018,0.45,0.555,6.2,6.7,2.2,5.0,2.7
Sacramento Kings,Handoff,Offensive,0.091,1.074,0.453,0.061,0.089,0.057,0.011,0.435,0.572,10.2,10.9,4.0,8.8,4.8
Boston Celtics,Handoff,Offensive,0.033,1.059,0.477,0.096,0.132,0.086,0.03,0.449,0.57,3.7,3.9,1.4,3.0,1.5
Oklahoma City Thunder,Handoff,Offensive,0.032,1.053,0.474,0.076,0.103,0.07,0.02,0.449,0.559,3.7,3.9,1.5,3.1,1.6
Brooklyn Nets,Handoff,Offensive,0.056,1.043,0.466,0.084,0.108,0.082,0.024,0.445,0.55,6.0,6.2,2.3,5.0,2.7
Utah Jazz,Handoff,Offensive,0.057,1.035,0.436,0.11,0.097,0.102,0.024,0.439,0.527,6.5,6.8,2.3,5.3,3.0
Charlotte Hornets,Handoff,Offensive,0.049,1.018,0.458,0.093,0.121,0.077,0.018,0.438,0.547,5.5,5.6,2.0,4.5,2.4
Golden State Warriors,Handoff,Offensive,0.07,1.012,0.412,0.068,0.103,0.061,0.017,0.398,0.531,8.0,8.1,2.8,6.8,4.0
Philadelphia 76ers,Handoff,Offensive,0.027,1.0,0.444,0.075,0.088,0.063,0.017,0.438,0.52,2.9,2.9,1.1,2.5,1.4
New York Knicks,Handoff,Offensive,0.053,0.994,0.426,0.107,0.094,0.096,0.023,0.43,0.516,6.0,5.9,2.1,4.9,2.8
Atlanta Hawks,Handoff,Offensive,0.03,0.993,0.414,0.081,0.07,0.074,0.011,0.425,0.494,3.5,3.5,1.2,3.0,1.7
Indiana Pacers,Handoff,Offensive,0.051,0.992,0.449,0.085,0.133,0.076,0.021,0.423,0.537,5.8,5.7,2.1,4.6,2.5
Washington Wizards,Handoff,Offensive,0.048,0.981,0.466,0.103,0.126,0.107,0.026,0.441,0.532,5.2,5.1,1.9,4.1,2.2
Cleveland Cavaliers,Handoff,Offensive,0.041,0.97,0.412,0.113,0.104,0.096,0.019,0.418,0.488,4.4,4.3,1.5,3.5,2.1
Los Angeles Lakers,Handoff,Offensive,0.029,0.967,0.399,0.121,0.096,0.121,0.037,0.412,0.489,3.3,3.2,1.1,2.7,1.6
Memphis Grizzlies,Handoff,Offensive,0.052,0.955,0.426,0.082,0.096,0.08,0.022,0.419,0.492,6.0,5.7,2.1,5.0,2.9
Minnesota Timberwolves,Handoff,Offensive,0.044,0.955,0.455,0.095,0.13,0.095,0.013,0.433,0.521,4.9,4.7,1.7,3.8,2.1
Toronto Raptors,Handoff,Offensive,0.034,0.936,0.425,0.096,0.083,0.093,0.019,0.433,0.475,3.8,3.6,1.4,3.2,1.8
New Orleans Pelicans,Handoff,Offensive,0.054,0.932,0.428,0.104,0.132,0.098,0.03,0.413,0.489,6.1,5.7,2.1,4.8,2.8
Chicago Bulls,Handoff,Offensive,0.019,0.915,0.416,0.067,0.121,0.061,0.018,0.394,0.485,2.0,1.8,0.7,1.7,1.0
Houston Rockets,Handoff,Offensive,0.055,0.912,0.403,0.088,0.103,0.084,0.027,0.395,0.477,6.3,5.7,2.1,5.2,3.1
San Antonio Spurs,Handoff,Offensive,0.074,0.908,0.398,0.085,0.085,0.083,0.02,0.4,0.461,8.6,7.8,2.9,7.3,4.4
Milwaukee Bucks,Handoff,Offensive,0.05,0.887,0.391,0.092,0.115,0.085,0.019,0.386,0.469,5.7,5.1,1.8,4.6,2.8
LA Clippers,Handoff,Offensive,0.032,0.884,0.385,0.091,0.105,0.091,0.018,0.386,0.451,3.5,3.1,1.1,2.9,1.8
Miami Heat,Handoff,Offensive,0.065,0.873,0.363,0.059,0.103,0.054,0.017,0.351,0.453,7.0,6.1,2.2,6.0,3.8
Denver Nuggets,Handoff,Offensive,0.054,0.868,0.396,0.068,0.091,0.058,0.014,0.39,0.453,5.9,5.1,2.0,5.0,3.0
Dallas Mavericks,Handoff,Offensive,0.033,0.851,0.405,0.097,0.167,0.087,0.01,0.385,0.474,3.5,3.0,1.1,2.6,1.6
Phoenix Suns,Handoff,Offensive,0.045,0.85,0.413,0.07,0.131,0.056,0.012,0.388,0.458,5.0,4.3,1.7,4.1,2.4
Orlando Magic,Handoff,Offensive,0.057,0.841,0.371,0.088,0.096,0.082,0.021,0.375,0.423,6.4,5.4,2.0,5.3,3.4
Detroit Pistons,Handoff,Offensive,0.029,0.824,0.389,0.097,0.169,0.094,0.007,0.375,0.457,3.3,2.7,0.9,2.4,1.5
