TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Chicago Bulls,Isolation,Offensive,0.064,1.079,0.476,0.191,0.077,0.187,0.054,0.509,0.507,7.0,7.5,2.6,5.5,2.9
Brooklyn Nets,Isolation,Offensive,0.094,1.073,0.492,0.145,0.1,0.137,0.045,0.492,0.532,10.0,10.8,4.0,8.0,4.1
Sacramento Kings,Isolation,Offensive,0.048,1.039,0.485,0.184,0.093,0.17,0.041,0.502,0.515,5.4,5.6,2.0,4.1,2.1
Philadelphia 76ers,Isolation,Offensive,0.118,1.038,0.446,0.172,0.088,0.164,0.034,0.48,0.489,12.6,13.1,4.4,9.8,5.4
Utah Jazz,Isolation,Offensive,0.055,1.037,0.484,0.154,0.11,0.139,0.04,0.486,0.525,6.3,6.6,2.4,4.9,2.5
Dallas Mavericks,Isolation,Offensive,0.122,1.018,0.423,0.169,0.07,0.15,0.031,0.466,0.485,13.0,13.2,4.3,10.3,5.9
New York Knicks,Isolation,Offensive,0.092,0.995,0.449,0.155,0.099,0.143,0.044,0.462,0.494,10.3,10.3,3.7,8.1,4.5
Oklahoma City Thunder,Isolation,Offensive,0.079,0.985,0.445,0.162,0.09,0.148,0.023,0.481,0.467,9.1,9.0,3.1,7.0,3.9
Portland Trail Blazers,Isolation,Offensive,0.083,0.974,0.427,0.163,0.097,0.147,0.038,0.456,0.464,9.0,8.8,3.0,7.0,4.0
Miami Heat,Isolation,Offensive,0.068,0.97,0.434,0.159,0.08,0.158,0.033,0.462,0.465,7.3,7.1,2.5,5.8,3.3
Houston Rockets,Isolation,Offensive,0.067,0.965,0.421,0.138,0.094,0.124,0.032,0.442,0.477,7.7,7.4,2.6,6.1,3.6
Atlanta Hawks,Isolation,Offensive,0.074,0.959,0.431,0.124,0.1,0.113,0.026,0.443,0.472,8.4,8.1,2.9,6.8,3.8
Washington Wizards,Isolation,Offensive,0.064,0.931,0.436,0.123,0.121,0.111,0.031,0.434,0.476,7.1,6.6,2.4,5.6,3.1
Cleveland Cavaliers,Isolation,Offensive,0.065,0.92,0.4,0.134,0.105,0.122,0.035,0.411,0.462,7.0,6.4,2.2,5.6,3.3
Denver Nuggets,Isolation,Offensive,0.055,0.919,0.431,0.124,0.118,0.116,0.026,0.427,0.483,6.0,5.5,2.0,4.7,2.7
Boston Celtics,Isolation,Offensive,0.08,0.911,0.392,0.124,0.097,0.12,0.018,0.416,0.444,8.8,8.0,2.8,7.0,4.3
Charlotte Hornets,Isolation,Offensive,0.04,0.899,0.423,0.135,0.103,0.127,0.029,0.434,0.461,4.6,4.1,1.5,3.6,2.1
Golden State Warriors,Isolation,Offensive,0.041,0.895,0.416,0.1,0.129,0.089,0.024,0.402,0.469,4.6,4.2,1.5,3.7,2.2
Indiana Pacers,Isolation,Offensive,0.044,0.893,0.382,0.114,0.085,0.104,0.027,0.403,0.432,5.0,4.5,1.6,4.1,2.6
Minnesota Timberwolves,Isolation,Offensive,0.07,0.893,0.419,0.082,0.104,0.074,0.019,0.406,0.469,7.9,7.0,2.7,6.5,3.8
Phoenix Suns,Isolation,Offensive,0.045,0.892,0.395,0.127,0.094,0.113,0.019,0.423,0.426,5.1,4.5,1.6,4.0,2.5
LA Clippers,Isolation,Offensive,0.086,0.892,0.423,0.11,0.095,0.099,0.023,0.43,0.45,9.5,8.4,3.3,7.7,4.5
New Orleans Pelicans,Isolation,Offensive,0.055,0.891,0.429,0.153,0.125,0.133,0.03,0.437,0.442,6.1,5.5,2.0,4.6,2.6
Los Angeles Lakers,Isolation,Offensive,0.087,0.86,0.394,0.133,0.084,0.115,0.031,0.414,0.42,9.8,8.5,3.2,8.0,4.9
Toronto Raptors,Isolation,Offensive,0.077,0.852,0.411,0.114,0.107,0.099,0.02,0.418,0.428,8.7,7.4,2.8,6.9,4.1
Memphis Grizzlies,Isolation,Offensive,0.045,0.84,0.389,0.184,0.108,0.165,0.054,0.414,0.406,5.2,4.4,1.5,4.0,2.4
Detroit Pistons,Isolation,Offensive,0.066,0.838,0.379,0.152,0.107,0.134,0.026,0.403,0.409,7.4,6.2,2.1,5.7,3.5
Orlando Magic,Isolation,Offensive,0.062,0.815,0.387,0.153,0.117,0.147,0.028,0.41,0.406,6.9,5.6,2.0,5.2,3.2
Milwaukee Bucks,Isolation,Offensive,0.063,0.801,0.384,0.119,0.109,0.112,0.024,0.396,0.408,7.2,5.7,2.2,5.7,3.5
San Antonio Spurs,Isolation,Offensive,0.032,0.728,0.345,0.133,0.129,0.133,0.023,0.366,0.36,3.8,2.7,1.0,2.9,1.9
