TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Washington Wizards,OffRebound,Offensive,0.054,1.232,0.629,0.14,0.068,0.124,0.052,0.608,0.629,5.9,7.2,3.1,5.0,1.8
Orlando Magic,OffRebound,Offensive,0.055,1.225,0.611,0.17,0.067,0.158,0.036,0.619,0.624,6.2,7.6,3.0,4.9,1.9
Brooklyn Nets,OffRebound,Offensive,0.039,1.212,0.615,0.11,0.062,0.1,0.027,0.602,0.62,4.1,5.0,2.2,3.5,1.4
San Antonio Spurs,OffRebound,Offensive,0.06,1.21,0.635,0.11,0.076,0.106,0.026,0.607,0.638,6.9,8.4,3.7,5.8,2.1
Dallas Mavericks,OffRebound,Offensive,0.03,1.206,0.646,0.13,0.088,0.13,0.034,0.607,0.651,3.2,3.9,1.7,2.6,0.9
Minnesota Timberwolves,OffRebound,Offensive,0.051,1.187,0.604,0.15,0.062,0.14,0.028,0.596,0.608,5.7,6.8,2.8,4.6,1.8
Boston Celtics,OffRebound,Offensive,0.043,1.182,0.604,0.11,0.069,0.11,0.033,0.585,0.604,4.8,5.6,2.4,4.0,1.6
New Orleans Pelicans,OffRebound,Offensive,0.059,1.167,0.584,0.11,0.056,0.102,0.028,0.583,0.587,6.6,7.7,3.3,5.7,2.4
Cleveland Cavaliers,OffRebound,Offensive,0.045,1.167,0.597,0.17,0.073,0.162,0.02,0.6,0.606,4.8,5.6,2.2,3.8,1.5
Denver Nuggets,OffRebound,Offensive,0.058,1.164,0.577,0.14,0.046,0.133,0.033,0.591,0.58,6.3,7.4,3.1,5.4,2.3
Los Angeles Lakers,OffRebound,Offensive,0.053,1.16,0.583,0.17,0.074,0.168,0.042,0.583,0.585,6.1,7.1,2.8,4.8,2.0
Detroit Pistons,OffRebound,Offensive,0.059,1.155,0.579,0.16,0.055,0.151,0.031,0.591,0.584,6.6,7.6,3.1,5.4,2.3
Milwaukee Bucks,OffRebound,Offensive,0.051,1.154,0.6,0.14,0.091,0.133,0.032,0.581,0.609,5.8,6.7,2.8,4.6,1.9
Sacramento Kings,OffRebound,Offensive,0.044,1.153,0.57,0.12,0.058,0.118,0.035,0.57,0.576,4.9,5.6,2.4,4.2,1.8
Miami Heat,OffRebound,Offensive,0.044,1.151,0.56,0.13,0.054,0.131,0.028,0.574,0.566,4.8,5.5,2.2,4.0,1.8
Charlotte Hornets,OffRebound,Offensive,0.063,1.148,0.575,0.13,0.065,0.124,0.046,0.574,0.581,7.2,8.2,3.5,6.1,2.6
Atlanta Hawks,OffRebound,Offensive,0.059,1.141,0.574,0.13,0.052,0.124,0.02,0.578,0.579,6.8,7.7,3.3,5.7,2.4
Toronto Raptors,OffRebound,Offensive,0.07,1.134,0.566,0.12,0.051,0.111,0.029,0.571,0.569,7.9,9.0,3.9,6.8,3.0
Utah Jazz,OffRebound,Offensive,0.061,1.132,0.581,0.14,0.081,0.13,0.047,0.565,0.584,7.0,7.9,3.3,5.8,2.4
New York Knicks,OffRebound,Offensive,0.06,1.129,0.6,0.13,0.093,0.125,0.036,0.567,0.605,6.7,7.6,3.3,5.5,2.2
Philadelphia 76ers,OffRebound,Offensive,0.045,1.127,0.571,0.15,0.086,0.144,0.018,0.567,0.576,4.8,5.4,2.2,3.8,1.6
Memphis Grizzlies,OffRebound,Offensive,0.061,1.116,0.568,0.13,0.059,0.127,0.021,0.571,0.575,7.0,7.8,3.3,5.8,2.5
Indiana Pacers,OffRebound,Offensive,0.05,1.106,0.562,0.12,0.095,0.111,0.022,0.54,0.575,5.6,6.2,2.5,4.5,2.0
Houston Rockets,OffRebound,Offensive,0.069,1.098,0.568,0.12,0.081,0.115,0.031,0.558,0.57,7.9,8.6,3.7,6.5,2.8
Portland Trail Blazers,OffRebound,Offensive,0.044,1.085,0.569,0.12,0.075,0.116,0.01,0.563,0.574,4.9,5.3,2.3,4.0,1.7
Phoenix Suns,OffRebound,Offensive,0.057,1.074,0.533,0.12,0.064,0.114,0.03,0.534,0.542,6.4,6.9,2.9,5.5,2.5
Golden State Warriors,OffRebound,Offensive,0.047,1.067,0.559,0.1,0.083,0.097,0.02,0.542,0.567,5.4,5.8,2.5,4.5,2.0
Chicago Bulls,OffRebound,Offensive,0.046,1.063,0.556,0.11,0.085,0.1,0.015,0.543,0.558,5.0,5.3,2.3,4.1,1.8
LA Clippers,OffRebound,Offensive,0.052,0.994,0.522,0.14,0.101,0.126,0.028,0.51,0.524,5.7,5.7,2.3,4.5,2.1
Oklahoma City Thunder,OffRebound,Offensive,0.051,0.988,0.5,0.1,0.074,0.095,0.008,0.501,0.51,5.9,5.8,2.5,5.0,2.5
