TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Dallas Mavericks,OffScreen,Offensive,0.031,1.161,0.449,0.106,0.059,0.103,0.022,0.465,0.571,3.3,3.9,1.3,2.9,1.6
Oklahoma City Thunder,OffScreen,Offensive,0.021,1.089,0.444,0.05,0.064,0.05,0.005,0.441,0.567,2.5,2.7,1.0,2.2,1.2
Detroit Pistons,OffScreen,Offensive,0.038,1.057,0.423,0.091,0.074,0.08,0.011,0.438,0.522,4.3,4.5,1.5,3.6,2.1
Brooklyn Nets,OffScreen,Offensive,0.041,1.056,0.473,0.056,0.085,0.048,0.023,0.451,0.553,4.3,4.6,1.8,3.8,2.0
Portland Trail Blazers,OffScreen,Offensive,0.043,1.037,0.416,0.081,0.06,0.078,0.026,0.42,0.524,4.7,4.8,1.7,4.1,2.4
Phoenix Suns,OffScreen,Offensive,0.041,1.037,0.443,0.092,0.068,0.079,0.021,0.453,0.514,4.6,4.8,1.8,4.0,2.2
Boston Celtics,OffScreen,Offensive,0.059,1.032,0.421,0.062,0.075,0.06,0.015,0.415,0.533,6.5,6.7,2.4,5.7,3.3
Golden State Warriors,OffScreen,Offensive,0.102,1.029,0.403,0.063,0.091,0.059,0.019,0.392,0.539,11.7,12.0,4.1,10.1,6.0
Utah Jazz,OffScreen,Offensive,0.077,1.011,0.399,0.088,0.064,0.084,0.022,0.409,0.502,8.8,8.9,3.1,7.7,4.6
Denver Nuggets,OffScreen,Offensive,0.041,0.992,0.423,0.051,0.075,0.048,0.005,0.417,0.515,4.5,4.5,1.7,4.0,2.3
Cleveland Cavaliers,OffScreen,Offensive,0.038,0.988,0.413,0.078,0.072,0.063,0.012,0.419,0.502,4.0,4.0,1.4,3.5,2.0
Memphis Grizzlies,OffScreen,Offensive,0.038,0.975,0.395,0.076,0.073,0.073,0.023,0.398,0.502,4.3,4.2,1.5,3.8,2.3
Orlando Magic,OffScreen,Offensive,0.027,0.968,0.408,0.06,0.064,0.048,0.016,0.408,0.498,3.0,3.0,1.1,2.7,1.6
New Orleans Pelicans,OffScreen,Offensive,0.041,0.963,0.379,0.087,0.048,0.071,0.021,0.402,0.467,4.6,4.4,1.5,4.1,2.5
Sacramento Kings,OffScreen,Offensive,0.029,0.956,0.385,0.044,0.074,0.041,0.004,0.378,0.5,3.3,3.1,1.1,2.9,1.8
Atlanta Hawks,OffScreen,Offensive,0.047,0.955,0.424,0.05,0.061,0.043,0.005,0.422,0.49,5.4,5.1,2.0,4.8,2.8
LA Clippers,OffScreen,Offensive,0.044,0.942,0.417,0.068,0.096,0.063,0.013,0.409,0.491,4.8,4.5,1.7,4.1,2.4
Washington Wizards,OffScreen,Offensive,0.042,0.942,0.412,0.09,0.103,0.077,0.013,0.414,0.481,4.6,4.4,1.6,3.8,2.2
San Antonio Spurs,OffScreen,Offensive,0.036,0.939,0.404,0.07,0.076,0.067,0.009,0.404,0.485,4.2,3.9,1.5,3.6,2.2
Milwaukee Bucks,OffScreen,Offensive,0.023,0.931,0.373,0.056,0.106,0.056,0.019,0.356,0.486,2.6,2.5,0.8,2.3,1.4
Los Angeles Lakers,OffScreen,Offensive,0.026,0.909,0.376,0.087,0.095,0.083,0.017,0.384,0.47,3.0,2.7,0.9,2.5,1.5
Minnesota Timberwolves,OffScreen,Offensive,0.045,0.908,0.39,0.072,0.097,0.07,0.017,0.384,0.473,5.0,4.6,1.7,4.3,2.6
Toronto Raptors,OffScreen,Offensive,0.028,0.906,0.376,0.043,0.075,0.043,0.008,0.366,0.473,3.1,2.8,1.0,2.8,1.7
New York Knicks,OffScreen,Offensive,0.021,0.906,0.384,0.068,0.099,0.058,0.026,0.366,0.476,2.3,2.1,0.8,2.0,1.2
Chicago Bulls,OffScreen,Offensive,0.026,0.904,0.389,0.083,0.078,0.078,0.022,0.396,0.457,2.8,2.5,0.9,2.4,1.5
Miami Heat,OffScreen,Offensive,0.04,0.887,0.347,0.068,0.042,0.065,0.014,0.367,0.43,4.3,3.8,1.4,3.9,2.5
Indiana Pacers,OffScreen,Offensive,0.033,0.871,0.353,0.066,0.099,0.066,0.017,0.35,0.446,3.7,3.2,1.1,3.1,2.0
Philadelphia 76ers,OffScreen,Offensive,0.021,0.836,0.335,0.038,0.093,0.038,0.011,0.322,0.441,2.2,1.9,0.7,2.0,1.3
Charlotte Hornets,OffScreen,Offensive,0.046,0.814,0.349,0.077,0.077,0.074,0.019,0.36,0.406,5.3,4.3,1.6,4.5,3.0
Houston Rockets,OffScreen,Offensive,0.019,0.77,0.307,0.084,0.101,0.073,0.028,0.309,0.377,2.2,1.7,0.6,1.8,1.3
