TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Dallas Mavericks,PRBallHandler,Offensive,0.153,1.028,0.496,0.129,0.134,0.117,0.033,0.471,0.559,16.3,16.8,6.2,12.6,6.3
Portland Trail Blazers,PRBallHandler,Offensive,0.178,0.994,0.447,0.124,0.128,0.103,0.019,0.443,0.519,19.4,19.3,6.6,14.8,8.2
Cleveland Cavaliers,PRBallHandler,Offensive,0.196,0.979,0.465,0.1,0.135,0.084,0.016,0.443,0.529,21.1,20.6,7.6,16.4,8.8
Sacramento Kings,PRBallHandler,Offensive,0.131,0.959,0.48,0.116,0.154,0.099,0.021,0.451,0.525,14.7,14.1,5.3,11.0,5.7
Golden State Warriors,PRBallHandler,Offensive,0.135,0.958,0.441,0.097,0.16,0.088,0.024,0.41,0.525,15.5,14.8,5.2,11.9,6.6
Boston Celtics,PRBallHandler,Offensive,0.16,0.956,0.434,0.112,0.14,0.101,0.022,0.421,0.51,17.6,16.9,5.9,13.6,7.7
LA Clippers,PRBallHandler,Offensive,0.175,0.948,0.456,0.12,0.144,0.105,0.024,0.438,0.5,19.2,18.2,6.6,14.6,7.9
Brooklyn Nets,PRBallHandler,Offensive,0.151,0.943,0.44,0.12,0.14,0.108,0.032,0.423,0.492,16.1,15.2,5.5,12.5,7.0
Chicago Bulls,PRBallHandler,Offensive,0.208,0.94,0.472,0.107,0.131,0.1,0.029,0.448,0.498,22.7,21.3,8.5,17.9,9.5
Minnesota Timberwolves,PRBallHandler,Offensive,0.153,0.937,0.448,0.109,0.144,0.094,0.025,0.428,0.504,17.2,16.1,5.9,13.2,7.3
New York Knicks,PRBallHandler,Offensive,0.177,0.937,0.439,0.136,0.114,0.126,0.033,0.442,0.479,19.8,18.6,6.8,15.5,8.7
Miami Heat,PRBallHandler,Offensive,0.17,0.935,0.447,0.102,0.151,0.089,0.023,0.422,0.505,18.3,17.1,6.3,14.0,7.8
Milwaukee Bucks,PRBallHandler,Offensive,0.147,0.932,0.46,0.091,0.159,0.077,0.016,0.42,0.525,16.7,15.5,5.9,12.8,6.9
Atlanta Hawks,PRBallHandler,Offensive,0.214,0.931,0.446,0.097,0.131,0.076,0.017,0.431,0.486,24.5,22.8,8.6,19.3,10.7
Indiana Pacers,PRBallHandler,Offensive,0.177,0.911,0.446,0.095,0.142,0.086,0.03,0.415,0.495,20.1,18.3,7.1,15.9,8.8
Oklahoma City Thunder,PRBallHandler,Offensive,0.184,0.91,0.458,0.115,0.137,0.107,0.028,0.44,0.479,21.1,19.2,7.5,16.4,8.9
Orlando Magic,PRBallHandler,Offensive,0.186,0.908,0.472,0.1,0.163,0.091,0.018,0.436,0.506,20.7,18.8,7.4,15.6,8.2
Philadelphia 76ers,PRBallHandler,Offensive,0.145,0.904,0.434,0.105,0.151,0.096,0.02,0.413,0.486,15.6,14.1,5.2,11.9,6.7
New Orleans Pelicans,PRBallHandler,Offensive,0.154,0.9,0.45,0.118,0.14,0.107,0.026,0.434,0.48,17.2,15.5,6.0,13.2,7.3
Utah Jazz,PRBallHandler,Offensive,0.164,0.891,0.438,0.106,0.169,0.096,0.017,0.41,0.489,18.8,16.8,6.1,14.0,7.9
Phoenix Suns,PRBallHandler,Offensive,0.177,0.887,0.432,0.096,0.124,0.077,0.018,0.42,0.468,19.9,17.6,6.8,15.8,9.0
Washington Wizards,PRBallHandler,Offensive,0.167,0.887,0.459,0.077,0.153,0.074,0.024,0.412,0.496,18.3,16.2,6.7,14.5,7.9
Los Angeles Lakers,PRBallHandler,Offensive,0.169,0.88,0.446,0.119,0.171,0.108,0.026,0.419,0.481,19.2,16.9,6.3,14.1,7.8
Memphis Grizzlies,PRBallHandler,Offensive,0.182,0.88,0.433,0.103,0.123,0.096,0.025,0.421,0.464,20.9,18.4,7.2,16.6,9.4
Toronto Raptors,PRBallHandler,Offensive,0.157,0.871,0.396,0.106,0.118,0.094,0.021,0.398,0.442,17.7,15.4,5.6,14.1,8.5
San Antonio Spurs,PRBallHandler,Offensive,0.167,0.861,0.433,0.096,0.132,0.083,0.021,0.413,0.46,19.4,16.7,6.6,15.4,8.7
Houston Rockets,PRBallHandler,Offensive,0.195,0.842,0.404,0.121,0.165,0.11,0.024,0.389,0.452,22.4,18.9,6.7,16.5,9.8
Denver Nuggets,PRBallHandler,Offensive,0.133,0.831,0.429,0.076,0.174,0.065,0.013,0.387,0.476,14.6,12.1,4.8,11.1,6.4
Detroit Pistons,PRBallHandler,Offensive,0.202,0.826,0.4,0.095,0.149,0.084,0.019,0.382,0.44,22.8,18.8,7.0,17.6,10.5
Charlotte Hornets,PRBallHandler,Offensive,0.188,0.81,0.391,0.086,0.142,0.074,0.019,0.373,0.436,21.5,17.4,6.6,17.0,10.4
