TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Denver Nuggets,PRRollMan,Offensive,0.05,1.286,0.616,0.129,0.058,0.122,0.024,0.612,0.667,5.5,7.1,2.8,4.6,1.8
Dallas Mavericks,PRRollMan,Offensive,0.062,1.283,0.58,0.134,0.061,0.13,0.037,0.577,0.662,6.5,8.4,3.2,5.5,2.3
Los Angeles Lakers,PRRollMan,Offensive,0.066,1.273,0.611,0.13,0.045,0.125,0.031,0.614,0.64,7.5,9.6,3.9,6.4,2.5
Atlanta Hawks,PRRollMan,Offensive,0.059,1.262,0.609,0.123,0.051,0.119,0.038,0.608,0.639,6.7,8.5,3.5,5.8,2.3
Memphis Grizzlies,PRRollMan,Offensive,0.045,1.238,0.599,0.16,0.062,0.155,0.055,0.59,0.64,5.1,6.3,2.5,4.3,1.7
New York Knicks,PRRollMan,Offensive,0.028,1.23,0.579,0.119,0.038,0.103,0.031,0.582,0.632,3.2,3.9,1.6,2.8,1.2
Milwaukee Bucks,PRRollMan,Offensive,0.069,1.215,0.535,0.11,0.047,0.105,0.034,0.532,0.621,7.9,9.6,3.7,6.9,3.2
Philadelphia 76ers,PRRollMan,Offensive,0.083,1.209,0.567,0.168,0.089,0.165,0.038,0.57,0.616,8.9,10.8,4.0,7.0,3.0
Sacramento Kings,PRRollMan,Offensive,0.041,1.197,0.597,0.122,0.08,0.117,0.035,0.572,0.641,4.6,5.5,2.3,3.8,1.5
Washington Wizards,PRRollMan,Offensive,0.058,1.192,0.547,0.152,0.069,0.149,0.032,0.55,0.606,6.4,7.6,2.8,5.2,2.4
Utah Jazz,PRRollMan,Offensive,0.044,1.181,0.539,0.111,0.051,0.104,0.029,0.54,0.592,5.1,6.0,2.4,4.4,2.0
Minnesota Timberwolves,PRRollMan,Offensive,0.05,1.177,0.568,0.155,0.079,0.146,0.041,0.561,0.619,5.6,6.6,2.6,4.5,2.0
Detroit Pistons,PRRollMan,Offensive,0.049,1.174,0.551,0.121,0.068,0.11,0.026,0.546,0.608,5.5,6.5,2.5,4.6,2.1
Charlotte Hornets,PRRollMan,Offensive,0.056,1.172,0.558,0.187,0.069,0.182,0.061,0.564,0.587,6.4,7.5,2.9,5.1,2.3
Phoenix Suns,PRRollMan,Offensive,0.066,1.172,0.574,0.106,0.058,0.108,0.035,0.566,0.602,7.4,8.6,3.7,6.4,2.7
LA Clippers,PRRollMan,Offensive,0.04,1.169,0.598,0.152,0.122,0.15,0.028,0.562,0.644,4.4,5.1,2.0,3.3,1.3
Brooklyn Nets,PRRollMan,Offensive,0.046,1.134,0.564,0.121,0.087,0.119,0.045,0.542,0.602,4.9,5.6,2.3,4.1,1.8
New Orleans Pelicans,PRRollMan,Offensive,0.049,1.134,0.525,0.145,0.047,0.14,0.022,0.555,0.56,5.5,6.2,2.4,4.5,2.2
Golden State Warriors,PRRollMan,Offensive,0.039,1.124,0.539,0.135,0.077,0.133,0.033,0.53,0.591,4.4,5.0,2.0,3.6,1.7
Chicago Bulls,PRRollMan,Offensive,0.074,1.106,0.544,0.095,0.088,0.094,0.033,0.517,0.58,8.0,8.9,3.7,6.8,3.1
Boston Celtics,PRRollMan,Offensive,0.046,1.098,0.483,0.077,0.074,0.077,0.017,0.474,0.576,5.1,5.6,2.1,4.4,2.3
Orlando Magic,PRRollMan,Offensive,0.054,1.089,0.489,0.131,0.078,0.127,0.03,0.499,0.549,6.1,6.6,2.4,5.0,2.5
Miami Heat,PRRollMan,Offensive,0.064,1.086,0.506,0.13,0.057,0.127,0.027,0.522,0.53,6.8,7.4,2.9,5.7,2.8
Houston Rockets,PRRollMan,Offensive,0.059,1.083,0.528,0.142,0.083,0.134,0.036,0.525,0.562,6.7,7.3,2.9,5.5,2.6
Indiana Pacers,PRRollMan,Offensive,0.067,1.076,0.486,0.15,0.068,0.145,0.04,0.506,0.537,7.6,8.1,3.0,6.2,3.2
Portland Trail Blazers,PRRollMan,Offensive,0.044,1.071,0.535,0.152,0.106,0.146,0.063,0.513,0.569,4.8,5.2,2.1,3.9,1.8
Oklahoma City Thunder,PRRollMan,Offensive,0.052,1.069,0.468,0.084,0.063,0.084,0.01,0.473,0.556,6.0,6.4,2.4,5.2,2.7
Cleveland Cavaliers,PRRollMan,Offensive,0.074,1.062,0.528,0.122,0.099,0.113,0.029,0.51,0.562,7.9,8.4,3.4,6.4,3.0
San Antonio Spurs,PRRollMan,Offensive,0.047,1.049,0.497,0.095,0.071,0.095,0.035,0.483,0.548,5.5,5.8,2.4,4.8,2.4
Toronto Raptors,PRRollMan,Offensive,0.052,1.023,0.488,0.108,0.075,0.104,0.037,0.481,0.524,5.9,6.0,2.5,5.0,2.6
