TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Dallas Mavericks,Postup,Offensive,0.047,1.127,0.57,0.235,0.095,0.222,0.046,0.587,0.57,5.0,5.6,2.0,3.5,1.5
Chicago Bulls,Postup,Offensive,0.055,1.119,0.559,0.172,0.084,0.152,0.055,0.555,0.559,6.0,6.7,2.7,4.8,2.1
Philadelphia 76ers,Postup,Offensive,0.056,1.112,0.545,0.215,0.102,0.182,0.047,0.554,0.545,6.0,6.6,2.4,4.3,2.0
Denver Nuggets,Postup,Offensive,0.076,1.093,0.572,0.203,0.128,0.178,0.057,0.551,0.572,8.3,9.1,3.4,6.0,2.6
LA Clippers,Postup,Offensive,0.048,1.046,0.531,0.15,0.101,0.134,0.037,0.525,0.531,5.3,5.5,2.2,4.2,2.0
Washington Wizards,Postup,Offensive,0.046,1.02,0.516,0.18,0.122,0.163,0.056,0.51,0.516,5.0,5.1,1.9,3.8,1.8
Brooklyn Nets,Postup,Offensive,0.022,1.015,0.527,0.153,0.133,0.133,0.041,0.5,0.527,2.4,2.4,1.0,1.8,0.9
Atlanta Hawks,Postup,Offensive,0.031,1.01,0.504,0.144,0.075,0.127,0.021,0.521,0.504,3.6,3.6,1.4,2.9,1.4
Indiana Pacers,Postup,Offensive,0.024,1.005,0.519,0.18,0.126,0.158,0.036,0.523,0.519,2.7,2.7,1.0,2.0,1.0
Milwaukee Bucks,Postup,Offensive,0.07,1.002,0.527,0.142,0.121,0.124,0.034,0.505,0.527,8.0,8.0,3.2,6.1,2.9
Phoenix Suns,Postup,Offensive,0.055,1.002,0.536,0.118,0.116,0.093,0.028,0.504,0.536,6.2,6.2,2.6,4.9,2.3
Oklahoma City Thunder,Postup,Offensive,0.016,1.0,0.481,0.197,0.116,0.184,0.034,0.503,0.481,1.8,1.8,0.6,1.3,0.7
Boston Celtics,Postup,Offensive,0.028,0.996,0.503,0.169,0.114,0.157,0.043,0.502,0.503,3.1,3.1,1.2,2.4,1.2
Los Angeles Lakers,Postup,Offensive,0.052,0.992,0.483,0.174,0.091,0.161,0.05,0.498,0.483,5.9,5.9,2.2,4.6,2.4
Memphis Grizzlies,Postup,Offensive,0.032,0.99,0.534,0.156,0.132,0.146,0.03,0.51,0.534,3.7,3.6,1.5,2.7,1.3
Sacramento Kings,Postup,Offensive,0.037,0.988,0.533,0.162,0.139,0.127,0.029,0.51,0.533,4.1,4.1,1.6,3.0,1.4
San Antonio Spurs,Postup,Offensive,0.044,0.986,0.523,0.165,0.141,0.139,0.043,0.495,0.523,5.1,5.0,2.0,3.8,1.8
Houston Rockets,Postup,Offensive,0.044,0.985,0.547,0.145,0.157,0.111,0.029,0.506,0.547,5.0,5.0,2.0,3.7,1.7
Orlando Magic,Postup,Offensive,0.034,0.984,0.516,0.182,0.14,0.147,0.029,0.505,0.516,3.7,3.7,1.4,2.6,1.3
New Orleans Pelicans,Postup,Offensive,0.06,0.971,0.521,0.186,0.166,0.168,0.044,0.497,0.521,6.7,6.5,2.4,4.6,2.2
Minnesota Timberwolves,Postup,Offensive,0.031,0.955,0.503,0.253,0.153,0.198,0.031,0.503,0.503,3.5,3.4,1.1,2.2,1.1
Portland Trail Blazers,Postup,Offensive,0.041,0.948,0.507,0.161,0.144,0.15,0.041,0.485,0.507,4.5,4.2,1.7,3.3,1.6
Charlotte Hornets,Postup,Offensive,0.025,0.945,0.489,0.187,0.111,0.149,0.047,0.489,0.489,2.9,2.7,1.0,2.1,1.1
Miami Heat,Postup,Offensive,0.041,0.943,0.493,0.128,0.131,0.126,0.03,0.478,0.493,4.5,4.2,1.7,3.4,1.7
Toronto Raptors,Postup,Offensive,0.053,0.937,0.479,0.131,0.096,0.115,0.012,0.487,0.479,6.0,5.6,2.2,4.7,2.4
Utah Jazz,Postup,Offensive,0.022,0.874,0.463,0.15,0.155,0.126,0.024,0.447,0.463,2.5,2.2,0.8,1.8,1.0
New York Knicks,Postup,Offensive,0.037,0.868,0.456,0.158,0.141,0.144,0.032,0.449,0.456,4.2,3.6,1.4,3.0,1.7
Detroit Pistons,Postup,Offensive,0.044,0.849,0.43,0.144,0.126,0.129,0.025,0.436,0.43,4.9,4.2,1.6,3.7,2.1
Golden State Warriors,Postup,Offensive,0.021,0.845,0.476,0.115,0.18,0.09,0.02,0.425,0.476,2.4,2.1,0.8,1.8,0.9
Cleveland Cavaliers,Postup,Offensive,0.032,0.792,0.404,0.127,0.116,0.099,0.011,0.412,0.404,3.5,2.7,1.1,2.7,1.6
