TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Philadelphia 76ers,Transition,Offensive,0.154,1.213,0.569,0.153,0.114,0.146,0.046,0.545,0.643,16.4,19.9,7.3,12.8,5.5
Denver Nuggets,Transition,Offensive,0.177,1.207,0.581,0.123,0.119,0.11,0.029,0.548,0.662,19.4,23.4,8.9,15.2,6.4
Cleveland Cavaliers,Transition,Offensive,0.155,1.178,0.58,0.133,0.111,0.12,0.033,0.548,0.636,16.6,19.6,7.6,13.1,5.5
Indiana Pacers,Transition,Offensive,0.202,1.177,0.542,0.13,0.112,0.124,0.03,0.524,0.631,22.9,27.0,9.8,18.0,8.3
Boston Celtics,Transition,Offensive,0.172,1.177,0.559,0.132,0.119,0.127,0.03,0.533,0.634,19.0,22.4,8.3,14.8,6.5
Chicago Bulls,Transition,Offensive,0.161,1.162,0.552,0.148,0.105,0.142,0.028,0.542,0.61,17.5,20.3,7.5,13.5,6.0
Atlanta Hawks,Transition,Offensive,0.163,1.161,0.548,0.136,0.102,0.121,0.033,0.531,0.612,18.7,21.7,8.1,14.9,6.7
Minnesota Timberwolves,Transition,Offensive,0.179,1.158,0.559,0.138,0.126,0.131,0.044,0.526,0.624,20.1,23.2,8.7,15.6,6.9
Miami Heat,Transition,Offensive,0.146,1.154,0.541,0.143,0.117,0.135,0.033,0.523,0.609,15.7,18.1,6.5,12.1,5.5
Washington Wizards,Transition,Offensive,0.152,1.154,0.551,0.119,0.11,0.109,0.023,0.527,0.623,16.7,19.2,7.3,13.2,5.9
Portland Trail Blazers,Transition,Offensive,0.151,1.149,0.561,0.154,0.124,0.147,0.04,0.534,0.619,16.5,19.0,7.0,12.5,5.5
New York Knicks,Transition,Offensive,0.165,1.147,0.542,0.153,0.108,0.144,0.034,0.529,0.609,18.5,21.2,7.7,14.3,6.5
Oklahoma City Thunder,Transition,Offensive,0.19,1.143,0.532,0.149,0.103,0.139,0.033,0.528,0.594,21.8,25.0,9.1,17.1,8.0
Detroit Pistons,Transition,Offensive,0.157,1.137,0.556,0.158,0.128,0.143,0.024,0.534,0.628,17.7,20.1,7.2,13.0,5.8
Memphis Grizzlies,Transition,Offensive,0.198,1.137,0.528,0.115,0.106,0.106,0.032,0.505,0.61,22.7,25.8,9.7,18.4,8.7
Toronto Raptors,Transition,Offensive,0.186,1.135,0.537,0.152,0.105,0.14,0.034,0.53,0.595,21.0,23.8,8.8,16.3,7.6
New Orleans Pelicans,Transition,Offensive,0.168,1.131,0.542,0.125,0.123,0.111,0.029,0.515,0.61,18.8,21.2,7.9,14.6,6.7
Los Angeles Lakers,Transition,Offensive,0.184,1.129,0.562,0.154,0.128,0.138,0.034,0.534,0.616,21.0,23.7,8.8,15.7,6.9
LA Clippers,Transition,Offensive,0.168,1.128,0.537,0.142,0.125,0.128,0.028,0.512,0.621,18.4,20.8,7.5,14.0,6.5
Brooklyn Nets,Transition,Offensive,0.177,1.125,0.518,0.131,0.113,0.12,0.029,0.501,0.606,19.0,21.3,7.7,14.8,7.1
Milwaukee Bucks,Transition,Offensive,0.176,1.122,0.503,0.155,0.108,0.144,0.037,0.494,0.599,20.0,22.5,7.8,15.5,7.7
Golden State Warriors,Transition,Offensive,0.166,1.116,0.536,0.105,0.144,0.096,0.024,0.494,0.621,19.0,21.2,7.9,14.7,6.8
Orlando Magic,Transition,Offensive,0.172,1.116,0.523,0.155,0.115,0.141,0.041,0.51,0.587,19.2,21.4,7.7,14.7,7.0
Dallas Mavericks,Transition,Offensive,0.149,1.114,0.5,0.132,0.094,0.128,0.031,0.492,0.582,15.9,17.7,6.4,12.7,6.4
Sacramento Kings,Transition,Offensive,0.203,1.102,0.514,0.137,0.115,0.127,0.034,0.498,0.586,22.7,25.1,9.1,17.7,8.6
Utah Jazz,Transition,Offensive,0.165,1.098,0.526,0.121,0.129,0.111,0.03,0.494,0.598,18.9,20.7,7.7,14.7,7.0
Phoenix Suns,Transition,Offensive,0.134,1.096,0.501,0.124,0.112,0.107,0.024,0.491,0.584,15.1,16.5,5.9,11.9,5.9
Charlotte Hornets,Transition,Offensive,0.177,1.091,0.52,0.144,0.107,0.131,0.036,0.509,0.574,20.1,22.0,8.2,15.8,7.6
Houston Rockets,Transition,Offensive,0.147,1.071,0.545,0.136,0.132,0.128,0.035,0.509,0.585,16.9,18.1,7.0,12.9,5.9
San Antonio Spurs,Transition,Offensive,0.162,1.07,0.516,0.122,0.127,0.113,0.036,0.485,0.584,18.9,20.2,7.7,14.8,7.2
