PLAYER_ID,PLAYER_NAME,GP,W,L,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1630639,A.J. Lawson,15,5,10,0.7,1.5,0.435,2.0,0.7,1.5,0.435,0.652
1631260,AJ Green,35,27,8,1.0,2.3,0.444,3.1,1.0,2.3,0.444,0.667
1628988,Aaron Holiday,63,32,31,0.4,1.0,0.435,1.3,0.4,1.0,0.435,0.653
1630174,Aaron Nesmith,73,30,43,1.3,3.7,0.348,3.9,1.3,3.7,0.347,0.518
1630598,Aaron Wiggins,70,37,33,0.6,1.7,0.388,1.9,0.6,1.6,0.389,0.578
202692,Alec Burks,51,12,39,1.1,2.5,0.437,3.2,1.0,2.4,0.434,0.647
1627936,Alex Caruso,67,33,34,0.8,2.1,0.38,2.4,0.8,2.0,0.375,0.56
1631214,Alondes Williams,1,1,0,0.0,0.0,,0.0,,,,
1629599,Amir Coffey,50,26,24,0.2,0.7,0.333,0.7,0.2,0.7,0.303,0.472
2738,Andre Iguodala,8,3,5,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0
1629614,Andrew Nembhard,75,32,43,1.0,2.7,0.373,2.9,0.9,2.6,0.366,0.55
1629014,Anfernee Simons,62,27,35,1.9,4.9,0.393,5.7,1.9,4.9,0.392,0.587
1630162,Anthony Edwards,79,40,39,1.1,2.6,0.418,3.3,1.1,2.5,0.417,0.618
1630559,Austin Reaves,64,35,29,1.0,2.6,0.409,3.1,1.0,2.5,0.403,0.604
203085,Austin Rivers,52,25,27,0.7,2.0,0.363,2.1,0.7,2.0,0.363,0.544
1630245,Ayo Dosunmu,80,40,40,0.7,2.3,0.314,2.2,0.7,2.3,0.309,0.465
1627732,Ben Simmons,42,24,18,0.0,0.1,0.4,0.1,0.0,0.0,,0.4
1631097,Bennedict Mathurin,78,33,45,0.7,2.4,0.31,2.1,0.7,2.2,0.308,0.454
1631104,Blake Wesley,37,9,28,0.4,1.2,0.372,1.3,0.4,1.1,0.357,0.547
203992,Bogdan Bogdanovic,54,27,27,2.2,5.3,0.42,6.3,1.9,4.8,0.393,0.596
1630538,Bones Hyland,56,36,20,1.1,2.8,0.376,3.2,1.1,2.8,0.383,0.564
203078,Bradley Beal,50,24,26,1.1,2.7,0.418,3.1,0.9,2.2,0.4,0.582
1630527,Brandon Boston Jr.,22,9,13,0.2,0.7,0.313,0.7,0.2,0.6,0.357,0.469
1628971,Bruce Brown,80,53,27,1.1,2.9,0.371,3.2,1.0,2.8,0.374,0.552
1631121,Bryce McGowens,46,16,30,0.5,1.5,0.319,1.4,0.5,1.5,0.328,0.478
1627854,Bryn Forbes,25,9,16,0.4,1.4,0.294,1.2,0.4,1.3,0.313,0.441
1627741,Buddy Hield,80,35,45,2.5,6.0,0.418,7.6,2.5,6.0,0.42,0.626
203468,CJ McCollum,75,38,37,1.9,4.6,0.399,5.5,1.8,4.3,0.413,0.591
1630595,Cade Cunningham,12,3,9,0.8,2.7,0.313,2.4,0.8,2.3,0.333,0.453
1631216,Caleb Houstan,51,20,31,0.9,2.7,0.328,2.6,0.8,2.5,0.331,0.485
1629629,Cam Reddish,40,14,26,0.9,2.9,0.319,2.7,0.9,2.8,0.31,0.47
1630560,Cam Thomas,57,30,27,0.4,0.9,0.451,1.1,0.3,0.8,0.409,0.627
1626166,Cameron Payne,48,27,21,0.8,2.3,0.339,2.3,0.8,2.3,0.333,0.505
1627747,Caris LeVert,74,45,29,1.1,2.9,0.396,3.4,1.1,2.9,0.393,0.592
1630637,Carlik Jones,7,4,3,0.4,0.7,0.6,1.3,0.4,0.7,0.6,0.9
1630537,Chris Duarte,46,19,27,0.8,2.2,0.343,2.2,0.7,2.1,0.337,0.505
101108,Chris Paul,59,33,26,0.8,1.6,0.538,2.5,0.8,1.5,0.523,0.785
1631128,Christian Braun,76,49,27,0.4,1.1,0.341,1.1,0.4,1.1,0.35,0.506
