PLAYER_ID,PLAYER_NAME,GP,W,L,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1630639,A.J. Lawson,15,5,10,0.5,0.1,0.3,0.5,0.0,0.1,0.0,0.3,0.571,0.1,0.286,0.0,0.0,0.0,0.0,0.1,0.143
1631260,AJ Green,35,27,8,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.154,0.3,0.769,0.0,0.077,0.0,0.077,0.0,0.0
1628988,Aaron Holiday,63,32,31,3.4,0.5,1.3,0.418,0.2,0.2,0.786,1.3,0.379,1.7,0.505,0.3,0.079,0.2,0.061,0.1,0.033
1630174,Aaron Nesmith,73,30,43,4.1,0.8,1.8,0.446,0.6,0.7,0.788,2.2,0.537,1.5,0.37,0.3,0.08,0.3,0.077,0.4,0.087
1630598,Aaron Wiggins,70,37,33,2.8,0.6,1.2,0.448,0.2,0.2,0.75,1.3,0.472,1.1,0.379,0.3,0.092,0.2,0.082,0.1,0.041
202692,Alec Burks,50,12,38,4.8,1.0,2.1,0.49,0.8,1.1,0.759,3.0,0.631,1.7,0.361,0.4,0.091,0.3,0.054,0.6,0.116
1627936,Alex Caruso,66,32,34,2.3,0.3,0.6,0.436,0.3,0.3,0.9,0.8,0.36,1.2,0.54,0.4,0.16,0.2,0.087,0.2,0.067
1631214,Alondes Williams,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,2.2,0.5,1.2,0.407,0.4,0.5,0.769,1.4,0.627,0.6,0.291,0.2,0.073,0.1,0.045,0.3,0.118
2738,Andre Iguodala,7,2,5,0.9,0.1,0.1,1.0,0.0,0.0,0.0,0.4,0.5,0.6,0.667,0.1,0.167,0.1,0.167,0.0,0.0
1629614,Andrew Nembhard,75,32,43,8.3,1.4,3.1,0.451,0.3,0.4,0.821,3.2,0.381,4.3,0.522,0.9,0.112,0.4,0.05,0.2,0.022
1629014,Anfernee Simons,62,27,35,8.8,2.4,4.5,0.536,0.8,0.9,0.929,5.8,0.662,3.2,0.362,0.7,0.084,0.5,0.053,0.5,0.051
1630162,Anthony Edwards,78,39,39,12.3,3.5,6.7,0.523,1.9,2.5,0.774,9.3,0.756,3.1,0.248,0.8,0.066,0.9,0.074,1.3,0.102
1630559,Austin Reaves,64,35,29,6.3,1.3,2.1,0.607,1.4,1.6,0.865,4.3,0.678,2.6,0.416,0.6,0.102,0.5,0.08,0.8,0.13
203085,Austin Rivers,52,25,27,3.4,0.7,1.2,0.547,0.3,0.4,0.818,1.8,0.52,1.7,0.508,0.4,0.107,0.2,0.051,0.2,0.062
1630245,Ayo Dosunmu,79,39,40,5.1,1.3,2.2,0.593,0.2,0.3,0.75,2.8,0.556,2.3,0.447,0.5,0.097,0.4,0.079,0.2,0.03
1627732,Ben Simmons,42,24,18,3.5,0.8,1.5,0.525,0.2,0.3,0.583,1.7,0.486,1.6,0.452,0.3,0.082,0.2,0.055,0.2,0.048
1631097,Bennedict Mathurin,78,33,45,7.6,1.9,4.3,0.441,1.8,2.1,0.846,5.8,0.768,1.4,0.181,0.2,0.032,0.6,0.078,1.1,0.14
1631104,Blake Wesley,34,8,26,6.1,0.6,2.4,0.238,0.4,0.5,0.667,1.5,0.25,3.0,0.486,0.8,0.135,0.4,0.072,0.3,0.043
203992,Bogdan Bogdanovic,54,27,27,5.2,1.3,2.4,0.55,0.5,0.6,0.9,3.2,0.609,2.2,0.416,0.5,0.103,0.3,0.057,0.3,0.053
1630538,Bones Hyland,56,36,20,6.4,1.0,2.8,0.359,0.7,0.8,0.881,2.8,0.431,2.5,0.387,0.7,0.115,0.5,0.073,0.4,0.059
203078,Bradley Beal,50,24,26,15.9,4.0,7.4,0.546,1.6,2.0,0.827,10.0,0.628,6.0,0.38,1.4,0.089,0.9,0.055,1.0,0.062
1630527,Brandon Boston Jr.,22,9,13,3.5,0.7,2.0,0.356,0.6,0.8,0.765,2.0,0.571,0.9,0.247,0.2,0.065,0.2,0.052,0.4,0.104
1628971,Bruce Brown,80,53,27,6.6,1.4,3.0,0.446,0.6,0.7,0.772,3.3,0.508,2.6,0.397,0.7,0.101,0.5,0.07,0.4,0.055
