PLAYER_ID,PLAYER_NAME,GP,W,L,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
1630639,A.J. Lawson,15,5,10,9.8,0.6,0.4,0.4,1.0,0.1,0.1,0.5,0.9,1.444,0.1,0.111,0.0,0.0,0.0,0.0,0.1,0.111
1631260,AJ Green,35,27,8,12.1,0.3,0.1,0.1,0.6,0.1,0.1,1.0,0.2,0.667,0.1,0.333,0.0,0.083,0.0,0.083,0.0,0.083
1628988,Aaron Holiday,63,32,31,20.5,0.4,0.1,0.2,0.429,0.0,0.0,1.0,0.2,0.609,0.1,0.304,0.0,0.0,0.0,0.0,0.0,0.043
1630174,Aaron Nesmith,73,30,43,36.1,1.1,0.4,0.6,0.591,0.1,0.1,1.0,0.8,0.792,0.2,0.221,0.0,0.039,0.1,0.091,0.0,0.039
1630598,Aaron Wiggins,70,37,33,20.9,2.1,0.8,1.3,0.659,0.3,0.3,0.87,1.9,0.9,0.5,0.253,0.2,0.08,0.1,0.06,0.2,0.073
202692,Alec Burks,50,12,38,34.6,0.4,0.1,0.2,0.444,0.0,0.0,1.0,0.2,0.611,0.1,0.333,0.0,0.056,0.0,0.111,0.0,0.056
1627936,Alex Caruso,66,32,34,42.1,1.3,0.3,0.6,0.605,0.1,0.1,0.875,0.8,0.624,0.6,0.435,0.2,0.141,0.0,0.024,0.1,0.047
1631214,Alondes Williams,1,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,13.6,0.2,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.333,0.1,0.5,0.0,0.083,0.0,0.0,0.0,0.0
2738,Andre Iguodala,7,2,5,24.4,1.3,0.6,0.6,1.0,0.0,0.0,0.0,1.1,0.889,0.6,0.444,0.1,0.111,0.0,0.0,0.0,0.0
1629614,Andrew Nembhard,75,32,43,49.3,0.6,0.2,0.3,0.571,0.0,0.0,0.0,0.3,0.532,0.3,0.489,0.1,0.085,0.0,0.064,0.0,0.0
1629014,Anfernee Simons,62,27,35,67.4,0.6,0.3,0.4,0.64,0.0,0.0,0.0,0.5,0.842,0.2,0.289,0.0,0.026,0.0,0.053,0.0,0.0
1630162,Anthony Edwards,78,39,39,71.4,0.9,0.4,0.6,0.767,0.0,0.1,0.5,0.9,1.0,0.3,0.292,0.0,0.028,0.0,0.028,0.0,0.042
1630559,Austin Reaves,64,35,29,41.9,0.9,0.2,0.4,0.6,0.1,0.1,1.0,0.6,0.709,0.4,0.436,0.1,0.109,0.0,0.018,0.0,0.055
203085,Austin Rivers,52,25,27,22.8,0.1,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.571,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0
1630245,Ayo Dosunmu,79,39,40,42.7,0.6,0.3,0.4,0.636,0.1,0.1,1.0,0.6,0.96,0.1,0.2,0.0,0.04,0.1,0.08,0.0,0.04
1627732,Ben Simmons,42,24,18,61.4,4.0,1.6,2.3,0.711,0.1,0.2,0.3,3.4,0.846,1.4,0.337,0.3,0.083,0.2,0.041,0.1,0.03
1631097,Bennedict Mathurin,78,33,45,42.0,1.7,0.7,1.1,0.659,0.4,0.4,0.853,1.8,1.052,0.3,0.164,0.0,0.0,0.1,0.03,0.2,0.112
1631104,Blake Wesley,34,8,26,36.2,0.8,0.1,0.3,0.444,0.1,0.2,0.667,0.4,0.462,0.4,0.462,0.0,0.038,0.1,0.077,0.1,0.077
203992,Bogdan Bogdanovic,54,27,27,40.5,0.5,0.1,0.2,0.615,0.0,0.0,1.0,0.3,0.72,0.2,0.4,0.1,0.12,0.0,0.04,0.0,0.04
1630538,Bones Hyland,56,36,20,45.7,0.4,0.1,0.2,0.667,0.1,0.1,1.0,0.3,0.762,0.1,0.333,0.0,0.0,0.0,0.095,0.0,0.048
203078,Bradley Beal,50,24,26,67.9,1.6,0.6,0.9,0.689,0.2,0.2,0.833,1.5,0.938,0.5,0.3,0.1,0.063,0.1,0.05,0.1,0.075
1630527,Brandon Boston Jr.,22,9,13,19.5,0.5,0.1,0.3,0.286,0.0,0.1,0.5,0.2,0.5,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
1628971,Bruce Brown,80,53,27,51.6,1.9,0.7,1.0,0.671,0.3,0.4,0.806,1.7,0.913,0.6,0.302,0.1,0.067,0.1,0.034,0.2,0.101
1631121,Bryce McGowens,46,16,30,19.0,0.6,0.2,0.3,0.643,0.1,0.1,0.75,0.5,0.808,0.2,0.308,0.0,0.0,0.0,0.038,0.0,0.077
1627854,Bryn Forbes,25,9,16,11.9,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0
1627741,Buddy Hield,80,35,45,58.7,0.9,0.3,0.4,0.771,0.1,0.1,0.833,0.8,0.941,0.3,0.397,0.1,0.074,0.0,0.015,0.0,0.029
203468,CJ McCollum,75,38,37,75.1,0.6,0.2,0.3,0.609,0.0,0.0,0.5,0.4,0.644,0.2,0.333,0.1,0.133,0.1,0.089,0.0,0.022
1630595,Cade Cunningham,12,3,9,78.3,0.9,0.3,0.4,0.6,0.3,0.3,1.0,0.8,0.909,0.3,0.273,0.1,0.091,0.1,0.091,0.2,0.182
1631216,Caleb Houstan,51,20,31,13.9,0.7,0.2,0.4,0.524,0.0,0.0,1.0,0.5,0.686,0.2,0.257,0.1,0.086,0.1,0.086,0.0,0.029
1629629,Cam Reddish,40,14,26,28.5,0.7,0.4,0.5,0.762,0.0,0.1,0.5,0.8,1.138,0.1,0.172,0.0,0.034,0.1,0.069,0.0,0.034
1630560,Cam Thomas,57,30,27,28.9,0.2,0.1,0.1,0.75,0.1,0.1,1.0,0.3,1.231,0.1,0.231,0.0,0.154,0.0,0.0,0.0,0.077
1626166,Cameron Payne,48,27,21,49.6,0.2,0.1,0.1,0.8,0.0,0.0,0.0,0.2,0.8,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0
1627747,Caris LeVert,74,45,29,47.1,1.0,0.2,0.4,0.469,0.1,0.1,0.7,0.5,0.5,0.4,0.434,0.1,0.066,0.1,0.053,0.1,0.066
1630637,Carlik Jones,6,3,3,14.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0
1630537,Chris Duarte,46,19,27,29.1,0.5,0.2,0.3,0.692,0.0,0.0,1.0,0.4,0.87,0.1,0.174,0.0,0.0,0.1,0.174,0.0,0.043
101108,Chris Paul,59,33,26,74.5,0.3,0.1,0.1,0.6,0.1,0.1,0.6,0.1,0.368,0.2,0.526,0.0,0.105,0.1,0.158,0.0,0.053
1631128,Christian Braun,76,49,27,18.3,1.1,0.3,0.5,0.629,0.1,0.2,0.667,0.7,0.663,0.4,0.4,0.1,0.075,0.1,0.05,0.1,0.075
1629632,Coby White,73,36,37,38.4,0.2,0.0,0.1,0.6,0.0,0.0,0.5,0.1,0.538,0.1,0.385,0.0,0.154,0.0,0.154,0.0,0.077
1630175,Cole Anthony,60,28,32,52.9,1.0,0.3,0.5,0.621,0.2,0.2,0.9,0.8,0.793,0.4,0.362,0.1,0.052,0.0,0.017,0.1,0.086
1629012,Collin Sexton,48,24,24,45.9,1.2,0.4,0.7,0.576,0.3,0.3,1.0,1.1,0.881,0.3,0.203,0.1,0.051,0.1,0.051,0.1,0.102
202709,Cory Joseph,62,12,50,40.5,0.3,0.1,0.2,0.6,0.0,0.0,0.0,0.2,0.6,0.1,0.45,0.0,0.05,0.0,0.0,0.0,0.0
1626156,D'Angelo Russell,71,39,32,79.2,0.7,0.2,0.4,0.586,0.1,0.1,1.0,0.6,0.769,0.3,0.365,0.1,0.096,0.0,0.019,0.0,0.038
1630227,Daishen Nix,57,15,42,36.0,0.2,0.1,0.1,0.6,0.1,0.1,0.75,0.2,0.692,0.1,0.385,0.0,0.077,0.0,0.077,0.0,0.154
203081,Damian Lillard,58,27,31,88.1,0.6,0.1,0.3,0.533,0.1,0.1,1.0,0.3,0.556,0.2,0.389,0.0,0.028,0.1,0.083,0.0,0.056
1627814,Damion Lee,74,40,34,28.6,0.5,0.1,0.3,0.579,0.0,0.0,1.0,0.3,0.6,0.2,0.45,0.0,0.025,0.0,0.025,0.0,0.025
201980,Danny Green,11,6,5,18.8,0.5,0.3,0.3,1.0,0.0,0.0,0.0,0.5,1.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
1627863,Danuel House Jr.,56,38,18,16.7,0.5,0.2,0.3,0.8,0.1,0.1,0.5,0.5,1.038,0.1,0.231,0.0,0.038,0.0,0.077,0.1,0.115
1629636,Darius Garland,69,40,29,76.7,0.6,0.2,0.3,0.722,0.1,0.1,1.0,0.4,0.732,0.3,0.463,0.1,0.122,0.0,0.024,0.0,0.049
1630561,David Duke Jr.,23,10,13,13.9,0.5,0.1,0.2,0.6,0.1,0.2,0.75,0.4,0.818,0.1,0.273,0.0,0.0,0.0,0.0,0.1,0.182
1630558,Davion Mitchell,80,47,33,35.1,0.4,0.1,0.2,0.733,0.0,0.0,0.0,0.3,0.719,0.2,0.5,0.1,0.188,0.0,0.031,0.0,0.0
1628432,Davon Reed,43,29,14,14.6,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.286,0.1,0.429,0.0,0.0,0.1,0.214,0.0,0.0
1628368,De'Aaron Fox,73,44,29,78.2,0.7,0.3,0.4,0.808,0.1,0.1,0.75,0.7,1.0,0.1,0.208,0.1,0.104,0.0,0.063,0.0,0.063
1629631,De'Andre Hunter,67,35,32,38.0,1.2,0.4,0.8,0.588,0.2,0.2,0.786,1.1,0.913,0.2,0.188,0.1,0.063,0.0,0.038,0.1,0.088
1629001,De'Anthony Melton,77,50,27,47.6,1.2,0.2,0.4,0.5,0.1,0.1,0.8,0.5,0.426,0.6,0.489,0.1,0.106,0.1,0.064,0.1,0.053
201942,DeMar DeRozan,73,36,37,59.4,0.6,0.2,0.4,0.414,0.1,0.1,1.0,0.4,0.721,0.1,0.209,0.0,0.07,0.0,0.0,0.0,0.07
1627749,Dejounte Murray,74,38,36,72.6,1.1,0.4,0.6,0.587,0.1,0.1,1.0,0.8,0.723,0.4,0.361,0.1,0.108,0.0,0.012,0.0,0.024
1626153,Delon Wright,50,26,24,47.5,1.2,0.3,0.4,0.619,0.1,0.1,1.0,0.7,0.576,0.6,0.508,0.1,0.068,0.1,0.068,0.1,0.051
203471,Dennis Schroder,67,37,30,54.8,0.3,0.1,0.1,0.556,0.0,0.0,0.0,0.1,0.476,0.1,0.333,0.0,0.0,0.1,0.19,0.0,0.048
1628372,Dennis Smith Jr.,54,19,35,53.9,0.9,0.3,0.5,0.692,0.1,0.1,0.875,0.8,0.843,0.2,0.255,0.0,0.0,0.1,0.157,0.1,0.078
1629126,Deonte Burton,2,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631220,Dereon Seabron,5,2,3,2.8,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201565,Derrick Rose,27,12,15,26.9,0.4,0.2,0.3,0.556,0.0,0.1,0.5,0.4,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.091
1628401,Derrick White,82,57,25,47.6,1.1,0.3,0.5,0.605,0.1,0.2,0.733,0.8,0.708,0.4,0.382,0.1,0.135,0.0,0.045,0.1,0.079
