PLAYER_ID,PLAYER_NAME,GP,W,L,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1630639,A.J. Lawson,15,5,10,6.3,6.1,0.1,0.0,0.1,0.5,0.3,0.3,0.021,0.043
1631260,AJ Green,35,27,8,7.8,8.6,0.6,0.0,0.1,1.3,1.7,0.7,0.081,0.095
1628988,Aaron Holiday,63,32,31,15.4,16.4,1.4,0.2,0.1,3.0,3.8,1.7,0.092,0.112
1630174,Aaron Nesmith,73,30,43,25.3,20.7,1.3,0.1,0.2,2.0,3.5,1.6,0.053,0.065
1630598,Aaron Wiggins,70,37,33,14.1,13.6,1.1,0.1,0.2,2.0,3.0,1.4,0.081,0.101
202692,Alec Burks,50,12,38,21.6,24.7,2.2,0.1,0.2,3.6,5.3,2.5,0.103,0.115
1627936,Alex Caruso,66,32,34,35.1,26.9,2.9,0.4,0.3,4.5,7.5,3.6,0.082,0.102
1631214,Alondes Williams,1,1,0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,9.3,10.4,1.1,0.1,0.2,1.9,2.7,1.4,0.114,0.146
2738,Andre Iguodala,7,2,5,21.4,14.7,2.6,0.0,0.6,3.4,6.6,3.1,0.12,0.147
1629614,Andrew Nembhard,75,32,43,36.9,41.0,4.5,0.7,0.4,8.7,12.1,5.7,0.123,0.154
1629014,Anfernee Simons,62,27,35,45.4,57.5,4.1,0.3,1.0,7.1,10.3,5.4,0.09,0.118
1630162,Anthony Edwards,78,39,39,44.8,53.6,4.4,0.3,0.8,7.9,11.5,5.4,0.099,0.122
1630559,Austin Reaves,64,35,29,29.7,30.0,3.4,0.3,0.4,6.2,8.5,4.0,0.113,0.134
203085,Austin Rivers,52,25,27,17.4,18.2,1.4,0.2,0.3,2.4,3.8,1.8,0.083,0.105
1630245,Ayo Dosunmu,79,39,40,32.9,32.6,2.6,0.2,0.4,4.6,6.4,3.2,0.079,0.097
1627732,Ben Simmons,42,24,18,52.2,42.3,6.1,0.3,0.6,9.5,15.5,7.0,0.117,0.134
1631097,Bennedict Mathurin,78,33,45,24.0,30.7,1.5,0.2,0.3,2.8,4.1,2.0,0.062,0.082
1631104,Blake Wesley,34,8,26,27.4,29.2,2.7,0.2,0.8,5.6,7.3,3.7,0.1,0.136
203992,Bogdan Bogdanovic,54,27,27,26.4,28.8,2.8,0.3,0.4,4.8,7.0,3.4,0.105,0.13
1630538,Bones Hyland,56,36,20,31.8,37.6,3.1,0.4,0.5,5.4,7.9,4.0,0.097,0.125
203078,Bradley Beal,50,24,26,42.9,56.1,5.4,0.8,0.8,10.8,14.5,7.0,0.126,0.163
1630527,Brandon Boston Jr.,22,9,13,12.2,13.7,0.9,0.0,0.2,2.0,2.1,1.0,0.074,0.086
1628971,Bruce Brown,80,53,27,38.8,38.4,3.4,0.2,0.5,5.5,8.3,4.1,0.086,0.104
1631121,Bryce McGowens,46,16,30,12.3,13.5,1.2,0.1,0.1,2.0,2.8,1.3,0.095,0.109
1627854,Bryn Forbes,25,9,16,7.5,8.9,0.7,0.1,0.1,1.0,1.8,0.8,0.091,0.112
1627741,Buddy Hield,80,35,45,42.2,38.6,2.8,0.3,0.6,4.9,7.4,3.7,0.067,0.087
