PLAYER_ID,PLAYER_NAME,GP,W,L,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1630639,A.J. Lawson,15,5,10,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0
1631260,AJ Green,35,27,8,0.4,1.0,0.389,1.0,0.2,0.7,0.348,0.5
1628988,Aaron Holiday,63,32,31,0.4,1.1,0.38,1.0,0.1,0.4,0.346,0.444
1630174,Aaron Nesmith,73,30,43,0.5,1.2,0.435,1.3,0.3,0.6,0.442,0.547
1630598,Aaron Wiggins,70,37,33,0.1,0.2,0.353,0.2,0.1,0.1,0.5,0.471
202692,Alec Burks,51,12,39,2.0,4.6,0.426,4.8,0.9,2.2,0.396,0.519
1627936,Alex Caruso,67,33,34,0.1,0.4,0.207,0.2,0.0,0.2,0.231,0.259
1631214,Alondes Williams,1,1,0,0.0,0.0,,0.0,,,,
1629599,Amir Coffey,50,26,24,0.2,0.7,0.286,0.4,0.0,0.1,0.167,0.3
2738,Andre Iguodala,8,3,5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
1629614,Andrew Nembhard,75,32,43,1.1,2.9,0.359,2.4,0.3,0.9,0.288,0.402
1629014,Anfernee Simons,62,27,35,2.9,7.4,0.395,7.3,1.5,4.1,0.355,0.493
1630162,Anthony Edwards,79,40,39,2.8,7.9,0.351,7.1,1.5,4.6,0.338,0.448
1630559,Austin Reaves,64,35,29,1.2,2.5,0.472,2.7,0.3,0.8,0.4,0.535
203085,Austin Rivers,52,25,27,0.1,0.4,0.143,0.2,0.1,0.3,0.188,0.214
1630245,Ayo Dosunmu,80,40,40,0.4,0.9,0.373,0.7,0.0,0.1,0.4,0.387
1627732,Ben Simmons,42,24,18,0.1,0.4,0.235,0.2,0.0,0.0,0.0,0.235
1631097,Bennedict Mathurin,78,33,45,1.1,3.0,0.349,2.7,0.6,1.6,0.349,0.443
1631104,Blake Wesley,37,9,28,0.3,1.6,0.183,0.7,0.1,0.2,0.375,0.208
203992,Bogdan Bogdanovic,54,27,27,1.6,3.8,0.411,3.9,0.8,1.8,0.432,0.51
1630538,Bones Hyland,56,36,20,1.5,4.1,0.357,3.9,1.0,2.8,0.364,0.478
203078,Bradley Beal,50,24,26,3.2,7.3,0.442,7.2,0.7,2.2,0.33,0.492
1630527,Brandon Boston Jr.,22,9,13,0.9,2.3,0.392,2.1,0.3,0.7,0.467,0.461
1628971,Bruce Brown,80,53,27,0.6,1.6,0.344,1.2,0.1,0.4,0.25,0.375
1631121,Bryce McGowens,46,16,30,0.2,0.7,0.25,0.4,0.1,0.3,0.308,0.313
1627854,Bryn Forbes,25,9,16,0.5,1.3,0.375,1.1,0.2,0.6,0.286,0.438
1627741,Buddy Hield,80,35,45,1.7,3.8,0.431,4.4,1.1,2.4,0.438,0.57
203468,CJ McCollum,75,38,37,3.5,8.2,0.419,7.9,1.0,2.9,0.356,0.482
1630595,Cade Cunningham,12,3,9,3.7,8.8,0.415,8.0,0.7,2.8,0.242,0.453
1631216,Caleb Houstan,51,20,31,0.1,0.2,0.4,0.2,0.1,0.1,0.5,0.55
1629629,Cam Reddish,40,14,26,0.5,1.4,0.327,1.2,0.3,0.8,0.323,0.418
1630560,Cam Thomas,57,30,27,1.6,4.3,0.378,3.8,0.6,1.5,0.368,0.443
1626166,Cameron Payne,48,27,21,1.5,3.7,0.413,3.7,0.6,1.5,0.425,0.5
1627747,Caris LeVert,74,45,29,1.1,3.2,0.356,2.9,0.6,1.5,0.389,0.449
1630637,Carlik Jones,7,4,3,0.3,0.7,0.4,0.6,0.0,0.1,0.0,0.4
1630537,Chris Duarte,46,19,27,0.9,3.0,0.297,2.2,0.4,1.5,0.282,0.37
101108,Chris Paul,59,33,26,3.5,8.3,0.426,7.9,0.9,2.9,0.302,0.478
1631128,Christian Braun,76,49,27,0.1,0.4,0.273,0.3,0.1,0.2,0.4,0.364
1629632,Coby White,74,37,37,0.6,1.8,0.358,1.5,0.2,0.8,0.276,0.418
1630175,Cole Anthony,60,28,32,1.7,3.8,0.454,3.8,0.4,1.0,0.386,0.502
1629012,Collin Sexton,48,24,24,1.0,2.2,0.471,2.5,0.4,0.9,0.465,0.567
202709,Cory Joseph,62,12,50,0.8,2.2,0.368,2.0,0.3,1.0,0.333,0.445
1626156,D'Angelo Russell,71,39,32,2.6,6.1,0.428,6.3,1.2,3.0,0.383,0.523
1630227,Daishen Nix,57,15,42,0.3,0.9,0.34,0.9,0.3,0.8,0.34,0.491
203081,Damian Lillard,58,27,31,3.9,9.7,0.405,10.6,2.7,7.4,0.372,0.546
1627814,Damion Lee,74,40,34,0.4,1.3,0.312,0.8,0.0,0.2,0.125,0.323
