PLAYER_ID,PLAYER_NAME,GP,W,L,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
1630639,A.J. Lawson,8,1,7,0.8,0.6,0.1,0.833,1.8,0.429,0.0,0.429,4.2,1.9,0.6,1.3,0.333,2.4,0.789,0.4,0.938,6.8,2.6,1.3,1.4,0.476,3.8,0.7,0.4,0.778,6.1
1631260,AJ Green,23,16,7,0.3,0.1,0.2,0.333,1.0,0.261,0.1,0.286,16.9,1.7,0.6,1.1,0.359,2.7,0.629,0.3,0.696,6.7,2.0,0.7,1.3,0.356,3.6,0.542,0.3,0.6,8.1
1628988,Aaron Holiday,39,18,21,0.6,0.3,0.4,0.4,1.3,0.49,0.0,0.5,10.0,1.3,0.1,1.1,0.102,2.1,0.605,0.2,0.653,10.2,1.9,0.4,1.5,0.203,3.4,0.561,0.2,0.592,10.1
1630174,Aaron Nesmith,71,29,42,0.9,0.5,0.4,0.532,2.5,0.346,0.1,0.358,10.6,3.0,0.6,2.4,0.214,6.0,0.502,0.7,0.566,5.9,3.9,1.1,2.8,0.285,8.2,0.476,0.8,0.525,7.0
1630598,Aaron Wiggins,64,34,30,1.1,0.6,0.4,0.603,2.2,0.486,0.1,0.507,8.5,2.2,0.7,1.6,0.296,4.0,0.555,0.4,0.623,6.7,3.3,1.3,2.0,0.395,6.1,0.537,0.5,0.588,7.3
202692,Alec Burks,44,11,33,0.4,0.1,0.3,0.353,1.1,0.354,0.0,0.354,13.3,3.1,0.7,2.5,0.21,4.8,0.66,0.3,0.697,7.0,3.5,0.8,2.7,0.226,5.7,0.622,0.3,0.651,7.7
1627936,Alex Caruso,59,27,32,0.7,0.3,0.4,0.39,1.8,0.39,0.1,0.423,10.8,2.6,0.3,2.3,0.118,4.5,0.578,0.4,0.628,8.9,3.3,0.6,2.7,0.176,6.0,0.548,0.5,0.598,9.3
1631214,Alondes Williams,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0
1629599,Amir Coffey,26,11,15,0.7,0.2,0.5,0.294,1.5,0.447,0.0,0.459,11.8,1.4,0.2,1.2,0.111,2.7,0.514,0.2,0.563,9.8,2.0,0.3,1.7,0.17,4.0,0.51,0.3,0.546,10.5
2738,Andre Iguodala,6,2,4,0.5,0.2,0.3,0.333,0.8,0.6,0.0,0.6,11.2,1.7,0.3,1.3,0.2,3.5,0.476,0.5,0.556,6.2,2.2,0.5,1.7,0.231,4.2,0.52,0.5,0.591,7.3
