PLAYER_ID,PLAYER_NAME,GP,W,L,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
1630639,A.J. Lawson,15,5,10,7.22,3155.2,0.6,0.32,0.28,4.64,4.88,4.3
1631260,AJ Green,35,27,8,9.86,4053.23,0.77,0.42,0.34,4.35,4.73,3.96
1628988,Aaron Holiday,63,32,31,13.42,5413.9,1.03,0.52,0.5,4.27,4.35,4.18
1630174,Aaron Nesmith,73,30,43,24.88,10220.32,1.94,1.0,0.93,4.36,4.66,4.08
1630598,Aaron Wiggins,70,37,33,18.53,7937.79,1.5,0.8,0.71,4.55,4.94,4.18
202692,Alec Burks,50,12,38,22.03,8408.46,1.59,0.84,0.76,4.04,4.26,3.83
1627936,Alex Caruso,66,32,34,23.53,9734.67,1.84,0.96,0.88,4.37,4.71,4.05
1631214,Alondes Williams,1,1,0,5.27,2184.0,0.41,0.23,0.18,4.27,3.78,4.91
1629599,Amir Coffey,50,26,24,12.51,4768.76,0.9,0.47,0.43,4.02,4.09,3.92
2738,Andre Iguodala,7,2,5,13.52,5315.86,1.01,0.56,0.45,4.15,4.66,3.65
1629614,Andrew Nembhard,75,32,43,27.65,11239.07,2.13,1.11,1.02,4.31,4.63,4.0
1629014,Anfernee Simons,62,27,35,35.01,13611.31,2.58,1.44,1.14,4.13,4.52,3.72
1630162,Anthony Edwards,78,39,39,36.11,13490.26,2.55,1.36,1.2,3.96,4.28,3.65
1630559,Austin Reaves,64,35,29,28.8,11146.53,2.11,1.15,0.96,4.11,4.44,3.77
203085,Austin Rivers,52,25,27,19.54,7451.27,1.41,0.72,0.69,4.03,4.17,3.9
1630245,Ayo Dosunmu,79,39,40,26.23,10789.27,2.04,1.05,1.0,4.38,4.64,4.14
1627732,Ben Simmons,42,24,18,26.31,9716.17,1.84,0.97,0.87,3.93,4.32,3.58
1631097,Bennedict Mathurin,78,33,45,28.49,11364.17,2.15,1.14,1.01,4.21,4.52,3.9
1631104,Blake Wesley,34,8,26,17.98,7741.12,1.47,0.81,0.66,4.55,4.98,4.11
203992,Bogdan Bogdanovic,54,27,27,27.94,11095.22,2.1,1.16,0.94,4.2,4.7,3.72
1630538,Bones Hyland,56,36,20,19.38,7591.43,1.44,0.79,0.65,4.15,4.49,3.79
203078,Bradley Beal,50,24,26,33.46,12923.5,2.45,1.39,1.05,4.1,4.47,3.7
1630527,Brandon Boston Jr.,22,9,13,11.29,4552.91,0.86,0.46,0.4,4.23,4.49,3.96
1628971,Bruce Brown,80,53,27,28.49,10854.68,2.06,1.11,0.94,4.04,4.37,3.71
1631121,Bryce McGowens,46,16,30,17.11,6879.09,1.3,0.69,0.61,4.23,4.54,3.94
1627854,Bryn Forbes,25,9,16,10.71,4362.0,0.83,0.44,0.39,4.31,4.75,3.87
1627741,Buddy Hield,80,35,45,31.02,13062.4,2.47,1.35,1.13,4.47,5.0,3.97
203468,CJ McCollum,75,38,37,35.32,14100.05,2.67,1.49,1.18,4.25,4.82,3.69
1630595,Cade Cunningham,12,3,9,33.35,13146.83,2.49,1.39,1.1,4.18,4.67,3.67
1631216,Caleb Houstan,51,20,31,15.92,6613.98,1.25,0.68,0.57,4.38,4.73,4.03
1629629,Cam Reddish,40,14,26,24.74,9899.53,1.87,0.97,0.9,4.24,4.4,4.08
1630560,Cam Thomas,57,30,27,16.62,6522.96,1.24,0.68,0.55,4.18,4.58,3.79
1626166,Cameron Payne,48,27,21,20.17,7864.52,1.49,0.84,0.65,4.14,4.64,3.63
1627747,Caris LeVert,74,45,29,30.23,11693.58,2.21,1.2,1.01,4.08,4.32,3.83
1630637,Carlik Jones,6,3,3,9.14,3446.17,0.65,0.34,0.32,3.97,4.3,3.68
1630537,Chris Duarte,46,19,27,19.5,8366.7,1.58,0.84,0.75,4.54,4.91,4.19
101108,Chris Paul,59,33,26,32.01,10729.32,2.03,1.13,0.9,3.57,3.93,3.2
1631128,Christian Braun,76,49,27,15.54,6402.71,1.21,0.64,0.57,4.36,4.58,4.12
1629632,Coby White,73,36,37,23.47,8946.04,1.69,0.87,0.83,4.04,4.27,3.83
1630175,Cole Anthony,60,28,32,25.86,10809.38,2.05,1.1,0.95,4.41,4.79,4.04
1629012,Collin Sexton,48,24,24,23.86,9063.33,1.72,0.93,0.78,3.99,4.29,3.69
202709,Cory Joseph,62,12,50,19.8,8195.98,1.55,0.84,0.71,4.36,4.65,4.06
1626156,D'Angelo Russell,71,39,32,32.45,12485.69,2.36,1.3,1.06,4.09,4.61,3.6
1630227,Daishen Nix,57,15,42,16.04,6075.47,1.15,0.62,0.53,4.0,4.23,3.76
203081,Damian Lillard,58,27,31,36.32,13547.91,2.57,1.46,1.11,3.96,4.46,3.45
1627814,Damion Lee,74,40,34,20.36,8441.28,1.6,0.89,0.71,4.36,4.74,3.97
201980,Danny Green,11,6,5,12.61,5457.55,1.03,0.54,0.49,4.52,4.95,4.13
1627863,Danuel House Jr.,56,38,18,14.41,5888.45,1.12,0.58,0.53,4.32,4.53,4.09
