PLAYER_ID,PLAYER_NAME,W,L,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
203932,Aaron Gordon,46,29,15.0,2.2,0.53,3.2,0.35,1.7,0.37,5.5,0.706,1.4,0.529,1.1,0.78,0.573
1630565,Aaron Henry,6,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.2
1630174,Aaron Nesmith,32,20,3.8,0.8,0.552,1.6,0.287,0.4,0.323,0.3,0.727,0.0,0.0,0.1,0.667,0.481
1627846,Abdel Nader,11,3,2.4,0.5,0.214,0.9,0.364,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.4
1629678,Admiral Schofield,10,28,3.8,1.0,0.609,1.9,0.338,0.2,0.333,0.4,0.5,0.0,0.0,0.1,0.4,0.519
201143,Al Horford,46,22,10.2,0.9,0.625,4.4,0.364,0.4,0.524,3.1,0.667,1.1,0.468,0.7,0.465,0.547
1630758,Aleem Ford,2,3,2.8,0.8,0.667,1.2,0.133,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.35
1630197,Aleksej Pokusevski,19,42,7.6,1.2,0.387,2.6,0.298,0.8,0.28,1.5,0.597,0.0,0.5,0.4,0.524,0.47
1628035,Alfonzo McKinnie,8,9,3.5,0.4,0.333,1.6,0.346,0.2,0.2,0.9,0.727,0.0,0.0,0.0,0.0,0.467
1628993,Alize Johnson,14,9,1.8,0.0,0.0,0.1,0.25,0.0,0.0,1.3,0.65,0.0,0.0,0.2,1.0,0.436
1629599,Amir Coffey,33,35,9.0,2.3,0.533,3.8,0.389,1.1,0.382,0.3,0.563,0.0,0.0,0.1,0.333,0.557
2738,Andre Iguodala,20,10,4.0,0.3,0.667,1.6,0.254,0.2,0.118,0.8,0.556,0.1,0.25,0.2,0.5,0.441
203952,Andrew Wiggins,47,25,17.2,3.8,0.488,5.7,0.408,3.2,0.362,2.5,0.639,0.9,0.474,0.6,0.773,0.545
