TEAM_NAME,W,L,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
Atlanta Hawks,41,41,8.4,23.2,0.361,23.9,7.2,20.7,0.347,0.515
Boston Celtics,57,25,12.3,31.4,0.391,36.2,11.7,30.0,0.39,0.578
Brooklyn Nets,45,37,10.1,25.4,0.398,29.4,9.2,23.7,0.388,0.579
Charlotte Hornets,27,55,8.3,24.0,0.346,24.2,7.6,22.4,0.339,0.504
Chicago Bulls,40,42,10.0,25.9,0.388,28.5,8.4,22.5,0.373,0.55
Cleveland Cavaliers,51,31,8.0,22.4,0.359,23.5,7.4,20.6,0.359,0.525
Dallas Mavericks,38,44,10.9,28.1,0.387,32.3,10.5,27.4,0.386,0.575
Denver Nuggets,53,29,9.7,24.3,0.398,27.7,8.4,21.7,0.385,0.57
Detroit Pistons,17,65,9.0,24.0,0.374,26.2,8.3,22.5,0.367,0.546
Golden State Warriors,44,38,12.8,32.5,0.394,37.5,11.9,30.3,0.392,0.576
Houston Rockets,22,60,7.2,21.8,0.331,21.3,6.9,20.8,0.33,0.489
Indiana Pacers,35,47,9.7,26.8,0.362,28.4,9.1,25.3,0.359,0.531
LA Clippers,44,38,10.1,25.6,0.395,29.8,9.5,24.2,0.395,0.581
Los Angeles Lakers,43,39,9.4,25.4,0.371,27.3,8.4,23.2,0.362,0.536
Memphis Grizzlies,51,31,9.4,25.9,0.364,27.6,8.7,24.2,0.361,0.532
Miami Heat,44,38,9.5,27.0,0.354,27.3,8.3,24.2,0.341,0.507
Milwaukee Bucks,58,24,11.5,30.1,0.383,33.8,10.7,28.3,0.379,0.561
Minnesota Timberwolves,42,40,8.6,22.8,0.378,25.3,8.1,21.7,0.372,0.555
New Orleans Pelicans,42,40,10.0,27.0,0.372,29.1,9.0,24.3,0.371,0.539
New York Knicks,47,35,9.4,25.6,0.366,27.6,8.9,24.4,0.363,0.539
Oklahoma City Thunder,40,42,10.6,28.7,0.371,31.1,9.8,27.0,0.363,0.541
Orlando Magic,34,48,9.0,24.8,0.364,26.4,8.4,23.3,0.36,0.533
Philadelphia 76ers,54,28,10.2,24.8,0.412,29.5,9.1,22.6,0.401,0.595
Phoenix Suns,45,37,11.5,28.4,0.404,32.3,9.4,23.7,0.396,0.568
Portland Trail Blazers,33,49,8.9,23.8,0.374,26.2,8.4,22.5,0.372,0.55
Sacramento Kings,48,34,11.4,29.6,0.385,33.3,10.5,27.9,0.376,0.562
San Antonio Spurs,22,60,10.0,27.4,0.364,28.9,8.9,24.9,0.358,0.527
Toronto Raptors,41,41,8.7,24.8,0.351,25.4,8.0,22.9,0.35,0.512
Utah Jazz,37,45,10.3,28.2,0.365,30.4,9.8,27.2,0.362,0.54
Washington Wizards,35,47,9.4,25.4,0.371,27.4,8.6,23.5,0.367,0.54
