TEAM_NAME,W,L,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
Atlanta Hawks,6,6,50.4,11.3,24.5,0.463,6.8,7.8,0.872,30.4,0.603,16.8,0.334,5.1,0.101,3.4,0.068,3.9,0.078
Boston Celtics,9,4,43.3,9.7,19.1,0.508,6.4,7.8,0.814,26.7,0.616,15.1,0.348,4.2,0.096,3.5,0.08,4.1,0.094
Brooklyn Nets,5,8,47.9,10.1,21.6,0.466,5.8,7.1,0.826,27.3,0.57,18.6,0.388,4.5,0.093,3.2,0.066,3.5,0.074
Charlotte Hornets,7,7,47.3,10.0,22.3,0.449,5.0,6.2,0.805,25.6,0.541,18.5,0.391,4.6,0.097,2.8,0.059,3.1,0.065
Chicago Bulls,6,8,44.5,10.7,18.9,0.568,4.1,5.3,0.784,26.6,0.597,18.7,0.421,4.6,0.103,3.2,0.072,2.6,0.059
Cleveland Cavaliers,10,5,47.6,10.5,20.0,0.527,4.1,5.0,0.813,26.0,0.546,19.7,0.415,6.5,0.136,3.6,0.076,2.5,0.053
Dallas Mavericks,7,6,46.2,11.1,20.8,0.533,8.0,10.0,0.8,31.5,0.683,16.1,0.348,3.3,0.072,2.8,0.06,5.1,0.11
Denver Nuggets,9,4,35.2,8.0,14.5,0.55,4.2,5.1,0.833,20.7,0.589,14.5,0.414,4.0,0.114,2.8,0.081,2.5,0.072
Detroit Pistons,3,10,46.8,9.1,20.5,0.442,5.9,7.5,0.786,24.7,0.527,18.5,0.394,4.8,0.102,2.6,0.056,3.8,0.082
Golden State Warriors,7,6,36.3,7.5,15.2,0.492,3.2,3.8,0.837,18.7,0.515,16.0,0.441,4.6,0.127,2.5,0.068,1.9,0.053
Houston Rockets,2,10,51.2,11.9,25.7,0.464,7.2,9.5,0.754,32.3,0.632,15.3,0.3,3.3,0.064,4.1,0.08,4.8,0.093
Indiana Pacers,3,9,59.3,11.6,23.3,0.498,4.8,5.9,0.803,28.9,0.487,27.7,0.466,6.3,0.105,3.6,0.06,3.0,0.051
LA Clippers,7,6,46.3,11.1,21.3,0.52,5.6,6.8,0.82,28.5,0.616,17.8,0.385,4.1,0.088,2.6,0.056,3.5,0.076
Los Angeles Lakers,6,6,41.7,8.1,16.8,0.48,5.0,6.8,0.732,22.3,0.534,17.5,0.42,5.2,0.124,2.9,0.07,3.5,0.084
Memphis Grizzlies,5,6,46.1,12.2,24.5,0.496,7.5,9.5,0.788,32.5,0.706,12.6,0.274,4.6,0.101,3.2,0.069,4.7,0.103
Miami Heat,6,7,48.0,10.5,19.9,0.529,5.8,7.1,0.815,27.8,0.579,20.9,0.436,4.4,0.091,2.6,0.054,3.5,0.074
Milwaukee Bucks,12,0,44.1,11.5,20.4,0.563,5.3,8.3,0.646,29.2,0.662,16.2,0.367,3.8,0.085,2.7,0.06,4.3,0.096
Minnesota Timberwolves,6,7,50.7,13.5,25.8,0.522,5.2,7.2,0.723,33.2,0.654,17.2,0.34,4.5,0.09,3.0,0.059,3.6,0.071
New Orleans Pelicans,4,9,51.2,11.8,23.8,0.498,6.0,6.8,0.886,30.5,0.595,19.2,0.375,4.2,0.083,3.5,0.068,3.4,0.066
New York Knicks,10,4,57.9,12.5,24.7,0.506,8.5,10.4,0.815,34.5,0.596,23.8,0.411,5.6,0.096,3.1,0.054,5.1,0.089
Oklahoma City Thunder,5,7,64.1,12.3,26.9,0.458,10.7,12.0,0.889,36.1,0.563,25.3,0.395,5.8,0.091,4.0,0.062,6.0,0.094
Orlando Magic,7,7,47.8,10.2,23.1,0.443,5.6,7.0,0.806,27.1,0.568,16.9,0.354,4.3,0.09,2.9,0.061,3.5,0.073
Philadelphia 76ers,8,5,42.0,9.1,19.5,0.465,8.0,9.2,0.867,26.8,0.637,14.7,0.35,4.1,0.097,2.3,0.055,4.7,0.112
Phoenix Suns,8,5,41.9,9.8,19.2,0.508,4.5,6.2,0.738,24.8,0.593,15.6,0.372,4.1,0.097,2.6,0.062,3.1,0.073
Portland Trail Blazers,6,6,45.2,12.1,21.8,0.556,8.0,8.8,0.914,33.7,0.745,15.3,0.338,3.6,0.079,2.8,0.063,4.5,0.1
Sacramento Kings,8,5,52.5,12.2,22.1,0.551,8.5,9.8,0.866,33.3,0.634,20.2,0.384,5.3,0.101,3.8,0.073,4.8,0.092
San Antonio Spurs,0,13,52.0,12.4,27.0,0.459,5.4,7.5,0.722,31.3,0.602,17.1,0.328,4.5,0.086,3.0,0.058,3.8,0.072
Toronto Raptors,8,5,48.1,9.1,21.2,0.429,4.9,6.6,0.744,23.8,0.494,19.5,0.406,4.5,0.093,3.2,0.066,3.3,0.069
Utah Jazz,6,5,55.5,13.4,25.5,0.525,7.4,9.2,0.802,35.6,0.643,19.8,0.357,5.0,0.09,4.4,0.079,4.5,0.082
Washington Wizards,6,6,45.8,10.8,21.5,0.504,5.3,6.4,0.831,28.3,0.619,16.6,0.362,4.3,0.095,3.3,0.071,3.3,0.071
