TEAM_NAME,W,L,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
Atlanta Hawks,41,41,47.7,11.3,23.6,0.48,5.5,6.5,0.847,28.9,0.605,16.7,0.35,4.5,0.094,2.8,0.06,3.3,0.069
Boston Celtics,57,25,46.8,10.8,20.5,0.526,5.7,7.1,0.799,28.2,0.602,18.3,0.39,4.3,0.092,3.1,0.066,3.6,0.076
Brooklyn Nets,45,37,44.7,10.4,20.6,0.504,5.5,6.5,0.838,27.1,0.607,17.0,0.38,4.1,0.093,2.9,0.065,3.3,0.073
Charlotte Hornets,27,55,51.8,10.8,23.9,0.453,5.0,6.6,0.762,27.6,0.533,19.7,0.381,4.9,0.095,3.5,0.068,3.3,0.064
Chicago Bulls,39,42,42.8,10.0,18.6,0.536,5.7,6.8,0.839,26.5,0.619,17.0,0.398,4.0,0.094,2.7,0.064,3.4,0.079
Cleveland Cavaliers,51,31,48.1,10.6,21.2,0.499,5.0,6.1,0.81,26.9,0.559,19.3,0.401,5.9,0.122,3.0,0.061,3.1,0.064
Dallas Mavericks,38,44,44.9,11.1,20.3,0.547,6.5,8.4,0.771,29.7,0.663,16.4,0.367,4.1,0.091,2.7,0.061,4.2,0.093
Denver Nuggets,53,29,36.0,7.8,15.8,0.492,3.9,5.2,0.756,19.9,0.553,14.0,0.388,4.1,0.113,2.6,0.073,2.6,0.072
Detroit Pistons,17,64,47.7,9.7,21.3,0.457,6.3,8.0,0.79,26.4,0.554,17.5,0.366,4.8,0.101,3.4,0.071,4.0,0.084
Golden State Warriors,43,38,36.7,7.7,15.3,0.505,4.1,5.0,0.817,20.1,0.548,15.3,0.417,3.9,0.107,2.7,0.072,2.5,0.068
Houston Rockets,22,60,50.2,10.9,23.3,0.468,6.8,8.7,0.781,29.5,0.589,17.6,0.351,3.8,0.075,3.4,0.068,4.3,0.086
Indiana Pacers,35,47,55.7,11.6,23.8,0.488,5.6,7.0,0.801,29.7,0.534,23.5,0.422,5.4,0.097,3.5,0.062,3.5,0.063
LA Clippers,44,38,45.1,10.0,19.7,0.506,5.6,7.0,0.795,26.3,0.583,17.6,0.39,4.3,0.096,2.9,0.065,3.5,0.078
Los Angeles Lakers,43,39,44.2,9.2,18.3,0.502,5.6,7.2,0.776,25.0,0.565,18.0,0.408,5.0,0.114,3.1,0.069,3.6,0.082
Memphis Grizzlies,51,31,45.9,12.2,25.3,0.481,6.0,8.0,0.755,31.3,0.683,12.6,0.275,3.9,0.084,2.9,0.064,4.0,0.087
Miami Heat,44,38,45.4,9.5,19.1,0.497,5.3,6.4,0.839,25.1,0.552,19.3,0.424,4.2,0.092,2.7,0.059,3.2,0.07
Milwaukee Bucks,58,24,42.7,9.4,17.9,0.526,5.1,7.1,0.725,24.6,0.575,16.8,0.394,4.3,0.102,3.2,0.076,3.5,0.083
Minnesota Timberwolves,41,40,48.7,12.3,23.7,0.518,6.1,7.8,0.778,31.6,0.649,16.3,0.335,4.4,0.09,3.4,0.069,3.9,0.08
New Orleans Pelicans,42,40,47.5,10.7,21.8,0.492,6.2,7.7,0.806,28.5,0.601,17.3,0.365,4.5,0.094,3.2,0.068,3.9,0.082
New York Knicks,47,35,55.1,12.3,24.7,0.498,6.8,8.5,0.803,32.7,0.593,21.6,0.392,5.6,0.101,3.1,0.056,4.3,0.077
Oklahoma City Thunder,40,42,64.0,13.5,28.1,0.481,7.8,9.4,0.825,35.7,0.558,25.6,0.4,5.7,0.089,3.8,0.06,4.7,0.074
Orlando Magic,34,48,48.3,11.7,23.6,0.496,6.2,7.8,0.793,30.5,0.63,16.0,0.332,4.0,0.083,3.4,0.07,3.9,0.081
Philadelphia 76ers,54,28,43.6,9.9,20.4,0.486,6.0,7.0,0.846,26.7,0.613,16.0,0.366,4.1,0.095,2.6,0.059,3.6,0.082
Phoenix Suns,45,37,42.4,9.1,19.5,0.467,4.5,5.8,0.786,23.3,0.551,16.2,0.383,4.3,0.101,2.6,0.062,2.9,0.068
Portland Trail Blazers,33,48,41.9,10.1,19.5,0.522,6.1,7.4,0.824,27.2,0.649,14.8,0.352,3.5,0.084,3.0,0.071,3.7,0.089
Sacramento Kings,48,34,49.4,10.8,20.0,0.54,7.2,8.9,0.812,29.7,0.601,20.3,0.41,5.3,0.106,3.3,0.067,4.5,0.091
San Antonio Spurs,21,58,51.3,11.6,25.3,0.46,5.0,6.7,0.742,29.1,0.567,18.3,0.357,4.6,0.089,3.1,0.06,3.4,0.066
Toronto Raptors,41,41,45.9,9.0,19.9,0.453,5.5,6.8,0.818,24.2,0.528,18.7,0.408,4.4,0.096,2.7,0.06,3.4,0.074
Utah Jazz,37,45,52.6,12.1,23.7,0.508,6.2,7.8,0.8,31.4,0.596,19.2,0.365,5.4,0.103,4.0,0.077,3.9,0.074
Washington Wizards,35,47,45.4,11.3,22.1,0.511,4.8,6.0,0.795,28.2,0.621,16.0,0.353,4.2,0.093,3.0,0.067,3.0,0.066
