TEAM_NAME,W,L,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,41,41,118.4,28.9,0.48,24.7,0.363,27.5,0.43,23.4,0.676,2.8,0.513,6.3,0.615,0.541
Boston Celtics,57,25,117.9,28.2,0.526,37.5,0.393,19.5,0.373,16.2,0.667,2.4,0.529,5.2,0.6,0.566
Brooklyn Nets,45,37,113.4,27.1,0.504,30.2,0.399,26.7,0.444,16.8,0.705,1.8,0.504,5.0,0.591,0.562
Charlotte Hornets,27,55,111.0,27.6,0.453,24.5,0.347,20.1,0.364,21.5,0.638,2.2,0.471,6.1,0.53,0.516
Chicago Bulls,39,42,113.0,26.5,0.536,29.2,0.387,21.8,0.411,16.8,0.663,5.3,0.561,6.3,0.593,0.55
Cleveland Cavaliers,51,31,112.3,26.9,0.499,23.9,0.358,22.2,0.407,23.0,0.682,2.3,0.435,7.3,0.593,0.556
Dallas Mavericks,38,44,114.2,29.7,0.547,33.3,0.387,22.4,0.388,14.7,0.701,4.3,0.573,4.3,0.649,0.565
Denver Nuggets,53,29,115.8,19.9,0.492,28.8,0.397,18.9,0.375,26.9,0.705,6.9,0.569,9.9,0.651,0.573
Detroit Pistons,17,64,110.3,26.4,0.457,27.2,0.373,22.4,0.384,19.2,0.624,3.1,0.409,5.8,0.596,0.521
Golden State Warriors,43,38,118.6,20.1,0.505,38.5,0.392,21.6,0.384,18.4,0.648,1.4,0.495,6.8,0.651,0.57
Houston Rockets,22,60,110.7,29.5,0.468,21.9,0.328,18.7,0.367,20.8,0.618,3.8,0.543,6.3,0.51,0.516
Indiana Pacers,35,47,116.3,29.7,0.488,29.3,0.365,21.3,0.398,19.2,0.643,2.1,0.489,6.4,0.597,0.545
LA Clippers,44,38,113.6,26.3,0.506,30.8,0.394,23.9,0.41,17.7,0.648,4.6,0.56,6.2,0.585,0.551
Los Angeles Lakers,43,39,117.2,25.0,0.502,28.4,0.365,17.9,0.375,23.9,0.673,4.9,0.486,7.6,0.584,0.542
Memphis Grizzlies,51,31,116.9,31.3,0.481,27.9,0.362,19.8,0.391,21.6,0.67,2.9,0.565,7.0,0.583,0.54
Miami Heat,44,38,109.5,25.1,0.497,28.5,0.357,22.0,0.403,18.9,0.623,3.0,0.463,7.9,0.601,0.53
Milwaukee Bucks,58,24,116.9,24.6,0.526,34.9,0.382,22.1,0.381,19.5,0.679,5.8,0.511,5.3,0.574,0.555
Minnesota Timberwolves,41,40,115.3,31.6,0.518,26.4,0.379,20.1,0.385,20.0,0.686,2.6,0.497,6.1,0.634,0.558
New Orleans Pelicans,42,40,114.4,28.5,0.492,29.6,0.372,16.9,0.399,20.7,0.665,5.1,0.534,6.7,0.62,0.543
New York Knicks,47,35,116.0,32.7,0.498,28.5,0.367,21.8,0.379,17.7,0.669,3.2,0.492,4.2,0.544,0.541
Oklahoma City Thunder,40,42,117.5,35.7,0.481,31.6,0.372,18.5,0.41,17.0,0.593,1.3,0.473,5.6,0.602,0.531
Orlando Magic,34,48,111.4,30.5,0.496,27.1,0.365,18.0,0.375,19.2,0.673,2.1,0.448,5.2,0.567,0.532
Philadelphia 76ers,54,28,115.2,26.7,0.486,30.6,0.416,21.6,0.4,15.6,0.656,5.7,0.532,7.9,0.575,0.563
Phoenix Suns,45,37,113.6,23.3,0.467,33.0,0.402,25.1,0.408,22.4,0.617,4.9,0.53,7.7,0.572,0.535
Portland Trail Blazers,33,48,113.2,27.2,0.522,27.4,0.377,21.6,0.38,15.3,0.639,3.2,0.479,5.6,0.589,0.549
Sacramento Kings,48,34,120.7,29.7,0.54,33.6,0.385,18.9,0.397,20.7,0.674,3.2,0.536,8.0,0.648,0.572
San Antonio Spurs,21,58,112.6,29.1,0.46,30.7,0.364,17.6,0.38,20.0,0.661,3.8,0.513,7.6,0.593,0.525
Toronto Raptors,41,41,112.9,24.2,0.453,25.6,0.347,20.6,0.369,23.0,0.637,4.3,0.511,5.6,0.527,0.517
Utah Jazz,37,45,117.1,31.4,0.508,30.7,0.363,18.7,0.383,21.9,0.685,1.6,0.463,5.9,0.641,0.547
Washington Wizards,35,47,113.2,28.2,0.511,28.5,0.374,20.1,0.403,19.6,0.675,4.1,0.545,6.8,0.565,0.55
