TEAM_NAME,W,L,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_FOULS_PCT,ELBOW_TOUCH_PTS_PCT
Atlanta Hawks,41,41,375.8,9.1,2.7,4.3,0.615,0.9,1.2,0.724,6.3,3.4,0.6,0.182,0.5,0.054,0.6,0.37,0.066,0.694
Boston Celtics,57,25,397.7,8.4,2.1,3.5,0.6,0.8,0.9,0.853,5.2,3.9,1.0,0.252,0.4,0.044,0.4,0.46,0.048,0.614
Brooklyn Nets,45,37,395.5,9.7,2.1,3.6,0.591,0.7,1.0,0.705,5.0,5.0,0.9,0.187,0.5,0.048,0.5,0.51,0.046,0.519
Charlotte Hornets,27,55,409.4,9.3,2.3,4.3,0.53,1.3,1.7,0.752,6.1,3.5,0.7,0.212,0.4,0.044,0.8,0.37,0.09,0.652
Chicago Bulls,39,42,405.9,9.7,2.7,4.6,0.593,0.8,1.1,0.733,6.3,3.9,0.7,0.172,0.6,0.059,0.5,0.401,0.051,0.654
Cleveland Cavaliers,51,31,387.2,12.7,3.0,5.1,0.593,1.0,1.4,0.723,7.3,5.9,1.4,0.236,0.7,0.055,0.6,0.468,0.05,0.573
Dallas Mavericks,38,44,389.0,7.7,1.8,2.7,0.649,0.6,0.8,0.742,4.3,4.0,0.8,0.204,0.3,0.04,0.4,0.515,0.052,0.564
Denver Nuggets,53,29,413.7,17.6,4.1,6.3,0.651,1.3,1.7,0.759,9.9,9.2,2.1,0.229,0.9,0.051,0.8,0.521,0.046,0.559
Detroit Pistons,17,64,386.6,8.0,2.4,4.1,0.596,0.8,1.0,0.776,5.8,2.9,0.6,0.201,0.4,0.049,0.5,0.361,0.062,0.724
Golden State Warriors,43,38,446.5,11.1,2.9,4.4,0.651,0.9,1.1,0.761,6.8,5.3,1.1,0.207,0.6,0.052,0.5,0.475,0.049,0.613
Houston Rockets,22,60,410.8,11.6,2.5,5.0,0.51,1.1,1.6,0.674,6.3,4.6,0.9,0.195,0.8,0.07,0.8,0.395,0.069,0.545
Indiana Pacers,35,47,428.8,9.1,2.6,4.4,0.597,0.9,1.2,0.706,6.4,3.4,0.5,0.157,0.5,0.056,0.6,0.378,0.067,0.703
LA Clippers,44,38,392.6,10.4,2.5,4.2,0.585,1.1,1.4,0.779,6.2,4.6,0.8,0.17,0.6,0.061,0.6,0.444,0.062,0.599
Los Angeles Lakers,43,39,380.4,11.3,3.1,5.4,0.584,1.1,1.4,0.779,7.6,4.2,0.7,0.176,0.6,0.052,0.6,0.374,0.057,0.67
Memphis Grizzlies,51,31,397.6,13.3,3.0,5.1,0.583,0.8,1.1,0.691,7.0,6.6,1.2,0.185,0.6,0.046,0.5,0.501,0.038,0.526
