TEAM_NAME,W,L,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
Atlanta Hawks,41,41,251.0,251.0,25.0,2.3,2.1,43.9,62.8,29.4,0.1,0.117
Boston Celtics,57,25,277.4,277.4,26.7,1.6,4.5,47.3,70.3,32.7,0.096,0.118
Brooklyn Nets,45,37,279.0,279.0,25.5,1.9,4.1,43.1,65.0,31.4,0.092,0.112
Charlotte Hornets,27,55,285.6,285.6,25.1,3.1,2.8,45.8,64.5,30.9,0.088,0.108
Chicago Bulls,39,42,288.2,287.5,24.5,2.0,3.9,43.0,62.2,30.3,0.085,0.105
Cleveland Cavaliers,51,31,269.2,269.2,24.9,2.5,3.4,43.6,63.0,30.8,0.093,0.114
Dallas Mavericks,38,44,272.5,272.5,22.9,2.1,3.7,43.3,61.8,28.8,0.084,0.106
Denver Nuggets,53,29,293.3,293.3,28.9,2.6,3.8,48.7,72.5,35.3,0.098,0.12
Detroit Pistons,17,64,263.9,263.9,23.0,2.5,2.0,41.8,60.0,27.3,0.087,0.104
Golden State Warriors,43,38,321.6,321.6,29.8,2.8,5.0,55.8,78.9,37.6,0.093,0.117
Houston Rockets,22,60,284.6,284.6,22.4,2.4,2.7,41.2,57.3,27.5,0.079,0.097
Indiana Pacers,35,47,305.2,305.2,27.0,3.3,3.1,48.8,71.6,33.3,0.088,0.109
LA Clippers,44,38,277.5,277.5,23.9,2.5,3.7,41.3,62.9,30.0,0.086,0.108
Los Angeles Lakers,43,39,257.2,257.2,25.3,2.6,3.0,46.9,64.5,30.8,0.098,0.12
Memphis Grizzlies,51,31,273.5,273.5,26.0,2.2,3.0,46.3,66.2,31.2,0.095,0.114
Miami Heat,44,38,292.2,292.2,23.8,2.6,3.0,46.9,62.7,29.4,0.082,0.101
Milwaukee Bucks,58,24,270.6,270.6,25.8,2.0,3.3,47.5,67.4,31.0,0.095,0.115
Minnesota Timberwolves,41,40,300.1,300.1,26.0,2.5,3.4,42.7,66.1,31.8,0.087,0.106
New Orleans Pelicans,42,40,297.2,297.2,25.9,2.7,3.3,46.2,67.0,31.9,0.087,0.107
New York Knicks,47,35,273.5,273.5,22.9,1.7,2.7,41.2,59.4,27.3,0.084,0.1
Oklahoma City Thunder,40,42,278.7,278.7,24.4,2.0,3.1,45.4,63.3,29.5,0.088,0.106
Orlando Magic,34,48,268.6,268.6,23.2,2.4,2.3,42.4,60.4,27.9,0.087,0.104
Philadelphia 76ers,54,28,285.2,285.2,25.2,2.7,3.4,42.2,66.3,31.2,0.088,0.109
Phoenix Suns,45,37,277.0,277.0,27.3,2.5,3.6,49.1,69.7,33.2,0.098,0.12
Portland Trail Blazers,33,48,276.9,276.9,24.0,2.1,3.3,43.1,62.5,29.4,0.087,0.106
Sacramento Kings,48,34,299.3,299.3,27.3,2.6,2.8,49.7,71.7,32.7,0.091,0.109
San Antonio Spurs,21,58,288.9,288.9,27.1,2.5,3.1,50.2,69.6,32.7,0.094,0.113
Toronto Raptors,41,41,292.0,292.0,23.9,2.2,2.9,44.5,61.0,29.0,0.082,0.099
Utah Jazz,37,45,271.1,271.1,26.0,2.4,2.7,47.8,68.3,31.0,0.096,0.114
Washington Wizards,35,47,286.3,286.3,25.4,2.6,3.2,45.3,65.7,31.1,0.089,0.109
