TEAM_NAME,W,L,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
Atlanta Hawks,6,6,11.0,24.9,0.441,25.4,3.4,8.3,0.41,0.51
Boston Celtics,9,4,8.1,21.8,0.37,21.5,5.4,13.7,0.393,0.493
Brooklyn Nets,5,8,10.8,26.1,0.416,25.8,4.1,11.2,0.363,0.494
Charlotte Hornets,7,7,9.9,24.9,0.398,23.3,3.4,10.6,0.324,0.467
Chicago Bulls,6,8,9.1,24.1,0.379,19.7,1.4,5.4,0.267,0.408
Cleveland Cavaliers,10,5,8.2,20.3,0.405,19.9,3.5,10.5,0.338,0.492
Dallas Mavericks,7,6,9.1,23.1,0.393,22.7,4.5,12.3,0.369,0.492
Denver Nuggets,9,4,8.2,20.5,0.402,19.2,2.8,8.5,0.324,0.47
Detroit Pistons,3,10,10.7,26.2,0.408,24.6,3.2,9.3,0.347,0.469
Golden State Warriors,7,6,8.1,22.1,0.366,20.7,4.5,10.9,0.415,0.469
Houston Rockets,2,10,5.9,17.2,0.345,14.4,2.6,7.5,0.344,0.42
Indiana Pacers,3,9,9.3,22.3,0.414,22.8,4.3,10.8,0.403,0.511
LA Clippers,7,6,13.1,29.8,0.438,30.0,3.8,10.7,0.36,0.503
Los Angeles Lakers,6,6,8.4,22.3,0.377,19.2,2.3,7.1,0.329,0.429
Memphis Grizzlies,5,6,7.8,20.1,0.389,18.8,3.2,9.9,0.321,0.468
Miami Heat,6,7,9.5,24.7,0.383,21.7,2.8,9.0,0.308,0.439
Milwaukee Bucks,12,0,12.3,28.5,0.433,30.7,6.0,15.9,0.377,0.538
Minnesota Timberwolves,6,7,8.3,21.2,0.391,20.2,3.6,10.8,0.336,0.476
New Orleans Pelicans,4,9,9.7,22.2,0.438,21.1,1.7,4.9,0.344,0.476
New York Knicks,10,4,10.9,26.0,0.42,25.7,3.9,11.4,0.34,0.495
Oklahoma City Thunder,5,7,8.9,19.8,0.45,20.4,2.6,5.6,0.463,0.515
Orlando Magic,7,7,6.3,19.4,0.324,14.2,1.6,6.6,0.25,0.366
Philadelphia 76ers,8,5,9.2,24.1,0.38,22.3,4.0,10.8,0.369,0.463
Phoenix Suns,8,5,10.8,29.2,0.371,23.5,1.8,8.1,0.229,0.403
Portland Trail Blazers,6,6,9.8,23.7,0.412,24.3,4.8,12.7,0.382,0.514
Sacramento Kings,8,5,8.2,19.5,0.421,19.3,2.8,8.1,0.352,0.494
San Antonio Spurs,0,13,7.2,20.5,0.353,16.7,2.2,7.4,0.302,0.408
Toronto Raptors,8,5,8.9,25.0,0.357,20.6,2.8,9.2,0.303,0.412
Utah Jazz,6,5,6.5,17.1,0.378,15.5,2.6,8.5,0.312,0.455
Washington Wizards,6,6,8.7,20.5,0.423,19.9,2.6,7.8,0.33,0.486
